Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-29,10.29,10.29,10.18,10.18,1154500,0,0
2020-07-30,10.2,10.25,10.06,10.1,587800,0,0
2020-07-31,10.1,10.1,10.01,10.02,268200,0,0
2020-08-03,10.02,10.05,9.97,10.0,1123300,0,0
2020-08-04,10.1,10.1,10.01,10.03,61700,0,0
2020-08-05,10.05,10.05,10.01,10.01,270600,0,0
2020-08-06,10.05,10.05,10.02,10.03,37800,0,0
2020-08-07,10.05,10.05,10.0,10.0,709200,0,0
2020-08-10,10.05,10.08,10.02,10.02,2300,0,0
2020-08-11,10.02,10.02,10.02,10.02,4400,0,0
2020-08-12,10.02,10.04,10.02,10.03,270500,0,0
2020-08-13,10.03,10.03,10.02,10.02,100300,0,0
2020-08-14,10.03,10.03,10.01,10.01,80200,0,0
2020-08-17,10.02,10.02,9.99,9.99,6000,0,0
2020-08-18,10.04,10.04,9.99,10.0,148300,0,0
2020-08-19,10.0,10.01,9.98,9.98,276900,0,0
2020-08-20,9.98,10.0,9.98,10.0,28300,0,0
2020-08-21,10.0,10.0,9.97,9.97,8800,0,0
2020-08-24,9.98,9.98,9.97,9.97,28500,0,0
2020-08-25,9.97,9.98,9.97,9.97,14200,0,0
2020-08-26,10.0,10.0,9.99,9.99,28100,0,0
2020-08-27,9.99,9.99,9.99,9.99,0,0,0
2020-08-28,9.98,9.98,9.9,9.92,284100,0,0
2020-08-31,9.98,9.98,9.96,9.96,16200,0,0
2020-09-01,9.97,9.97,9.95,9.96,118700,0,0
2020-09-02,9.96,9.96,9.95,9.95,7600,0,0
2020-09-03,9.99,10.08,9.97,10.0,89700,0,0
2020-09-04,10.05,10.08,10.02,10.06,25400,0,0
2020-09-08,10.01,10.01,10.0,10.0,12100,0,0
2020-09-09,10.02,10.06,10.02,10.05,2100,0,0
2020-09-10,10.09,10.09,10.02,10.03,14700,0,0
2020-09-11,10.05,10.06,10.0,10.0,700,0,0
2020-09-14,10.01,10.1,10.0,10.05,11600,0,0
2020-09-15,10.05,10.1,10.03,10.06,201900,0,0
2020-09-16,10.07,10.11,10.07,10.1,20600,0,0
2020-09-17,10.12,10.6,10.05,10.07,383100,0,0
2020-09-18,10.13,10.32,10.13,10.24,100300,0,0
2020-09-21,10.2,10.38,10.2,10.38,73400,0,0
2020-09-22,10.3,10.3,10.2,10.21,2600,0,0
2020-09-23,10.29,10.29,10.26,10.26,1300,0,0
2020-09-24,10.2,10.2,10.16,10.2,4800,0,0
2020-09-25,10.15,10.15,10.14,10.14,6900,0,0
2020-09-28,10.16,10.16,10.11,10.13,5800,0,0
2020-09-29,10.12,10.14,10.11,10.12,4700,0,0
2020-09-30,10.16,10.25,10.15,10.25,281800,0,0
2020-10-01,10.25,10.25,10.08,10.1,29600,0,0
2020-10-02,10.05,10.14,10.05,10.05,14900,0,0
2020-10-05,10.05,10.05,10.05,10.05,3200,0,0
2020-10-06,10.02,10.02,10.02,10.02,1400,0,0
2020-10-07,10.05,10.18,10.02,10.17,284300,0,0
2020-10-08,10.04,10.04,10.04,10.04,400,0,0
2020-10-09,10.04,10.05,10.02,10.03,13900,0,0
2020-10-12,10.03,10.15,10.01,10.01,4500,0,0
2020-10-13,10.1,10.1,10.04,10.04,2300,0,0
2020-10-14,10.04,10.04,9.98,10.0,60800,0,0
2020-10-15,10.0,10.02,10.0,10.02,13900,0,0
2020-10-16,10.0,10.03,10.0,10.02,2000,0,0
2020-10-19,10.0,10.02,10.0,10.01,6500,0,0
2020-10-20,9.98,10.04,9.98,10.03,1800,0,0
2020-10-21,9.99,9.99,9.98,9.98,5500,0,0
2020-10-22,9.99,10.0,9.99,10.0,1500,0,0
2020-10-23,10.0,10.0,10.0,10.0,300,0,0
2020-10-26,9.95,9.98,9.95,9.96,2000,0,0
2020-10-27,9.95,9.98,9.95,9.96,251600,0,0
2020-10-28,10.05,10.05,9.93,9.93,5200,0,0
2020-10-29,9.95,9.95,9.95,9.95,300,0,0
2020-10-30,10.01,10.01,9.92,9.92,17700,0,0
2020-11-02,9.99,9.99,9.92,9.92,400,0,0
2020-11-03,9.98,9.98,9.97,9.97,1900,0,0
2020-11-04,9.99,9.99,9.97,9.97,600,0,0
2020-11-05,9.98,9.98,9.95,9.95,4100,0,0
2020-11-06,10.04,10.04,9.99,10.0,3900,0,0
2020-11-09,10.02,10.05,10.01,10.04,4400,0,0
2020-11-10,10.0,10.0,10.0,10.0,400,0,0
2020-11-11,10.0,10.0,10.0,10.0,0,0,0
2020-11-12,9.98,9.98,9.98,9.98,300,0,0
2020-11-13,10.07,10.08,10.0,10.0,6000,0,0
2020-11-16,10.1,10.1,10.03,10.03,2000,0,0
2020-11-17,10.03,10.03,10.03,10.03,0,0,0
2020-11-18,10.03,10.03,10.03,10.03,1000,0,0
2020-11-19,10.06,10.06,10.03,10.03,200,0,0
2020-11-20,10.17,10.17,10.09,10.09,1700,0,0
