Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-16,3.07,3.07,1.62,1.67,14200,0.0,0
2002-12-17,1.81,1.99,1.49,1.81,47000,0.0,0
2002-12-18,2.21,2.39,1.63,1.69,138200,0.0,0
2002-12-19,1.7,1.76,1.64,1.7,139500,0.0,0
2002-12-20,1.79,2.1,1.63,1.73,327200,0.0,0
2002-12-23,1.63,1.79,1.59,1.67,239600,0.0,0
2002-12-24,1.67,1.75,1.67,1.74,41800,0.0,0
2002-12-26,1.67,1.79,1.67,1.77,78200,0.0,0
2002-12-27,1.63,1.8,1.63,1.77,46700,0.0,0
2002-12-30,1.67,1.85,1.64,1.77,103200,0.0,0
2002-12-31,1.7,2.44,1.7,2.18,233600,0.0,0
2003-01-02,2.17,2.17,1.76,1.98,53600,0.0,0
2003-01-03,1.85,1.93,1.8,1.9,22700,0.0,0
2003-01-06,1.84,1.97,1.77,1.89,62000,0.0,0
2003-01-07,1.81,1.82,1.76,1.81,113100,0.0,0
2003-01-08,1.92,1.92,1.7,1.75,59900,0.0,0
2003-01-09,1.72,1.76,1.61,1.72,46100,0.0,0
2003-01-10,1.63,1.77,1.63,1.77,62000,0.0,0
2003-01-13,1.72,1.79,1.64,1.64,16200,0.0,0
2003-01-14,1.63,1.77,1.61,1.72,43000,0.0,0
2003-01-15,1.61,1.72,1.4,1.54,67400,0.0,0
2003-01-16,1.45,1.58,1.36,1.53,45300,0.0,0
2003-01-17,1.38,1.49,1.36,1.44,72400,0.0,0
2003-01-21,1.36,1.44,1.04,1.29,48600,0.0,0
2003-01-22,1.07,1.27,1.06,1.19,70000,0.0,0
2003-01-23,1.2,1.54,1.12,1.48,137500,0.0,0
2003-01-24,1.34,1.45,1.22,1.3,75200,0.0,0
2003-01-27,1.22,1.3,1.17,1.22,60200,0.0,0
2003-01-28,1.16,1.3,1.16,1.24,72300,0.0,0
2003-01-29,1.26,1.29,1.21,1.27,106800,0.0,0
2003-01-30,1.26,1.4,1.26,1.38,97400,0.0,0
2003-01-31,1.26,1.44,1.26,1.44,85200,0.0,0
2003-02-03,1.32,1.54,1.31,1.33,38400,0.0,0
2003-02-04,1.36,1.4,1.26,1.29,58300,0.0,0
2003-02-05,1.24,1.36,1.13,1.35,74800,0.0,0
2003-02-06,1.3,1.36,1.08,1.32,93300,0.0,0
2003-02-07,1.31,1.36,1.26,1.35,48700,0.0,0
2003-02-10,1.31,1.42,1.27,1.42,111000,0.0,0
2003-02-11,1.36,1.45,1.13,1.21,67000,0.0,0
2003-02-12,1.22,1.26,1.14,1.14,35100,0.0,0
2003-02-13,1.14,1.22,1.14,1.18,18400,0.0,0
2003-02-14,1.22,1.41,1.18,1.26,67300,0.0,0
2003-02-18,1.22,1.36,1.13,1.35,20900,0.0,0
2003-02-19,1.29,1.36,1.19,1.23,27800,0.0,0
2003-02-20,1.36,1.36,1.17,1.31,18700,0.0,0
2003-02-21,1.23,1.31,1.22,1.26,33500,0.0,0
2003-02-24,1.26,1.26,1.18,1.24,19700,0.0,0
2003-02-25,1.26,1.26,1.13,1.21,46600,0.0,0
2003-02-26,1.18,1.26,1.13,1.26,23100,0.0,0
2003-02-27,1.17,1.36,1.13,1.34,62000,0.0,0
2003-02-28,1.23,1.31,1.13,1.17,108200,0.0,0
2003-03-03,1.17,1.23,1.15,1.23,28800,0.0,0
2003-03-04,1.16,1.19,1.08,1.19,68200,0.0,0
2003-03-05,1.05,1.14,1.04,1.1,67000,0.0,0
2003-03-06,1.08,1.13,1.01,1.01,85100,0.0,0
2003-03-07,1.08,1.2,1.0,1.1,116900,0.0,0
2003-03-10,0.99,1.1,0.98,0.98,84500,0.0,0
2003-03-11,0.98,1.07,0.96,0.97,130800,0.0,0
2003-03-12,0.96,0.99,0.87,0.91,28500,0.0,0
2003-03-13,0.9,0.99,0.88,0.98,27500,0.0,0
2003-03-14,0.93,1.17,0.93,1.09,26300,0.0,0
2003-03-17,0.98,1.23,0.97,1.2,69800,0.0,0
2003-03-18,1.15,1.24,1.15,1.23,53100,0.0,0
2003-03-19,1.17,1.26,1.17,1.22,69200,0.0,0
2003-03-20,1.16,1.24,1.05,1.06,72900,0.0,0
2003-03-21,1.17,1.23,1.05,1.15,101600,0.0,0
2003-03-24,1.19,1.19,1.07,1.07,44900,0.0,0
2003-03-25,1.08,1.21,1.05,1.12,58900,0.0,0
2003-03-26,1.16,1.3,1.09,1.09,35400,0.0,0
2003-03-27,1.08,1.1,0.92,1.08,55600,0.0,0
2003-03-28,1.08,1.17,1.07,1.08,51700,0.0,0
2003-03-31,1.04,1.14,1.03,1.09,49700,0.0,0
2003-04-01,1.03,1.14,1.03,1.14,28200,0.0,0
2003-04-02,1.05,1.25,1.05,1.25,58600,0.0,0
2003-04-03,1.26,1.26,1.12,1.12,52400,0.0,0
2003-04-04,1.12,1.16,1.05,1.05,63900,0.0,0
2003-04-07,1.05,1.1,1.05,1.07,25900,0.0,0
2003-04-08,1.08,1.12,1.02,1.07,36700,0.0,0
2003-04-09,1.08,1.08,1.01,1.04,79600,0.0,0
2003-04-10,1.01,1.07,1.01,1.03,113400,0.0,0
2003-04-11,1.07,1.07,0.98,1.04,32500,0.0,0
2003-04-14,1.04,1.08,0.97,1.05,32300,0.0,0
2003-04-15,1.04,1.06,0.95,0.95,68900,0.0,0
2003-04-16,1.04,1.06,0.98,1.02,50000,0.0,0
2003-04-17,1.08,1.08,0.98,0.99,85700,0.0,0
2003-04-21,1.04,1.06,0.99,1.05,91600,0.0,0
2003-04-22,0.99,1.07,0.99,1.05,30300,0.0,0
2003-04-23,1.01,1.04,0.99,1.03,44000,0.0,0
2003-04-24,1.02,1.04,0.98,1.03,200700,0.0,0
2003-04-25,1.04,1.12,0.95,1.0,56500,0.0,0
2003-04-28,0.96,1.05,0.91,0.95,81100,0.0,0
2003-04-29,0.94,1.04,0.94,0.98,53400,0.0,0
2003-04-30,0.93,1.0,0.9,0.94,137900,0.0,0
2003-05-01,0.89,0.98,0.89,0.97,18500,0.0,0
2003-05-02,0.97,1.03,0.93,1.01,21700,0.0,0
2003-05-05,1.04,1.05,0.98,0.99,25900,0.0,0
2003-05-06,0.96,1.01,0.94,0.96,55500,0.0,0
2003-05-07,1.08,1.31,0.98,1.26,215600,0.0,0
2003-05-08,1.26,1.26,1.04,1.08,85000,0.0,0
2003-05-09,1.08,1.15,0.97,1.08,58900,0.0,0
2003-05-12,1.04,1.08,1.0,1.06,35200,0.0,0
2003-05-13,1.06,1.19,1.05,1.14,44300,0.0,0
2003-05-14,1.18,1.19,1.1,1.17,54200,0.0,0
2003-05-15,1.19,1.25,1.13,1.18,82900,0.0,0
2003-05-16,1.1,1.22,1.09,1.17,179100,0.0,0
2003-05-19,1.17,1.22,1.13,1.15,78000,0.0,0
2003-05-20,1.13,1.17,1.09,1.13,52500,0.0,0
2003-05-21,1.16,1.17,1.1,1.12,60100,0.0,0
2003-05-22,1.12,1.12,1.04,1.11,117900,0.0,0
2003-05-23,1.1,1.1,1.07,1.08,68700,0.0,0
2003-05-27,1.08,1.1,1.04,1.08,128300,0.0,0
2003-05-28,1.11,1.26,1.08,1.18,215800,0.0,0
2003-05-29,1.22,1.32,1.21,1.26,159000,0.0,0
2003-05-30,1.25,1.32,1.13,1.17,153900,0.0,0
2003-06-02,1.27,1.28,1.14,1.16,90500,0.0,0
2003-06-03,1.17,1.26,1.17,1.26,75900,0.0,0
2003-06-04,1.26,1.33,1.21,1.31,158000,0.0,0
2003-06-05,1.31,1.54,1.3,1.42,269900,0.0,0
2003-06-06,1.48,1.5,1.4,1.49,113000,0.0,0
2003-06-09,1.53,1.58,1.4,1.4,53900,0.0,0
2003-06-10,1.4,1.4,1.23,1.24,81500,0.0,0
2003-06-11,1.25,1.35,1.24,1.33,56500,0.0,0
2003-06-12,1.29,1.36,1.29,1.29,28400,0.0,0
2003-06-13,1.29,1.36,1.29,1.3,81300,0.0,0
2003-06-16,1.34,1.35,1.26,1.31,57300,0.0,0
2003-06-17,1.31,1.32,1.25,1.26,71600,0.0,0
2003-06-18,1.26,1.31,1.22,1.24,31100,0.0,0
2003-06-19,1.22,1.27,1.22,1.23,59100,0.0,0
2003-06-20,1.22,1.31,1.18,1.27,80100,0.0,0
2003-06-23,1.29,1.35,1.19,1.19,41100,0.0,0
2003-06-24,1.2,1.26,1.19,1.2,27400,0.0,0
2003-06-25,1.2,1.26,1.19,1.24,24700,0.0,0
2003-06-26,1.22,1.24,1.19,1.21,37300,0.0,0
2003-06-27,1.2,1.24,1.17,1.17,158900,0.0,0
2003-06-30,1.21,1.23,1.08,1.09,533700,0.0,0
2003-07-01,1.2,1.25,1.13,1.22,334900,0.0,0
2003-07-02,1.21,1.22,1.16,1.2,88300,0.0,0
2003-07-03,1.15,1.22,1.15,1.2,18700,0.0,0
2003-07-07,1.2,1.22,1.17,1.19,50600,0.0,0
2003-07-08,1.17,1.25,1.17,1.25,65700,0.0,0
2003-07-09,1.24,1.25,1.2,1.23,55700,0.0,0
2003-07-10,1.21,1.23,1.13,1.21,71200,0.0,0
2003-07-11,1.18,1.27,1.18,1.27,87400,0.0,0
2003-07-14,1.25,1.43,1.22,1.43,348500,0.0,0
2003-07-15,1.49,1.52,1.4,1.43,106400,0.0,0
2003-07-16,1.49,1.62,1.49,1.54,215200,0.0,0
2003-07-17,1.6,1.61,1.36,1.46,105500,0.0,0
2003-07-18,1.38,1.57,1.36,1.41,52000,0.0,0
2003-07-21,1.4,1.43,1.36,1.39,28600,0.0,0
2003-07-22,1.36,1.43,1.36,1.43,34600,0.0,0
2003-07-23,1.43,1.46,1.4,1.46,49400,0.0,0
2003-07-24,1.47,1.57,1.46,1.57,46700,0.0,0
2003-07-25,1.57,1.57,1.45,1.54,42400,0.0,0
2003-07-28,1.55,1.92,1.55,1.92,359500,0.0,0
2003-07-29,2.03,2.63,1.92,2.19,1358400,0.0,0
2003-07-30,1.8,2.02,1.6,1.64,911900,0.0,0
2003-07-31,1.6,2.01,1.6,1.88,250700,0.0,0
2003-08-01,1.93,1.93,1.72,1.72,69700,0.0,0
2003-08-04,1.72,1.72,1.59,1.63,122300,0.0,0
2003-08-05,1.62,1.62,1.54,1.54,92400,0.0,0
2003-08-06,1.54,1.62,1.54,1.54,181600,0.0,0
2003-08-07,1.54,1.57,1.53,1.54,122100,0.0,0
2003-08-08,1.54,1.54,1.49,1.49,90700,0.0,0
2003-08-11,1.49,1.61,1.47,1.61,95600,0.0,0
