Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-13,90.9,103.0,90.01,96.36,25159000,0,0
2021-01-14,103.5,137.98,101.0,114.94,20858700,0,0
2021-01-15,123.05,127.24,107.0,117.0,8310700,0,0
2021-01-19,117.0,117.68,108.0,110.99,3304900,0,0
2021-01-20,110.0,112.0,103.25,106.21,5091400,0,0
2021-01-21,107.16,109.9,104.3,108.97,1735300,0,0
2021-01-22,107.19,121.0,107.19,119.95,4343500,0,0
2021-01-25,117.11,123.45,108.0,112.7,2660000,0,0
2021-01-26,113.84,114.0,109.51,110.08,1287400,0,0
2021-01-27,105.74,108.9,100.8,105.29,2259300,0,0
2021-01-28,105.0,106.29,97.21,99.42,2097400,0,0
2021-01-29,100.0,104.58,97.6,99.59,1836300,0,0
2021-02-01,100.0,107.65,99.62,107.61,1266000,0,0
2021-02-02,110.0,118.8,110.0,113.0,1875600,0,0
2021-02-03,115.95,115.99,109.1,110.95,1451700,0,0
2021-02-04,110.06,110.5,106.38,108.77,1692700,0,0
2021-02-05,108.83,109.41,101.25,103.45,2932300,0,0
2021-02-08,109.46,123.5,109.0,122.76,3417400,0,0
2021-02-09,121.49,144.9,117.04,131.0,4056800,0,0
2021-02-10,141.95,146.9,129.0,136.23,2353000,0,0
2021-02-11,140.0,140.5,131.16,139.99,2285600,0,0
2021-02-12,129.64,131.67,123.01,125.89,4903500,0,0
2021-02-16,129.3,129.3,115.0,119.15,5642300,0,0
2021-02-17,116.63,117.5,110.8,112.53,2786700,0,0
2021-02-18,109.64,109.95,104.61,105.55,3589200,0,0
2021-02-19,110.29,110.75,105.0,105.99,2973900,0,0
2021-02-22,105.01,105.72,102.0,104.83,2955600,0,0
2021-02-23,99.26,102.35,91.1,102.01,4105200,0,0
2021-02-24,99.28,103.75,98.71,102.49,1894100,0,0
2021-02-25,99.93,101.0,90.0,94.19,5472000,0,0
2021-02-26,92.18,97.82,91.03,93.06,2596700,0,0
2021-03-01,95.5,96.35,90.81,91.44,2913300,0,0
2021-03-02,92.7,98.19,91.0,91.8,3733500,0,0
2021-03-03,91.65,92.38,83.93,86.31,6083900,0,0
2021-03-04,85.0,85.45,77.1,84.46,5611100,0,0
2021-03-05,82.82,83.04,70.05,81.14,5385300,0,0
2021-03-08,80.08,80.25,72.95,74.31,3771900,0,0
2021-03-09,77.25,81.18,75.78,79.66,3712800,0,0
2021-03-10,82.71,85.19,78.3,80.76,2130900,0,0
2021-03-11,82.36,83.5,80.25,81.25,2228900,0,0
2021-03-12,78.0,80.07,76.01,79.57,2276800,0,0
2021-03-15,80.0,82.78,79.0,81.35,1885200,0,0
2021-03-16,82.22,84.2,79.5,80.8,1609300,0,0
2021-03-17,78.99,81.34,76.77,81.09,1424700,0,0
2021-03-18,79.87,80.47,73.1,74.39,4230700,0,0
2021-03-19,74.16,78.51,71.51,77.37,3185200,0,0
2021-03-22,77.81,83.46,77.81,81.99,2158000,0,0
2021-03-23,81.22,81.75,78.2,78.87,963800,0,0
2021-03-24,79.48,79.8,72.52,72.63,1555000,0,0
2021-03-25,70.62,71.3,67.72,69.56,2244400,0,0
2021-03-26,70.0,72.37,67.02,69.72,1474100,0,0
2021-03-29,69.72,73.92,68.67,69.99,1984400,0,0
2021-03-30,69.69,69.74,65.77,66.39,2254700,0,0
2021-03-31,67.71,71.2,65.65,70.72,2296000,0,0
2021-04-01,73.0,74.97,70.37,71.45,1661000,0,0
