Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-05-27,4.38,4.38,4.24,4.24,2838900,0.0,0
1993-05-28,4.24,4.29,4.21,4.27,603100,0.0,0
1993-06-01,4.24,4.24,4.21,4.21,455200,0.0,0
1993-06-02,4.21,4.4,4.21,4.4,616400,0.0,0
1993-06-03,4.38,4.38,4.27,4.27,216900,0.0,0
1993-06-04,4.27,4.29,4.24,4.27,58600,0.0,0
1993-06-07,4.27,4.27,4.21,4.21,148400,0.0,0
1993-06-08,4.21,4.24,4.21,4.21,169800,0.0,0
1993-06-09,4.21,4.27,4.21,4.24,225800,0.0,0
1993-06-10,4.27,4.27,4.21,4.24,78000,0.0,0
1993-06-11,4.24,4.24,4.21,4.21,109400,0.0,0
1993-06-14,4.21,4.24,4.21,4.21,72600,0.0,0
1993-06-15,4.21,4.24,4.21,4.21,38600,0.0,0
1993-06-16,4.21,4.24,4.21,4.21,109700,0.0,0
1993-06-17,4.24,4.24,4.21,4.21,86600,0.0,0
1993-06-18,4.24,4.24,4.21,4.21,96100,0.0,0
1993-06-21,4.24,4.24,4.21,4.24,61400,0.0,0
1993-06-22,4.21,4.24,4.21,4.21,64700,0.0,0
1993-06-23,4.21,4.24,4.21,4.21,36900,0.0,0
1993-06-24,4.24,4.27,4.21,4.21,62900,0.0,0
1993-06-25,4.21,4.24,4.21,4.21,17900,0.0,0
1993-06-28,4.21,4.35,4.21,4.32,61700,0.0,0
1993-06-29,4.32,4.35,4.27,4.27,47600,0.0,0
1993-06-30,4.29,4.35,4.27,4.35,99500,0.0,0
1993-07-01,4.32,4.35,4.32,4.32,27400,0.0,0
1993-07-02,4.35,4.35,4.32,4.35,46300,0.0,0
1993-07-06,4.34,4.37,4.29,4.29,96600,0.11,0
1993-07-07,4.26,4.29,4.26,4.26,11500,0.0,0
1993-07-08,4.26,4.29,4.26,4.29,14100,0.0,0
1993-07-09,4.29,4.32,4.24,4.24,41300,0.0,0
1993-07-12,4.24,4.29,4.24,4.24,20900,0.0,0
1993-07-13,4.26,4.29,4.26,4.29,8700,0.0,0
1993-07-14,4.26,4.29,4.24,4.24,47600,0.0,0
1993-07-15,4.24,4.32,4.24,4.24,102900,0.0,0
1993-07-16,4.26,4.26,4.24,4.26,16300,0.0,0
1993-07-19,4.26,4.26,4.24,4.26,193700,0.0,0
1993-07-20,4.26,4.29,4.26,4.29,83100,0.0,0
1993-07-21,4.32,4.32,4.26,4.26,32000,0.0,0
1993-07-22,4.26,4.26,4.26,4.26,40700,0.0,0
1993-07-23,4.26,4.29,4.26,4.26,33700,0.0,0
