Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-11-18,46.7,46.93,44.58,45.51,587100,0.0,0
2013-11-19,45.98,45.99,42.52,42.99,1682000,0.0,0
2013-11-20,43.16,43.18,41.29,41.91,1106900,0.0,0
2013-11-21,41.77,42.38,40.4,41.1,730200,0.0,0
2013-11-22,41.21,41.39,40.6,41.29,947600,0.0,0
2013-11-25,41.56,42.82,41.02,41.47,727300,0.0,0
2013-11-26,42.24,42.24,40.4,40.55,873700,0.0,0
2013-11-27,40.88,40.88,39.89,40.59,1153300,0.0,0
2013-11-29,40.13,41.16,40.13,40.59,949900,0.0,0
2013-12-02,40.44,40.99,38.97,40.49,5130700,0.0,0
2013-12-03,40.17,42.1,40.08,40.27,3239300,0.0,0
2013-12-04,39.83,40.0,39.09,39.26,2777700,0.0,0
2013-12-05,39.69,39.69,38.14,38.53,3380500,0.0,0
2013-12-06,38.25,38.54,38.15,38.2,4662300,0.0,0
2013-12-09,38.2,38.74,37.77,38.65,3074000,0.0,0
2013-12-10,38.55,40.21,38.52,39.95,3289400,0.0,0
2013-12-11,39.72,40.38,39.42,39.85,3367300,0.0,0
2013-12-12,39.43,40.46,39.42,40.33,1770500,0.0,0
2013-12-13,40.29,41.11,40.29,40.6,683800,0.0,0
2013-12-16,40.37,41.29,39.53,41.01,1953900,0.0,0
2013-12-17,40.77,41.3,40.51,41.07,1396700,0.0,0
2013-12-18,40.97,41.77,40.46,41.55,1225200,0.0,0
2013-12-19,41.26,41.77,41.13,41.72,593000,0.0,0
2013-12-20,41.58,41.72,41.22,41.54,2878600,0.0,0
2013-12-23,41.46,42.1,40.88,41.91,773600,0.0,0
2013-12-24,42.01,42.26,41.54,41.84,304700,0.0,0
2013-12-26,42.11,42.25,41.71,41.96,513200,0.0,0
2013-12-27,42.02,42.21,41.38,41.9,393300,0.0,0
2013-12-30,41.72,42.13,41.3,41.41,381500,0.0,0
2013-12-31,41.52,41.77,41.08,41.48,874200,0.0,0
2014-01-02,41.38,41.47,40.62,40.97,992900,0.0,0
2014-01-03,40.9,41.6,40.52,41.26,378400,0.0,0
2014-01-06,41.27,41.28,40.71,41.0,597800,0.0,0
2014-01-07,39.57,41.28,39.57,41.18,1371300,0.0,0
2014-01-08,41.32,41.64,40.74,41.19,1407100,0.0,0
2014-01-09,41.2,41.54,41.15,41.42,1093500,0.0,0
2014-01-10,41.46,43.25,41.32,42.92,2008600,0.0,0
2014-01-13,42.9,44.53,42.43,44.15,2278500,0.0,0
2014-01-14,44.27,44.95,44.03,44.87,2338200,0.0,0
2014-01-15,45.03,46.17,44.36,44.59,1733000,0.0,0
2014-01-16,44.38,44.75,44.15,44.49,1178700,0.0,0
2014-01-17,44.6,45.28,44.12,45.06,1572100,0.0,0
2014-01-21,46.35,46.35,45.0,45.21,1570400,0.0,0
2014-01-22,45.16,46.14,45.13,45.53,682200,0.0,0
2014-01-23,45.69,45.69,44.66,44.79,867600,0.0,0
2014-01-24,44.7,44.78,43.02,43.97,1417500,0.0,0
2014-01-27,42.43,45.06,42.43,43.74,717800,0.0,0
2014-01-28,43.9,44.94,43.9,44.8,721700,0.0,0
2014-01-29,44.44,45.51,44.24,44.85,800900,0.0,0
2014-01-30,44.97,46.59,44.9,46.39,1247100,0.0,0
2014-01-31,46.23,46.89,46.02,46.32,2011100,0.0,0
2014-02-03,46.32,46.88,44.3,44.53,1184800,0.0,0
2014-02-04,44.53,45.51,44.42,45.1,891300,0.0,0
2014-02-05,44.9,45.67,44.26,44.68,823100,0.0,0
2014-02-06,44.59,46.25,44.59,46.22,1168400,0.0,0
2014-02-07,46.3,47.19,46.3,46.88,1837500,0.0,0
2014-02-10,46.92,47.04,46.42,46.78,763400,0.0,0
2014-02-11,46.68,47.32,46.3,46.83,1446100,0.0,0
2014-02-12,46.86,47.87,46.68,46.93,1405300,0.0,0
2014-02-13,46.91,47.35,46.55,47.04,695000,0.0,0
2014-02-14,47.07,47.17,46.55,46.59,891700,0.0,0
2014-02-18,46.67,47.74,46.67,47.04,2748500,0.0,0
2014-02-19,46.78,47.25,46.02,46.14,1076100,0.0,0
2014-02-20,47.15,49.54,46.09,48.36,2623600,0.0,0
2014-02-21,48.57,49.55,48.57,49.16,2198700,0.0,0
2014-02-24,49.15,49.85,49.15,49.62,667900,0.0,0
2014-02-25,49.75,51.23,49.68,51.21,1117600,0.0,0
2014-02-26,51.47,52.36,50.86,51.31,1880100,0.0,0
2014-02-27,51.33,52.12,50.88,51.95,1139900,0.0,0
2014-02-28,51.71,51.93,50.52,51.02,1198500,0.0,0
2014-03-03,51.32,51.56,49.82,50.21,659600,0.0,0
2014-03-04,50.41,51.63,50.2,50.69,1189900,0.0,0
2014-03-05,50.59,50.98,50.1,50.64,395000,0.0,0
2014-03-06,50.68,50.78,49.79,49.93,617400,0.0,0
2014-03-07,50.16,50.48,49.36,50.11,776100,0.0,0
2014-03-10,49.94,50.38,49.03,50.02,1155300,0.0,0
2014-03-11,50.21,51.44,50.17,51.16,874700,0.0,0
2014-03-12,51.08,51.38,49.53,50.95,1255500,0.0,0
2014-03-13,51.19,51.43,49.94,50.39,946400,0.08,0
2014-03-14,50.4,50.71,50.06,50.1,1071800,0.0,0
2014-03-17,50.24,50.6,49.76,49.78,1011700,0.0,0
2014-03-18,49.77,50.28,49.55,50.08,880800,0.0,0
2014-03-19,49.99,50.76,49.75,50.08,645000,0.0,0
2014-03-20,50.21,50.97,49.65,50.92,628100,0.0,0
2014-03-21,51.12,51.52,50.52,50.58,1356800,0.0,0
2014-03-24,50.76,50.98,49.86,50.26,895600,0.0,0
2014-03-25,50.48,50.67,49.98,50.02,708000,0.0,0
2014-03-26,50.12,50.29,48.89,48.92,691100,0.0,0
2014-03-27,48.76,48.85,48.12,48.36,492900,0.0,0
2014-03-28,48.52,49.3,48.45,49.03,346100,0.0,0
2014-03-31,49.24,49.43,48.8,49.04,334600,0.0,0
2014-04-01,49.3,50.82,49.15,50.69,593600,0.0,0
2014-04-02,50.69,51.52,50.38,51.39,500500,0.0,0
2014-04-03,51.49,51.7,51.31,51.65,427900,0.0,0
2014-04-04,51.53,52.03,49.82,50.51,492000,0.0,0
2014-04-07,50.49,50.76,48.44,48.52,1054200,0.0,0
2014-04-08,48.26,48.67,47.76,48.33,1213700,0.0,0
2014-04-09,48.37,48.5,48.16,48.41,1212800,0.0,0
2014-04-10,48.43,48.68,47.11,47.64,1488500,0.0,0
2014-04-11,47.5,47.85,46.87,47.01,1184600,0.0,0
2014-04-14,47.26,47.58,46.23,46.79,605900,0.0,0
2014-04-15,46.89,47.41,46.0,46.96,419300,0.0,0
2014-04-16,47.15,47.68,46.85,47.22,254000,0.0,0
2014-04-17,47.07,47.51,46.47,47.14,427200,0.0,0
2014-04-21,46.98,47.61,46.63,47.59,225700,0.0,0
2014-04-22,47.67,48.08,47.34,47.94,422500,0.0,0
2014-04-23,47.84,47.9,46.98,47.38,507800,0.0,0
2014-04-24,47.58,47.73,46.74,47.23,659800,0.0,0
2014-04-25,46.95,47.37,46.41,46.57,290300,0.0,0
2014-04-28,46.85,47.08,45.54,45.89,605400,0.0,0
2014-04-29,46.02,46.47,45.55,45.97,442000,0.0,0
2014-04-30,46.06,46.49,45.54,46.39,481100,0.0,0
2014-05-01,47.94,48.75,46.51,48.18,722100,0.0,0
2014-05-02,48.11,48.64,47.24,47.66,479000,0.0,0
2014-05-05,47.26,47.49,46.6,47.06,413800,0.0,0
2014-05-06,46.95,47.15,46.58,46.9,596000,0.0,0
2014-05-07,46.9,47.3,46.38,46.94,598000,0.0,0
