Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-06-17,0.0,0.27,0.27,0.27,42936000,0.0,0.0
1983-06-20,0.0,0.24,0.24,0.24,7329600,0.0,0.0
1983-06-21,0.0,0.25,0.24,0.24,2280000,0.0,0.0
1983-06-22,0.0,0.25,0.25,0.25,5937600,0.0,0.0
1983-06-23,0.0,0.25,0.25,0.25,1272000,0.0,0.0
1983-06-24,0.0,0.25,0.24,0.24,1574400,0.0,0.0
1983-06-27,0.0,0.22,0.21,0.21,5884800,0.0,0.0
1983-06-28,0.0,0.22,0.21,0.21,4987200,0.0,0.0
1983-06-29,0.0,0.21,0.21,0.21,1056000,0.0,0.0
1983-06-30,0.0,0.22,0.21,0.21,2164800,0.0,0.0
1983-07-01,0.0,0.22,0.21,0.21,350400,0.0,0.0
1983-07-05,0.0,0.21,0.2,0.2,576000,0.0,0.0
1983-07-06,0.0,0.21,0.2,0.2,638400,0.0,0.0
1983-07-07,0.0,0.21,0.21,0.21,1046400,0.0,0.0
1983-07-08,0.0,0.21,0.2,0.2,681600,0.0,0.0
1983-07-11,0.0,0.21,0.21,0.21,729600,0.0,0.0
1983-07-12,0.0,0.22,0.21,0.21,777600,0.0,0.0
1983-07-13,0.0,0.23,0.22,0.22,4420800,0.0,0.0
1983-07-14,0.0,0.23,0.22,0.22,777600,0.0,0.0
1983-07-15,0.0,0.23,0.22,0.22,897600,0.0,0.0
1983-07-18,0.0,0.22,0.22,0.22,456000,0.0,0.0
1983-07-19,0.0,0.22,0.21,0.21,417600,0.0,0.0
1983-07-20,0.0,0.21,0.21,0.21,484800,0.0,0.0
1983-07-21,0.0,0.21,0.2,0.2,1156800,0.0,0.0
1983-07-22,0.0,0.2,0.2,0.2,3038400,0.0,0.0
1983-07-25,0.0,0.2,0.2,0.2,1401600,0.0,0.0
1983-07-26,0.0,0.2,0.2,0.2,2697600,0.0,0.0
1983-07-27,0.0,0.2,0.19,0.19,566400,0.0,0.0
1983-07-28,0.19,0.19,0.19,0.19,0,0.0,0.0
1983-07-29,0.0,0.2,0.19,0.19,734400,0.0,0.0
1983-08-01,0.0,0.19,0.18,0.18,710400,0.0,0.0
1983-08-02,0.0,0.19,0.18,0.18,225600,0.0,0.0
1983-08-03,0.0,0.19,0.18,0.18,105600,0.0,0.0
1983-08-04,0.0,0.18,0.18,0.18,360000,0.0,0.0
1983-08-05,0.0,0.18,0.17,0.17,417600,0.0,0.0
1983-08-08,0.0,0.17,0.17,0.17,292800,0.0,0.0
1983-08-09,0.0,0.17,0.16,0.16,849600,0.0,0.0
1983-08-10,0.0,0.17,0.16,0.16,700800,0.0,0.0
1983-08-11,0.0,0.17,0.16,0.16,124800,0.0,0.0
1983-08-12,0.0,0.17,0.16,0.16,201600,0.0,0.0
1983-08-15,0.0,0.17,0.16,0.16,585600,0.0,0.0
1983-08-16,0.0,0.17,0.16,0.16,235200,0.0,0.0
1983-08-17,0.0,0.17,0.16,0.16,153600,0.0,0.0
1983-08-18,0.0,0.16,0.15,0.15,715200,0.0,0.0
1983-08-19,0.0,0.15,0.15,0.15,744000,0.0,0.0
1983-08-22,0.0,0.14,0.13,0.13,508800,0.0,0.0
1983-08-23,0.0,0.14,0.13,0.13,523200,0.0,0.0
1983-08-24,0.0,0.14,0.13,0.13,700800,0.0,0.0
1983-08-25,0.0,0.14,0.13,0.13,331200,0.0,0.0
1983-08-26,0.0,0.14,0.13,0.13,643200,0.0,0.0
1983-08-29,0.0,0.14,0.13,0.13,398400,0.0,0.0
1983-08-30,0.0,0.14,0.13,0.13,230400,0.0,0.0
1983-08-31,0.0,0.14,0.14,0.14,1300800,0.0,0.0
1983-09-01,0.0,0.15,0.15,0.15,2064000,0.0,0.0
1983-09-02,0.0,0.16,0.16,0.16,1252800,0.0,0.0
1983-09-06,0.0,0.16,0.16,0.16,868800,0.0,0.0
1983-09-07,0.0,0.16,0.16,0.16,590400,0.0,0.0
1983-09-08,0.0,0.16,0.16,0.16,566400,0.0,0.0
1983-09-09,0.0,0.16,0.16,0.16,331200,0.0,0.0
1983-09-12,0.0,0.17,0.16,0.16,1516800,0.0,0.0
1983-09-13,0.0,0.17,0.16,0.16,105600,0.0,0.0
1983-09-14,0.0,0.17,0.16,0.16,465600,0.0,0.0
1983-09-15,0.0,0.15,0.15,0.15,1867200,0.0,0.0
1983-09-16,0.0,0.13,0.13,0.13,1680000,0.0,0.0
1983-09-19,0.0,0.13,0.13,0.13,648000,0.0,0.0
1983-09-20,0.0,0.14,0.13,0.13,1252800,0.0,0.0
1983-09-21,0.0,0.14,0.13,0.13,2169600,0.0,0.0
1983-09-22,0.0,0.14,0.14,0.14,3772800,0.0,0.0
1983-09-23,0.0,0.14,0.14,0.14,6825600,0.0,0.0
1983-09-26,0.0,0.15,0.14,0.14,518400,0.0,0.0
1983-09-27,0.0,0.15,0.14,0.14,1881600,0.0,0.0
1983-09-28,0.0,0.14,0.14,0.14,2011200,0.0,0.0
1983-09-29,0.0,0.15,0.14,0.14,696000,0.0,0.0
1983-09-30,0.0,0.14,0.14,0.14,283200,0.0,0.0
1983-10-03,0.0,0.14,0.14,0.14,1305600,0.0,0.0
1983-10-04,0.0,0.14,0.14,0.14,268800,0.0,0.0
1983-10-05,0.0,0.14,0.14,0.14,316800,0.0,0.0
1983-10-06,0.0,0.14,0.14,0.14,312000,0.0,0.0
1983-10-07,0.0,0.14,0.14,0.14,456000,0.0,0.0
1983-10-10,0.0,0.14,0.14,0.14,201600,0.0,0.0
1983-10-11,0.0,0.13,0.13,0.13,657600,0.0,0.0
1983-10-12,0.0,0.13,0.12,0.12,336000,0.0,0.0
1983-10-13,0.0,0.13,0.12,0.12,1036800,0.0,0.0
1983-10-14,0.0,0.13,0.12,0.12,1315200,0.0,0.0
1983-10-17,0.0,0.13,0.12,0.12,734400,0.0,0.0
1983-10-18,0.0,0.12,0.12,0.12,235200,0.0,0.0
1983-10-19,0.0,0.11,0.11,0.11,3417600,0.0,0.0
1983-10-20,0.0,0.11,0.11,0.11,1584000,0.0,0.0
1983-10-21,0.0,0.11,0.11,0.11,288000,0.0,0.0
1983-10-24,0.0,0.11,0.11,0.11,484800,0.0,0.0
1983-10-25,0.0,0.11,0.11,0.11,110400,0.0,0.0
1983-10-26,0.0,0.11,0.11,0.11,998400,0.0,0.0
1983-10-27,0.0,0.11,0.11,0.11,739200,0.0,0.0
1983-10-28,0.0,0.11,0.11,0.11,331200,0.0,0.0
1983-10-31,0.0,0.11,0.11,0.11,1281600,0.0,0.0
1983-11-01,0.0,0.1,0.1,0.1,681600,0.0,0.0
1983-11-02,0.0,0.1,0.1,0.1,1454400,0.0,0.0
1983-11-03,0.0,0.1,0.1,0.1,1089600,0.0,0.0
1983-11-04,0.0,0.1,0.1,0.1,811200,0.0,0.0
1983-11-07,0.0,0.1,0.1,0.1,1598400,0.0,0.0
1983-11-08,0.0,0.1,0.1,0.1,331200,0.0,0.0
1983-11-09,0.0,0.1,0.1,0.1,960000,0.0,0.0
1983-11-10,0.0,0.1,0.1,0.1,1291200,0.0,0.0
1983-11-11,0.0,0.1,0.1,0.1,1094400,0.0,0.0
1983-11-14,0.0,0.11,0.1,0.1,4737600,0.0,0.0
1983-11-15,0.0,0.11,0.11,0.11,2640000,0.0,0.0
1983-11-16,0.0,0.13,0.12,0.12,4368000,0.0,0.0
1983-11-17,0.0,0.13,0.13,0.13,3043200,0.0,0.0
1983-11-18,0.0,0.13,0.13,0.13,412800,0.0,0.0
1983-11-21,0.0,0.13,0.12,0.12,960000,0.0,0.0
1983-11-22,0.0,0.12,0.12,0.12,460800,0.0,0.0
1983-11-23,0.0,0.12,0.11,0.11,1156800,0.0,0.0
1983-11-25,0.0,0.12,0.11,0.11,230400,0.0,0.0
1983-11-28,0.0,0.12,0.11,0.11,230400,0.0,0.0
1983-11-29,0.0,0.12,0.11,0.11,753600,0.0,0.0
1983-11-30,0.0,0.12,0.11,0.11,268800,0.0,0.0
1983-12-01,0.0,0.12,0.11,0.11,153600,0.0,0.0
1983-12-02,0.0,0.12,0.11,0.11,288000,0.0,0.0
1983-12-05,0.0,0.11,0.11,0.11,864000,0.0,0.0
1983-12-06,0.0,0.11,0.1,0.1,1185600,0.0,0.0
1983-12-07,0.0,0.11,0.11,0.11,696000,0.0,0.0
1983-12-08,0.0,0.11,0.11,0.11,2496000,0.0,0.0
1983-12-09,0.0,0.11,0.11,0.11,1641600,0.0,0.0
1983-12-12,0.0,0.11,0.11,0.11,806400,0.0,0.0
1983-12-13,0.0,0.12,0.11,0.11,993600,0.0,0.0
1983-12-14,0.0,0.12,0.11,0.11,3772800,0.0,0.0
1983-12-15,0.0,0.11,0.11,0.11,5769600,0.0,0.0
1983-12-16,0.0,0.11,0.11,0.11,1281600,0.0,0.0
1983-12-19,0.0,0.12,0.11,0.11,2476800,0.0,0.0
1983-12-20,0.0,0.11,0.11,0.11,691200,0.0,0.0
1983-12-21,0.0,0.11,0.11,0.11,1315200,0.0,0.0
1983-12-22,0.0,0.11,0.11,0.11,3513600,0.0,0.0
1983-12-23,0.0,0.11,0.11,0.11,292800,0.0,0.0
1983-12-27,0.0,0.12,0.11,0.11,3720000,0.0,0.0
1983-12-28,0.0,0.12,0.11,0.12,2457600,0.0,0.0
1983-12-29,0.0,0.12,0.12,0.12,892800,0.0,0.0
1983-12-30,0.0,0.12,0.11,0.12,1464000,0.0,0.0
1984-01-03,0.0,0.12,0.11,0.12,643200,0.0,0.0
1984-01-04,0.0,0.12,0.12,0.12,960000,0.0,0.0
1984-01-05,0.0,0.12,0.12,0.12,2337600,0.0,0.0
1984-01-06,0.0,0.13,0.11,0.13,1464000,0.0,0.0
1984-01-09,0.0,0.13,0.13,0.13,753600,0.0,0.0
1984-01-10,0.0,0.14,0.13,0.13,446400,0.0,0.0
1984-01-11,0.0,0.14,0.13,0.14,1939200,0.0,0.0
1984-01-12,0.0,0.14,0.13,0.13,609600,0.0,0.0
1984-01-13,0.0,0.14,0.13,0.13,3278400,0.0,0.0
1984-01-16,0.0,0.13,0.13,0.13,249600,0.0,0.0
1984-01-17,0.0,0.13,0.12,0.13,1780800,0.0,0.0
1984-01-18,0.0,0.13,0.13,0.13,412800,0.0,0.0
1984-01-19,0.0,0.13,0.13,0.13,456000,0.0,0.0
1984-01-20,0.0,0.13,0.12,0.13,796800,0.0,0.0
1984-01-23,0.0,0.13,0.12,0.12,628800,0.0,0.0
1984-01-24,0.0,0.13,0.12,0.13,1104000,0.0,0.0
1984-01-25,0.0,0.13,0.13,0.13,825600,0.0,0.0
1984-01-26,0.0,0.13,0.13,0.13,72000,0.0,0.0
1984-01-27,0.0,0.13,0.13,0.13,1305600,0.0,0.0
1984-01-30,0.0,0.13,0.13,0.13,571200,0.0,0.0
1984-01-31,0.0,0.13,0.13,0.13,432000,0.0,0.0
1984-02-01,0.0,0.13,0.12,0.12,398400,0.0,0.0
1984-02-02,0.0,0.13,0.12,0.12,1713600,0.0,0.0
1984-02-03,0.0,0.13,0.12,0.12,264000,0.0,0.0
1984-02-06,0.0,0.13,0.12,0.12,465600,0.0,0.0
1984-02-07,0.0,0.12,0.11,0.12,417600,0.0,0.0
1984-02-08,0.0,0.11,0.11,0.11,1041600,0.0,0.0
1984-02-09,0.0,0.11,0.11,0.11,331200,0.0,0.0
1984-02-10,0.0,0.11,0.11,0.11,211200,0.0,0.0
1984-02-13,0.0,0.11,0.1,0.1,547200,0.0,0.0
1984-02-14,0.0,0.11,0.1,0.11,182400,0.0,0.0
1984-02-15,0.0,0.11,0.1,0.11,129600,0.0,0.0
1984-02-16,0.0,0.11,0.1,0.1,902400,0.0,0.0
1984-02-17,0.0,0.1,0.1,0.1,619200,0.0,0.0
1984-02-21,0.0,0.1,0.1,0.1,595200,0.0,0.0
1984-02-22,0.0,0.1,0.1,0.1,542400,0.0,0.0
1984-02-23,0.0,0.1,0.1,0.1,139200,0.0,0.0
1984-02-24,0.0,0.1,0.1,0.1,1574400,0.0,0.0
1984-02-27,0.0,0.11,0.1,0.11,782400,0.0,0.0
1984-02-28,0.0,0.11,0.1,0.1,844800,0.0,0.0
1984-02-29,0.0,0.1,0.1,0.1,321600,0.0,0.0
1984-03-01,0.0,0.1,0.1,0.1,2433600,0.0,0.0
1984-03-02,0.0,0.1,0.1,0.1,139200,0.0,0.0
1984-03-05,0.0,0.11,0.1,0.1,758400,0.0,0.0
1984-03-06,0.0,0.11,0.1,0.1,532800,0.0,0.0
1984-03-07,0.0,0.1,0.1,0.1,192000,0.0,0.0
1984-03-08,0.0,0.1,0.1,0.1,38400,0.0,0.0
1984-03-09,0.0,0.1,0.1,0.1,316800,0.0,0.0
