Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-15,70.0,71.51,63.0,65.2,11444400,0,0
2021-04-16,65.0,65.2,58.65,61.0,4198900,0,0
2021-04-19,60.0,61.0,55.71,58.86,4642500,0,0
2021-04-20,60.04,61.9,58.99,60.15,3055500,0,0
2021-04-21,60.49,62.21,56.53,61.81,3607100,0,0
2021-04-22,61.95,62.95,60.51,62.1,844900,0,0
2021-04-23,62.1,62.94,58.45,58.5,1229600,0,0
2021-04-26,58.77,59.81,57.65,59.8,796200,0,0
2021-04-27,60.0,61.11,58.71,58.85,630200,0,0
2021-04-28,58.42,60.04,58.07,58.75,309600,0,0
2021-04-29,59.0,59.83,58.82,59.17,292900,0,0
2021-04-30,59.41,59.56,57.81,58.01,284000,0,0
2021-05-03,58.53,60.41,58.53,60.06,516100,0,0
2021-05-04,59.78,60.0,57.82,58.55,879088,0,0
