Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-02,12.1,13.01,12.05,12.99,8785600,0,0
2020-10-05,13.33,13.88,13.05,13.15,2040800,0,0
2020-10-06,13.15,13.36,12.75,13.04,901400,0,0
2020-10-07,13.02,13.32,12.85,13.18,1333600,0,0
2020-10-08,13.25,13.48,13.1,13.28,998900,0,0
2020-10-09,13.41,13.66,13.12,13.3,410700,0,0
2020-10-12,13.4,13.7,13.32,13.45,343600,0,0
2020-10-13,13.57,13.59,13.3,13.46,320600,0,0
2020-10-14,13.46,13.64,13.0,13.31,942500,0,0
2020-10-15,12.98,14.0,12.8,13.7,438900,0,0
2020-10-16,13.7,13.95,13.57,13.92,348700,0,0
2020-10-19,14.0,14.2,13.7,13.82,598900,0,0
2020-10-20,13.95,14.66,13.8,14.49,424300,0,0
2020-10-21,14.6,15.71,14.6,14.9,1836500,0,0
2020-10-22,14.93,15.24,14.26,14.76,766400,0,0
2020-10-23,14.72,15.05,14.41,14.58,496700,0,0
2020-10-26,14.42,14.85,14.26,14.8,628100,0,0
2020-10-27,15.24,15.68,14.88,14.88,1187000,0,0
2020-10-28,14.97,15.11,14.14,14.44,722900,0,0
2020-10-29,14.82,15.0,14.32,14.66,631800,0,0
2020-10-30,14.53,15.0,14.51,14.7,728500,0,0
2020-11-02,14.99,15.2,14.83,15.13,691400,0,0
2020-11-03,15.29,15.51,15.05,15.39,637800,0,0
2020-11-04,15.38,15.88,15.08,15.72,528800,0,0
2020-11-05,16.0,16.6,15.81,16.51,526400,0,0
2020-11-06,16.79,17.79,16.58,17.5,1287600,0,0
2020-11-09,18.0,18.07,15.78,16.19,1417500,0,0
2020-11-10,16.34,17.39,16.21,16.71,634900,0,0
2020-11-11,17.47,17.47,16.2,16.48,515800,0,0
2020-11-12,16.42,16.93,16.06,16.25,304600,0,0
2020-11-13,16.25,16.87,16.06,16.67,536400,0,0
2020-11-16,16.92,17.0,16.07,16.43,665600,0,0
2020-11-17,16.43,16.49,15.9,16.1,566100,0,0
2020-11-18,16.22,16.3,15.11,15.22,1023300,0,0
2020-11-19,15.38,15.57,14.94,15.24,753300,0,0
2020-11-20,15.46,16.0,15.46,15.82,2549000,0,0
2020-11-23,16.2,16.4,15.62,16.0,753400,0,0
2020-11-24,16.0,17.05,15.9,17.0,1031800,0,0
2020-11-25,16.74,17.0,16.27,16.7,752500,0,0
2020-11-27,17.0,17.42,16.38,16.58,638300,0,0
2020-11-30,17.15,17.48,16.2,16.45,1108300,0,0
2020-12-01,16.8,17.02,16.5,16.88,990900,0,0
2020-12-02,16.66,17.32,16.29,16.41,1200500,0,0
2020-12-03,16.41,16.73,15.58,16.2,1034600,0,0
2020-12-04,16.47,16.49,15.57,15.88,1068400,0,0
2020-12-07,16.2,16.39,15.69,16.19,1482100,0,0
2020-12-08,16.04,16.2,15.7,15.96,1314200,0,0
2020-12-09,16.17,17.0,15.71,16.85,1693100,0,0
2020-12-10,18.49,18.5,16.51,17.49,3713100,0,0
2020-12-11,17.49,18.36,17.2,17.58,2416700,0,0
2020-12-14,17.99,18.35,17.31,18.0,1187000,0,0
2020-12-15,18.04,19.08,17.93,18.5,2064300,0,0
2020-12-16,18.93,19.36,18.75,18.85,1902800,0,0
2020-12-17,18.93,19.44,18.52,18.81,1900000,0,0
2020-12-18,18.72,19.23,18.4,18.41,4541800,0,0
2020-12-21,18.47,19.07,18.01,18.6,1367000,0,0
2020-12-22,18.74,20.24,18.74,19.98,1400200,0,0
2020-12-23,19.94,21.17,19.21,19.53,1180700,0,0
2020-12-24,19.61,20.23,19.25,20.14,373400,0,0
2020-12-28,20.04,21.07,19.57,20.88,954900,0,0
2020-12-29,21.0,21.23,20.35,20.98,703200,0,0
2020-12-30,20.8,21.0,20.49,20.8,685800,0,0
2020-12-31,20.67,20.94,20.35,20.73,451800,0,0
2021-01-04,20.61,21.7,20.59,21.19,1175700,0,0
2021-01-05,21.16,21.31,19.87,20.67,1084800,0,0
2021-01-06,20.8,21.37,20.34,21.17,939500,0,0
2021-01-07,21.25,21.5,20.4,20.51,511300,0,0
2021-01-08,20.63,21.08,20.0,20.78,517400,0,0
2021-01-11,20.5,22.5,20.41,21.89,905100,0,0
2021-01-12,21.91,23.21,21.85,22.53,619900,0,0
2021-01-13,22.61,23.24,21.65,22.03,707600,0,0
2021-01-14,22.16,22.77,21.76,22.57,909600,0,0
2021-01-15,22.58,22.72,21.67,22.18,769800,0,0
2021-01-19,21.98,22.45,21.46,21.58,625400,0,0
2021-01-20,21.58,22.95,21.56,22.52,608900,0,0
2021-01-21,22.63,22.66,21.66,21.8,589900,0,0
2021-01-22,21.71,22.5,20.75,22.46,750800,0,0
2021-01-25,22.91,24.95,22.9,23.69,1865400,0,0
2021-01-26,23.61,25.0,22.64,24.29,1481100,0,0
2021-01-27,24.37,26.7,21.57,22.08,3098900,0,0
2021-01-28,21.5,22.2,20.31,21.07,7827600,0,0
2021-01-29,20.78,22.98,20.78,21.5,4862400,0,0
2021-02-01,21.93,22.95,21.21,22.1,3651900,0,0
2021-02-02,22.02,23.0,21.5,22.75,2087200,0,0
2021-02-03,23.0,24.38,22.19,23.62,1592800,0,0
2021-02-04,23.62,24.4,23.21,23.93,1516200,0,0
2021-02-05,23.91,24.63,23.72,23.92,1418500,0,0
2021-02-08,24.15,24.56,23.92,24.0,1334200,0,0
2021-02-09,24.19,24.27,23.04,23.61,974900,0,0
2021-02-10,23.9,25.7,23.62,25.56,1612200,0,0
2021-02-11,26.16,26.65,24.7,25.36,1029000,0,0
2021-02-12,25.17,25.62,24.8,25.47,465400,0,0
2021-02-16,26.34,26.7,25.31,26.08,950700,0,0
2021-02-17,26.31,26.31,24.78,25.17,891800,0,0
2021-02-18,25.35,25.39,24.45,25.15,673000,0,0
2021-02-19,25.31,25.92,24.8,25.15,941000,0,0
2021-02-22,25.07,25.25,24.21,24.51,783500,0,0
2021-02-23,24.13,25.66,23.18,24.53,1150400,0,0
2021-02-24,24.69,25.09,24.09,24.89,522200,0,0
2021-02-25,25.0,25.38,24.2,24.74,812800,0,0
