Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-02,1.96,2.04,1.94,1.94,1768,0.0,0.0
2000-10-03,1.94,2.06,1.94,2.06,11491,0.0,0.0
2000-10-04,1.98,1.98,1.9,1.9,2475,0.0,0.0
2000-10-05,1.92,1.92,1.9,1.92,2475,0.0,0.0
2000-10-06,1.96,2.04,1.94,2.04,8132,0.0,0.0
2000-10-09,2.08,2.08,2.04,2.08,25104,0.0,0.0
2000-10-10,2.08,2.16,2.04,2.08,105719,0.0,0.0
2000-10-11,2.12,2.16,2.04,2.04,21038,0.0,0.0
2000-10-12,2.12,2.12,1.86,1.88,59401,0.0,0.0
2000-10-13,1.92,1.96,1.92,1.92,4066,0.0,0.0
2000-10-16,2.0,2.0,1.82,1.9,19093,0.0,0.0
2000-10-17,1.86,1.86,1.72,1.82,113497,0.0,0.0
2000-10-18,1.82,1.86,1.7,1.86,11491,0.0,0.0
2000-10-19,1.86,1.9,1.84,1.88,56218,0.0,0.0
2000-10-20,1.88,1.88,1.88,1.88,884,0.0,0.0
2000-10-23,1.84,2.04,1.84,2.04,43313,0.0,0.0
2000-10-24,2.08,2.16,2.08,2.16,5834,0.0,0.0
2000-10-25,2.16,2.2,2.12,2.12,13789,0.0,0.0
2000-10-26,2.16,2.18,2.12,2.12,7602,0.0,0.0
2000-10-27,2.14,2.14,2.14,2.14,354,0.0,0.0
2000-10-30,2.14,2.14,2.04,2.04,5834,0.0,0.0
2000-10-31,2.0,2.0,1.92,1.94,8486,0.0,0.0
2000-11-01,1.98,1.98,1.98,1.98,1945,0.0,0.0
2000-11-02,1.94,1.98,1.84,1.88,8486,0.0,0.0
2000-11-03,1.92,1.96,1.88,1.92,201714,0.0,0.0
2000-11-06,1.88,1.9,1.88,1.9,3359,0.0,0.0
2000-11-07,1.9,2.02,1.9,1.96,256518,0.0,0.0
2000-11-08,2.0,2.1,2.0,2.08,149916,0.0,0.0
2000-11-09,2.0,2.08,2.0,2.02,31998,0.0,0.0
2000-11-10,2.0,2.0,2.0,2.0,2475,0.0,0.0
2000-11-13,1.96,1.96,1.88,1.92,2829,0.0,0.0
