Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-19,9.9,9.9,9.9,9.9,100,0,0
2021-04-20,9.9,9.92,9.87,9.92,31900,0,0
2021-04-21,9.88,10.14,9.88,9.89,74000,0,0
2021-04-22,9.89,10.04,9.89,9.89,15300,0,0
2021-04-23,9.89,9.94,9.88,9.92,124300,0,0
2021-04-26,10.0,10.0,9.87,9.9,96900,0,0
2021-04-27,9.94,9.95,9.88,9.91,610900,0,0
2021-04-28,9.87,9.96,9.87,9.9,364500,0,0
2021-04-29,9.89,9.94,9.88,9.9,268300,0,0
2021-04-30,9.87,9.95,9.87,9.91,174700,0,0
2021-05-03,9.87,9.92,9.87,9.88,114500,0,0
2021-05-04,9.89,9.89,9.86,9.86,156100,0,0
2021-05-05,9.87,9.87,9.83,9.83,38400,0,0
2021-05-06,9.85,9.9,9.85,9.89,127900,0,0
2021-05-07,9.9,9.92,9.9,9.9,205700,0,0
2021-05-10,9.89,9.91,9.86,9.9,70400,0,0
2021-05-11,9.85,9.88,9.81,9.81,542500,0,0
2021-05-12,9.83,9.84,9.8,9.81,164400,0,0
2021-05-13,9.8,9.85,9.75,9.77,438400,0,0
2021-05-14,9.78,9.78,9.71,9.77,139800,0,0
2021-05-17,9.75,9.81,9.73,9.78,229600,0,0
2021-05-18,9.78,9.8,9.75,9.77,75400,0,0
2021-05-19,9.77,9.83,9.73,9.82,106000,0,0
2021-05-20,9.77,9.78,9.73,9.74,229900,0,0
2021-05-21,9.75,9.76,9.7,9.7,167800,0,0
