Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-23,9.75,9.78,9.75,9.78,124700,0,0
2021-04-26,4.5,9.97,4.5,9.9,4200,0,0
2021-04-27,9.9,9.9,9.9,9.9,0,0,0
2021-04-28,9.95,9.95,9.72,9.72,800,0,0
2021-04-29,9.72,9.72,9.72,9.72,0,0,0
2021-04-30,9.9,9.9,9.72,9.72,200,0,0
2021-05-03,9.72,9.72,9.72,9.72,0,0,0
2021-05-04,9.72,9.72,9.72,9.72,0,0,0
2021-05-05,9.72,9.72,9.72,9.72,0,0,0
2021-05-06,9.72,9.72,9.72,9.72,0,0,0
2021-05-07,9.72,9.72,9.72,9.72,0,0,0
2021-05-10,9.72,9.72,9.72,9.72,0,0,0
2021-05-11,9.72,9.72,9.72,9.72,0,0,0
2021-05-12,9.72,9.72,9.72,9.72,0,0,0
2021-05-13,9.72,9.72,9.6,9.7,3400,0,0
2021-05-14,9.64,9.7,9.63,9.63,6900,0,0
2021-05-17,9.63,9.63,9.63,9.63,5000,0,0
2021-05-18,9.63,9.63,9.63,9.63,5000,0,0
2021-05-19,9.63,9.63,9.63,9.63,0,0,0
2021-05-20,9.63,9.63,9.63,9.63,0,0,0
2021-05-21,9.63,9.63,9.63,9.63,0,0,0
