Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-08-05,14.16,14.45,13.99,14.24,107900,0.0,0
1998-08-06,14.2,14.53,14.16,14.49,90700,0.0,0
1998-08-07,14.49,14.74,14.49,14.66,89800,0.0,0
1998-08-10,14.74,14.83,14.7,14.83,73300,0.0,0
1998-08-11,14.16,14.33,14.08,14.33,101500,0.0,0
1998-08-12,13.95,13.99,13.74,13.83,69200,0.0,0
1998-08-13,12.95,13.45,12.95,13.33,61500,0.0,0
1998-08-14,13.41,13.58,13.33,13.53,28700,0.0,0
1998-08-17,13.62,13.62,13.41,13.58,40000,0.0,0
1998-08-18,13.49,13.58,13.41,13.53,20100,0.0,0
1998-08-19,13.49,13.49,13.16,13.16,58000,0.0,0
1998-08-20,13.28,13.33,12.83,13.16,76700,0.0,0
1998-08-21,13.08,13.33,12.99,13.28,102700,0.0,0
1998-08-24,13.24,13.24,12.7,13.16,73500,0.0,0
1998-08-25,12.66,12.99,12.53,12.58,53200,0.0,0
1998-08-26,12.24,12.24,11.66,11.7,112300,0.0,0
1998-08-27,11.33,11.41,10.99,11.2,98400,0.0,0
1998-08-28,11.04,11.41,10.66,10.87,109400,0.0,0
1998-08-31,11.44,11.44,10.7,10.83,117300,0.0,0
1998-09-01,11.66,12.45,11.58,12.45,109600,0.0,0
1998-09-02,12.04,12.45,11.87,12.33,45700,0.0,0
1998-09-03,12.08,13.78,12.04,13.74,246900,0.0,0
1998-09-04,13.53,14.99,13.53,14.49,214700,0.0,0
1998-09-08,14.66,14.99,13.33,13.99,150700,0.0,0
1998-09-09,13.87,13.99,13.62,13.95,52400,0.0,0
1998-09-10,14.91,16.03,14.83,15.57,308300,0.0,0
1998-09-11,16.03,16.24,15.08,15.08,217700,0.0,0
1998-09-14,14.99,14.99,14.2,14.66,97000,0.0,0
1998-09-15,14.83,14.95,14.74,14.83,29300,0.0,0
1998-09-16,14.66,14.83,13.99,14.03,148500,0.0,0
1998-09-17,14.83,15.12,14.66,14.99,74000,0.0,0
1998-09-18,14.99,14.99,14.49,14.74,35400,0.0,0
1998-09-21,15.08,15.08,14.74,14.78,99000,0.0,0
