Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-29,21.08,22.3975,20.553,21.607,11336200,0.0,0
1999-02-01,22.4854,22.4854,21.4314,21.4753,1052600,0.0,0
1999-02-02,21.607,21.607,19.8943,20.2895,1084900,0.0,0
1999-02-03,20.3774,20.4652,20.2456,20.3335,485500,0.0,0
1999-02-04,20.3334,20.4213,20.2895,20.2895,204400,0.0,0
1999-02-05,20.2895,20.4652,20.2895,20.3774,329700,0.0,0
1999-02-08,20.3774,20.5091,20.3774,20.3774,222200,0.0,0
1999-02-09,20.3774,20.6409,20.3774,20.3774,130400,0.0,0
1999-02-10,20.2895,20.4652,20.2895,20.3335,61600,0.0,0
1999-02-11,20.3774,20.553,20.2895,20.4652,66000,0.0,0
1999-02-12,20.8165,20.8604,20.5969,20.8604,99400,0.0,0
1999-02-16,20.8165,20.8604,20.6409,20.8165,88000,0.0,0
1999-02-17,20.7287,21.2557,20.6848,21.08,94000,0.0,0
1999-02-18,21.1239,21.1679,21.08,21.1679,209900,0.0,0
1999-02-19,21.2557,21.2996,21.08,21.1679,86000,0.0,0
1999-02-22,21.08,21.1679,21.08,21.124,55500,0.0,0
1999-02-23,21.1679,21.1679,21.0361,21.08,52500,0.0,0
1999-02-24,21.08,21.9144,21.0361,21.7388,126000,0.0,0
1999-02-25,21.7388,21.7388,21.1679,21.2557,123700,0.0,0
1999-02-26,21.2557,22.0462,21.2557,22.0462,64300,0.0,0
1999-03-01,21.6949,21.7827,21.2996,21.7827,165100,0.0,0
1999-03-02,21.9584,22.7928,21.9584,22.134,286700,0.0,0
1999-03-03,22.2658,22.3097,21.8266,21.8266,77800,0.0,0
1999-03-04,21.7388,21.7388,21.1239,21.1679,269000,0.0,0
1999-03-05,21.4314,21.4314,21.1679,21.2118,27300,0.0,0
1999-03-08,21.2118,21.2118,21.08,21.08,59300,0.0,0
1999-03-09,20.9483,21.1679,20.9044,21.1679,95500,0.0,0
1999-03-10,21.08,21.08,20.9044,20.9483,52500,0.0,0
1999-03-11,20.9483,21.08,20.9483,21.08,53900,0.0,0
1999-03-12,21.2118,21.4314,21.2118,21.4314,25700,0.0,0
1999-03-15,21.4314,22.2658,21.4314,22.2658,40700,0.0,0
1999-03-16,22.2658,23.2759,22.2658,23.0563,184500,0.0,0
1999-03-17,23.0563,23.8907,22.8806,23.0124,120600,0.0,0
1999-03-18,23.0124,23.232,22.9685,22.9685,113100,0.0,0
1999-03-19,23.0124,23.0124,22.5293,22.8806,108500,0.0,0
1999-03-22,22.8806,23.0124,22.8806,22.8806,53000,0.0,0
1999-03-23,22.7928,22.8367,22.3536,22.3975,110000,0.0,0
1999-03-24,22.4854,22.4854,22.2219,22.3097,36400,0.0,0
1999-03-25,22.3536,22.4414,22.3097,22.3975,41800,0.0,0
1999-03-26,22.3975,22.4414,22.3536,22.3975,109500,0.0,0
1999-03-29,22.3975,22.7489,22.3975,22.7489,19300,0.0,0
1999-03-30,22.9245,23.1441,22.9245,23.0563,17700,0.0,0
1999-03-31,22.8367,24.8569,22.8367,24.8569,203700,0.0,0
1999-04-01,24.6812,24.6812,24.1103,24.242,33300,0.0,0
1999-04-05,24.0664,24.0664,23.5394,23.5833,168900,0.0,0
1999-04-06,23.4955,23.4955,22.9685,22.9685,72000,0.0,0
1999-04-07,22.9684,23.8468,22.9684,23.3198,39900,0.0,0
1999-04-08,23.2759,23.5394,23.1002,23.4955,26700,0.0,0
1999-04-09,23.3198,23.6272,23.1441,23.6272,61900,0.0,0
1999-04-12,23.4955,23.759,23.4955,23.759,18600,0.0,0
1999-04-13,23.7589,24.4177,23.7589,24.242,49800,0.0,0
1999-04-14,24.1542,25.296,24.1103,25.296,66900,0.0,0
1999-04-15,24.9886,25.3839,24.6373,25.3839,41200,0.0,0
1999-04-16,25.296,25.34,24.9447,25.2082,65900,0.0,0
1999-04-19,25.1204,25.6913,25.1204,25.4278,27200,0.0,0
1999-04-20,25.5595,25.6034,25.3839,25.3839,6400,0.0,0
1999-04-21,25.3839,25.9109,25.34,25.9109,17200,0.0,0
1999-04-22,25.823,25.9109,25.6913,25.9109,57800,0.0,0
1999-04-23,25.9548,26.0865,25.7352,25.7352,19400,0.0,0
1999-04-26,25.823,25.9548,25.5595,25.9548,47100,0.0,0
1999-04-27,25.823,25.9987,25.823,25.9548,47900,0.0,0
1999-04-28,25.9987,26.1744,25.9109,25.9109,102500,0.0,0
1999-04-29,25.9109,25.9548,25.7352,25.7352,8000,0.0,0
1999-04-30,25.9109,26.1744,25.823,26.0865,21000,0.0,0
1999-05-03,26.0865,26.394,25.7352,26.0426,93600,0.0,0
1999-05-04,26.1305,26.7014,25.9109,26.7014,92300,0.0,0
1999-05-05,26.7014,26.9649,26.35,26.35,131700,0.0,0
1999-05-06,26.35,26.5257,26.2622,26.394,180200,0.0,0
1999-05-07,26.4379,26.4379,26.35,26.4379,145800,0.0,0
1999-05-10,26.394,26.5257,26.2183,26.2622,240500,0.0,0
1999-05-11,26.2622,26.3061,26.1744,26.1744,5300,0.0,0
1999-05-12,26.1744,26.1744,25.296,25.296,305200,0.0,0
1999-05-13,25.296,25.296,24.2859,24.5055,43400,0.0,0
1999-05-14,24.3299,24.3299,22.3097,23.715,502100,0.0,0
1999-05-17,23.8029,23.8029,23.5394,23.5394,110000,0.0,0
1999-05-18,23.5833,23.5833,23.1441,23.188,53100,0.0,0
1999-05-19,23.188,23.188,22.8806,22.9685,104200,0.0,0
1999-05-20,23.1002,23.1441,22.8367,23.0124,58000,0.0,0
1999-05-21,23.1441,23.188,23.1002,23.1002,148700,0.0,0
1999-05-24,23.0563,23.232,22.9245,23.1002,38000,0.0,0
1999-05-25,23.1441,23.5394,23.1441,23.5394,60200,0.0,0
1999-05-26,23.4515,23.4955,23.1002,23.1002,13100,0.0,0
1999-05-27,23.0124,23.188,23.0124,23.0563,54500,0.0,0
1999-05-28,22.8806,23.0124,22.8367,22.9245,9600,0.0,0
1999-06-01,22.8806,23.188,22.8806,23.188,142800,0.0,0
1999-06-02,23.1002,23.4076,23.0563,23.188,38300,0.0,0
1999-06-03,23.232,23.4515,23.232,23.3637,121200,0.0,0
1999-06-04,23.3637,23.8907,23.3637,23.8907,131700,0.0,0
1999-06-07,23.759,23.759,23.5394,23.715,26400,0.0,0
1999-06-08,23.4515,24.769,23.4515,24.4616,29500,0.0,0
1999-06-09,24.3299,24.4177,24.1542,24.242,6900,0.0,0
1999-06-10,24.1103,24.1103,23.8029,23.8907,5000,0.0,0
1999-06-11,23.8907,23.8907,23.3637,23.3637,32700,0.0,0
1999-06-14,23.4076,23.8907,23.1441,23.8907,103300,0.0,0
1999-06-15,23.8029,23.8907,23.6272,23.8907,33100,0.0,0
1999-06-16,23.8029,23.8468,23.5394,23.715,7700,0.0,0
1999-06-17,23.6272,23.8468,23.6272,23.759,9100,0.0,0
1999-06-18,23.6711,23.8907,23.5394,23.715,17500,0.0,0
1999-06-21,23.6711,23.8907,23.6272,23.8907,64500,0.0,0
1999-06-22,23.8907,23.8907,23.6711,23.6711,10600,0.0,0
1999-06-23,23.5394,23.8907,23.5394,23.8907,41600,0.0,0
1999-06-24,23.715,23.9785,23.715,23.8907,46600,0.0,0
1999-06-25,23.759,24.0225,23.759,23.9785,15900,0.0,0
1999-06-28,24.1542,24.4177,24.1542,24.3299,50200,0.0,0
1999-06-29,24.5934,24.7251,24.5934,24.6812,25000,0.0,0
1999-06-30,24.769,30.039,24.769,30.039,228600,0.0,0
1999-07-01,28.8094,28.8094,26.9649,27.0088,183700,0.0,0
1999-07-02,27.0966,27.1845,26.921,27.0088,43700,0.0,0
1999-07-06,27.0088,27.0088,26.921,26.9649,39400,0.0,0
1999-07-07,27.0527,27.0527,26.7892,26.8331,23400,0.0,0
1999-07-08,26.8331,26.8331,26.6135,26.7892,44000,0.0,0
1999-07-09,26.7892,26.7892,26.6135,26.7014,37600,0.0,0
1999-07-12,26.7014,27.3162,26.7014,27.3162,10200,0.0,0
1999-07-13,27.3162,28.5459,27.1845,28.1945,42900,0.0,0
1999-07-14,28.1506,28.1945,28.1067,28.1067,134400,0.0,0
1999-07-15,28.1506,28.1506,27.975,27.975,57000,0.0,0
1999-07-16,27.931,27.931,27.5797,27.5797,23100,0.0,0
1999-07-19,27.404,27.404,27.2284,27.404,78700,0.0,0
1999-07-20,27.404,27.448,27.2284,27.2723,13800,0.0,0
1999-07-21,27.3601,27.3601,27.3162,27.3601,22300,0.0,0
1999-07-22,27.3162,27.3162,27.0088,27.3162,22300,0.0,0
1999-07-23,27.404,27.404,27.0088,27.0088,5900,0.0,0
1999-07-26,26.921,26.921,25.9987,26.0865,19200,0.0,0
1999-07-27,27.404,27.975,27.0527,27.931,337900,0.0,0
1999-07-28,28.0189,30.039,27.8432,29.4242,176300,0.0,0
1999-07-29,29.4681,29.4681,28.2824,28.2824,107000,0.0,0
1999-07-30,28.1945,28.6337,28.1945,28.458,43900,0.0,0
1999-08-02,28.502,28.5459,28.1506,28.1945,27000,0.0,0
1999-08-03,28.1945,28.1945,27.931,27.975,30800,0.0,0
1999-08-04,27.975,27.975,27.4919,27.6236,21500,0.0,0
1999-08-05,27.6236,27.6236,26.3061,26.35,40600,0.0,0
1999-08-06,26.1744,26.1744,25.6474,25.9548,30000,0.0,0
1999-08-09,25.9548,25.9548,25.7791,25.7791,12300,0.0,0
1999-08-10,25.7352,25.9548,25.5156,25.823,38100,0.0,0
1999-08-11,25.9109,25.9548,25.823,25.9548,4700,0.0,0
1999-08-12,25.9109,25.9109,25.5156,25.7791,12800,0.0,0
1999-08-13,25.6913,25.9109,25.6474,25.7352,29500,0.0,0
1999-08-16,25.7791,25.7791,25.5595,25.5595,22900,0.0,0
1999-08-17,25.6474,25.6474,25.296,25.296,12300,0.0,0
1999-08-18,25.2521,25.2521,25.0325,25.1204,11500,0.0,0
1999-08-19,24.5934,24.9447,24.5934,24.9447,13500,0.0,0
1999-08-20,24.9008,25.1204,24.9008,25.1204,26300,0.0,0
1999-08-23,25.2521,25.296,25.1643,25.1643,102600,0.0,0
1999-08-24,25.2082,25.2521,24.9008,25.2521,77700,0.0,0
1999-08-25,25.1643,25.296,24.9447,25.296,147400,0.0,0
1999-08-26,25.296,25.296,24.7251,24.813,27100,0.0,0
1999-08-27,24.9008,24.9447,24.5934,24.6373,12900,0.0,0
1999-08-30,24.769,24.769,24.5495,24.6812,20300,0.0,0
1999-08-31,24.5934,25.6474,24.5934,25.6474,111500,0.0,0
1999-09-01,25.823,26.5696,25.823,26.2183,48700,0.0,0
1999-09-02,26.1305,27.2284,26.0865,26.921,63400,0.0,0
1999-09-03,26.9649,27.2284,26.9649,27.2284,11700,0.0,0
1999-09-07,27.3162,27.3162,26.877,26.877,10700,0.0,0
1999-09-08,26.877,26.877,26.6575,26.6575,18800,0.0,0
1999-09-09,26.7014,26.8331,26.6575,26.7453,44000,0.0,0
1999-09-10,26.921,27.7554,26.921,27.6675,18100,0.0,0
1999-09-13,27.8432,28.2824,27.8432,28.1067,11100,0.0,0
1999-09-14,28.1506,28.1506,27.975,28.0189,6100,0.0,0
1999-09-15,28.1945,29.1168,28.1945,28.8972,27000,0.0,0
1999-09-16,28.8972,28.8972,28.502,28.5459,25700,0.0,0
1999-09-17,28.5459,28.6337,28.502,28.5459,6200,0.0,0
1999-09-20,28.458,28.5459,28.458,28.5459,6100,0.0,0
1999-09-21,28.5459,28.5898,28.4141,28.5459,9300,0.0,0
1999-09-22,28.5459,28.7215,28.458,28.6337,66000,0.0,0
1999-09-23,28.458,28.458,28.0189,28.1067,74600,0.0,0
1999-09-24,28.1067,28.1506,27.4919,27.7554,109000,0.0,0
1999-09-27,27.7554,28.0189,27.7554,28.0189,168700,0.0,0
1999-09-28,28.0189,28.458,27.6675,28.2385,272700,0.0,0
1999-09-29,28.1506,28.1945,28.1067,28.1945,173800,0.0,0
1999-09-30,28.1945,28.1945,25.296,25.296,414200,0.0,0
1999-10-01,24.9447,25.4717,24.6812,25.4717,3871800,0.0,0
1999-10-04,25.823,27.5797,25.5595,27.5797,1693400,0.0,0
1999-10-05,27.7115,27.7115,26.921,27.1405,451000,0.0,0
1999-10-06,27.0527,29.8634,27.0527,29.6877,523000,0.0,0
1999-10-07,29.512,31.5322,29.4242,31.0931,523200,0.0,0
1999-10-08,31.1809,32.5862,30.039,31.3126,389200,0.0,0
1999-10-11,31.3565,31.9275,31.3565,31.7079,97100,0.0,0
1999-10-12,31.7518,31.7518,30.8735,31.2248,83900,0.0,0
1999-10-13,31.2687,31.2687,30.4343,30.7417,87000,0.0,0
1999-10-14,30.9174,31.137,30.7417,30.7417,112200,0.0,0
1999-10-15,30.5661,30.6978,29.7756,30.5661,138100,0.0,0
1999-10-18,30.4782,30.6539,30.1269,30.61,269100,0.0,0
1999-10-19,30.5221,30.5661,30.1269,30.1708,208100,0.0,0
1999-10-20,30.1708,30.61,30.1269,30.2147,79100,0.0,0
1999-10-21,30.1269,32.0592,30.1269,31.3565,143200,0.0,0
1999-10-22,31.3565,34.6503,31.3565,33.5963,333900,0.0,0
1999-10-25,33.5085,33.6841,32.8497,33.245,202300,0.0,0
