Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-03-03,0.0,0.28,0.17,0.17,47190,0.0,0.0
1987-03-04,0.0,0.38,0.24,0.24,60500,0.0,0.0
1987-03-05,0.0,0.45,0.31,0.31,64130,0.0,0.0
1987-03-06,0.0,0.48,0.38,0.38,37510,0.0,0.0
1987-03-09,0.0,0.48,0.38,0.38,12100,0.0,0.0
1987-03-10,0.0,0.48,0.38,0.38,12100,0.0,0.0
1987-03-11,0.0,0.48,0.38,0.38,12100,0.0,0.0
1987-03-12,0.0,0.41,0.28,0.28,29040,0.0,0.0
1987-03-13,0.0,0.38,0.28,0.28,1210,0.0,0.0
1987-03-16,0.0,0.38,0.24,0.24,12100,0.0,0.0
1987-03-17,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-18,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-19,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-20,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-23,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-24,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-25,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-26,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-27,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-30,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-03-31,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-01,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-02,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-03,0.0,0.38,0.24,0.24,1210,0.0,0.0
1987-04-06,0.0,0.38,0.24,0.24,6050,0.0,0.0
1987-04-07,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-08,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-09,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-10,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-13,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-14,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-15,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-16,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-20,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-21,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-22,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-23,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-24,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-27,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-28,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-29,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-04-30,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-01,0.0,0.38,0.24,0.24,36300,0.0,0.0
1987-05-04,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-05,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-06,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-07,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-08,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-11,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-12,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-13,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-14,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-15,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-18,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-19,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-20,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-21,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-22,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-26,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-27,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-28,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-05-29,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-01,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-02,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-03,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-04,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-05,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-08,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-09,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-10,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-11,0.24,0.24,0.24,0.24,0,0.0,0.0
1987-06-12,0.0,0.38,0.26,0.26,12100,0.0,0.0
1987-06-15,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-16,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-17,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-18,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-19,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-22,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-23,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-24,0.0,0.34,0.26,0.26,7260,0.0,0.0
1987-06-25,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-26,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-29,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-06-30,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-07-01,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-07-02,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-07-06,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-07-07,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-07-08,0.26,0.26,0.26,0.26,0,0.0,0.0
1987-07-09,0.0,0.34,0.26,0.26,0,0.0,0.0
1987-07-10,0.0,0.38,0.28,0.28,54450,0.0,0.0
1987-07-13,0.28,0.28,0.28,0.28,0,0.0,0.0
1987-07-14,0.0,0.41,0.31,0.31,7260,0.0,0.0
1987-07-15,0.0,0.48,0.38,0.38,24200,0.0,0.0
1987-07-16,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-07-17,0.0,0.52,0.38,0.38,12100,0.0,0.0
1987-07-20,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-07-21,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-07-22,0.0,0.52,0.38,0.38,12100,0.0,0.0
1987-07-23,0.0,0.48,0.38,0.38,48400,0.0,0.0
1987-07-24,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-07-27,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-07-28,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-07-29,0.0,0.48,0.38,0.38,4840,0.0,0.0
1987-07-30,0.0,0.48,0.38,0.38,12100,0.0,0.0
1987-07-31,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-03,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-04,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-05,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-06,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-07,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-10,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-11,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-12,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-13,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-14,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-17,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-18,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-19,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-20,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-21,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-24,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-25,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-26,0.38,0.38,0.38,0.38,0,0.0,0.0
1987-08-27,0.0,0.41,0.34,0.34,4840,0.0,0.0
1987-08-28,0.34,0.34,0.34,0.34,0,0.0,0.0
1987-08-31,0.34,0.34,0.34,0.34,0,0.0,0.0
1987-09-01,0.34,0.34,0.34,0.34,0,0.0,0.0
1987-09-02,0.0,0.38,0.34,0.34,12100,0.0,0.0
1987-09-03,0.34,0.34,0.34,0.34,0,0.0,0.0
1987-09-04,0.34,0.34,0.34,0.34,0,0.0,0.0
1987-09-08,0.34,0.34,0.34,0.34,0,0.0,0.0
1987-09-09,0.34,0.34,0.34,0.34,0,0.0,0.0
1987-09-10,0.34,0.34,0.34,0.34,0,0.0,0.0
