Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-10-18,21.46,21.52,21.42,21.48,93200,0.0,0
2006-10-19,21.48,21.48,21.36,21.36,37300,0.0,0
2006-10-20,21.23,21.34,21.05,21.18,54100,0.0,0
2006-10-23,21.1,21.15,20.86,20.91,37500,0.0,0
2006-10-24,20.88,20.97,20.46,20.46,45500,0.0,0
2006-10-25,20.4,20.49,20.22,20.29,95500,0.0,0
2006-10-26,20.29,20.55,20.29,20.35,66400,0.0,0
2006-10-27,20.36,20.46,20.3,20.46,115400,0.0,0
2006-10-30,20.54,20.54,20.27,20.27,124200,0.0,0
2006-10-31,20.16,20.16,19.86,19.92,35100,0.0,0
2006-11-01,19.86,19.86,19.76,19.77,41700,0.0,0
2006-11-02,19.81,19.84,19.78,19.78,38300,0.0,0
2006-11-03,19.79,19.79,19.52,19.53,6000,0.0,0
2006-11-06,19.59,19.6,19.06,19.27,86200,0.0,0
2006-11-07,19.23,19.23,18.93,19.01,41200,0.0,0
2006-11-08,19.01,19.84,19.01,19.6,96900,0.0,0
2006-11-09,19.52,19.75,19.52,19.72,48900,0.0,0
2006-11-10,19.72,20.03,19.72,19.92,126900,0.0,0
2006-11-13,19.86,19.86,19.79,19.81,41400,0.0,0
2006-11-14,19.81,19.82,19.73,19.78,74700,0.0,0
2006-11-15,19.73,19.74,19.65,19.7,41300,0.0,0
2006-11-16,19.72,21.64,19.72,21.39,294800,0.0,0
2006-11-17,21.39,21.48,21.09,21.45,156800,0.0,0
2006-11-20,21.37,21.42,21.25,21.39,100800,0.0,0
2006-11-21,21.39,21.42,21.31,21.34,92500,0.0,0
2006-11-22,21.34,21.48,21.31,21.36,138500,0.0,0
2006-11-24,21.31,21.41,21.25,21.39,6600,0.0,0
2006-11-27,21.37,21.39,21.21,21.21,78500,0.0,0
2006-11-28,21.34,21.45,21.29,21.45,36400,0.0,0
2006-11-29,21.46,21.61,21.43,21.51,242800,0.0,0
2006-11-30,21.58,22.15,21.48,22.01,201800,0.0,0
2006-12-01,22.01,22.2,21.96,22.06,111900,0.0,0
2006-12-04,22.01,22.06,21.93,21.99,168400,0.0,0
2006-12-05,22.54,22.54,22.11,22.23,158500,0.0,0
2006-12-06,22.33,22.53,22.33,22.44,144300,0.0,0
2006-12-07,22.33,22.6,22.33,22.52,129900,0.0,0
2006-12-08,22.5,22.52,22.34,22.34,20900,0.0,0
2006-12-11,22.47,22.52,22.37,22.37,42200,0.0,0
2006-12-12,22.39,22.41,21.64,21.88,53800,0.0,0
2006-12-13,22.23,22.4,22.15,22.29,281000,0.0,0
2006-12-14,22.36,22.44,22.28,22.41,128200,0.0,0
2006-12-15,22.44,22.79,22.4,22.57,78900,0.0,0
2006-12-18,22.47,22.65,22.47,22.6,73400,0.0,0
2006-12-19,22.46,22.59,22.46,22.55,68100,0.0,0
2006-12-20,22.55,22.6,22.41,22.52,111700,0.0,0
2006-12-21,22.53,22.6,22.53,22.6,77700,0.0,0
2006-12-22,22.63,22.68,22.56,22.63,29300,0.0,0
2006-12-26,22.67,22.76,22.67,22.76,9100,0.0,0
2006-12-27,22.71,22.76,22.5,22.74,13900,0.0,0
2006-12-28,22.76,22.82,22.55,22.68,20900,0.0,0
