Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,1.25,1.25,1.25,1.25,0,0.0,0.0
1972-06-02,1.24,1.24,1.24,1.24,0,0.0,0.0
1972-06-05,1.22,1.22,1.22,1.22,0,0.0,0.0
1972-06-06,1.15,1.15,1.15,1.15,0,0.0,0.0
1972-06-07,1.14,1.14,1.14,1.14,0,0.0,0.0
1972-06-08,1.17,1.17,1.17,1.17,0,0.0,0.0
1972-06-09,1.16,1.16,1.16,1.16,0,0.0,0.0
1972-06-12,1.18,1.18,1.18,1.18,0,0.0,0.0
1972-06-13,1.18,1.18,1.18,1.18,0,0.0,0.0
1972-06-14,1.16,1.16,1.16,1.16,0,0.0,0.0
1972-06-15,1.15,1.15,1.15,1.15,0,0.0,0.0
1972-06-16,1.15,1.15,1.15,1.15,0,0.0,0.0
1972-06-19,1.14,1.14,1.14,1.14,0,0.0,0.0
1972-06-20,1.14,1.14,1.14,1.14,0,0.0,0.0
1972-06-21,1.16,1.16,1.16,1.16,0,0.0,0.0
1972-06-22,1.18,1.18,1.18,1.18,0,0.0,0.0
1972-06-23,1.12,1.12,1.12,1.12,0,0.0,0.0
1972-06-26,1.09,1.09,1.09,1.09,0,0.0,0.0
1972-06-27,1.14,1.14,1.14,1.14,0,0.0,0.0
1972-06-28,1.15,1.15,1.15,1.15,0,0.0,0.0
1972-06-29,1.18,1.18,1.18,1.18,0,0.0,0.0
1972-06-30,1.21,1.21,1.21,1.21,0,0.0,0.0
1972-07-03,1.26,1.26,1.26,1.26,0,0.0,0.0
1972-07-05,1.3,1.3,1.3,1.3,0,0.0,0.0
1972-07-06,1.3,1.3,1.3,1.3,0,0.0,0.0
1972-07-07,1.28,1.28,1.28,1.28,0,0.0,0.0
1972-07-10,1.27,1.27,1.27,1.27,0,0.0,0.0
1972-07-11,1.27,1.27,1.27,1.27,0,0.0,0.0
1972-07-12,1.27,1.27,1.27,1.27,0,0.0,0.0
1972-07-13,1.22,1.22,1.22,1.22,0,0.0,0.0
1972-07-14,1.23,1.23,1.23,1.23,0,0.0,0.0
1972-07-17,1.22,1.22,1.22,1.22,0,0.0,0.0
1972-07-18,1.23,1.23,1.23,1.23,0,0.0,0.0
1972-07-19,1.23,1.23,1.23,1.23,0,0.0,0.0
1972-07-20,1.17,1.17,1.17,1.17,0,0.0,0.0
1972-07-21,1.19,1.19,1.19,1.19,0,0.0,0.0
1972-07-24,1.21,1.21,1.21,1.21,0,0.0,0.0
1972-07-25,1.2,1.2,1.2,1.2,0,0.0,0.0
1972-07-26,1.2,1.2,1.2,1.2,0,0.0,0.0
1972-07-27,1.2,1.2,1.2,1.2,0,0.0,0.0
1972-07-28,1.2,1.2,1.2,1.2,0,0.0,0.0
1972-07-31,1.2,1.2,1.2,1.2,0,0.0,0.0
1972-08-01,1.23,1.23,1.23,1.23,0,0.0,0.0
1972-08-02,1.31,1.31,1.31,1.31,0,0.0,0.0
1972-08-03,1.33,1.33,1.33,1.33,0,0.0,0.0
1972-08-04,1.33,1.33,1.33,1.33,0,0.0,0.0
1972-08-07,1.33,1.33,1.33,1.33,0,0.0,0.0
1972-08-08,1.31,1.31,1.31,1.31,0,0.0,0.0
1972-08-09,1.31,1.31,1.31,1.31,0,0.0,0.0
1972-08-10,1.35,1.35,1.35,1.35,0,0.0,0.0
1972-08-11,1.36,1.36,1.36,1.36,0,0.0,0.0
1972-08-14,1.35,1.35,1.35,1.35,0,0.0,0.0
1972-08-15,1.34,1.34,1.34,1.34,0,0.0,0.0
1972-08-16,1.33,1.33,1.33,1.33,0,0.0,0.0
1972-08-17,1.3,1.3,1.3,1.3,0,0.0,0.0
1972-08-18,1.31,1.31,1.31,1.31,0,0.0,0.0
1972-08-21,1.3,1.3,1.3,1.3,0,0.0,0.0
1972-08-22,1.28,1.28,1.28,1.28,0,0.0,0.0
1972-08-23,1.26,1.26,1.26,1.26,0,0.0,0.0
1972-08-24,1.25,1.25,1.25,1.25,0,0.0,0.0
1972-08-25,1.25,1.25,1.25,1.25,0,0.0,0.0
1972-08-28,1.25,1.25,1.25,1.25,0,0.0,0.0
1972-08-29,1.27,1.27,1.27,1.27,0,0.0,0.0
1972-08-30,1.3,1.3,1.3,1.3,0,0.0,0.0
1972-08-31,1.3,1.3,1.3,1.3,0,0.0,0.0
1972-09-01,1.35,1.35,1.35,1.35,0,0.0,0.0
1972-09-05,1.32,1.32,1.32,1.32,0,0.0,0.0
1972-09-06,1.28,1.28,1.28,1.28,0,0.0,0.0
1972-09-07,1.28,1.28,1.28,1.28,0,0.0,0.0
1972-09-08,1.26,1.26,1.26,1.26,0,0.0,0.0
1972-09-11,1.22,1.22,1.22,1.22,0,0.0,0.0
1972-09-12,1.19,1.19,1.19,1.19,0,0.0,0.0
1972-09-13,1.22,1.22,1.22,1.22,0,0.0,0.0
1972-09-14,1.23,1.23,1.23,1.23,0,0.0,0.0
1972-09-15,1.23,1.23,1.23,1.23,0,0.0,0.0
