Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-21,9.81,9.81,9.7,9.7,58700,0,0
2017-08-22,9.7,9.7,9.7,9.7,27300,0,0
2017-08-23,9.7,9.7,9.7,9.7,0,0,0
2017-08-24,9.7,9.7,9.7,9.7,10000,0,0
2017-08-25,9.7,9.71,9.7,9.71,29800,0,0
2017-08-28,9.72,9.72,9.71,9.71,9300,0,0
2017-08-29,9.71,9.72,9.71,9.72,150000,0,0
2017-08-30,9.72,9.72,9.72,9.72,1700,0,0
2017-08-31,9.72,9.72,9.72,9.72,0,0,0
2017-09-01,9.73,9.73,9.73,9.73,900,0,0
2017-09-05,9.73,9.83,9.73,9.75,12700,0,0
2017-09-06,9.73,9.73,9.73,9.73,500,0,0
2017-09-07,9.73,9.74,9.72,9.72,102000,0,0
2017-09-08,9.73,9.73,9.72,9.72,251000,0,0
2017-09-11,9.73,9.76,9.73,9.76,199300,0,0
2017-09-12,9.76,9.76,9.76,9.76,300,0,0
2017-09-13,9.65,9.79,9.65,9.77,800,0,0
2017-09-14,9.74,9.74,9.74,9.74,500,0,0
2017-09-15,9.77,9.78,9.72,9.78,121600,0,0
2017-09-18,9.78,9.78,9.73,9.76,800,0,0
2017-09-19,9.73,9.74,9.73,9.73,17000,0,0
2017-09-20,9.79,9.79,9.73,9.74,24000,0,0
2017-09-21,9.73,9.73,9.73,9.73,6300,0,0
2017-09-22,9.75,9.75,9.73,9.73,400,0,0
2017-09-25,9.73,9.74,9.73,9.74,5700,0,0
2017-09-26,9.73,9.73,9.73,9.73,4900,0,0
2017-09-27,9.73,9.75,9.73,9.75,63600,0,0
2017-09-28,9.74,9.79,9.74,9.78,67200,0,0
2017-09-29,9.78,9.78,9.78,9.78,0,0,0
2017-10-02,9.79,9.79,9.77,9.77,800,0,0
2017-10-03,9.77,9.77,9.76,9.76,200,0,0
2017-10-04,9.76,9.76,9.76,9.76,0,0,0
2017-10-05,9.76,9.76,9.76,9.76,0,0,0
2017-10-06,9.76,9.76,9.76,9.76,0,0,0
2017-10-09,9.76,9.76,9.75,9.75,2200,0,0
2017-10-10,9.75,9.75,9.75,9.75,2600,0,0
2017-10-11,9.74,9.78,9.74,9.76,452600,0,0
