Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-04-18,0.0,0.12,0.11,0.11,15957000,0.0,0.0
1985-04-19,0.11,0.12,0.11,0.11,13065300,0.0,0.0
1985-04-22,0.11,0.11,0.11,0.11,2891700,0.0,0.0
1985-04-23,0.11,0.11,0.11,0.11,5718600,0.0,0.0
1985-04-24,0.11,0.11,0.11,0.11,2122200,0.0,0.0
1985-04-25,0.11,0.11,0.11,0.11,6172200,0.0,0.0
1985-04-26,0.11,0.11,0.1,0.1,2381400,0.0,0.0
1985-04-29,0.1,0.1,0.1,0.1,2502900,0.0,0.0
1985-04-30,0.1,0.1,0.1,0.1,2745900,0.0,0.0
1985-05-01,0.1,0.1,0.1,0.1,5030100,0.0,0.0
1985-05-02,0.1,0.1,0.09,0.09,1806300,0.0,0.0
1985-05-03,0.1,0.1,0.1,0.1,1741500,0.0,0.0
1985-05-06,0.1,0.1,0.1,0.1,218700,0.0,0.0
1985-05-07,0.1,0.1,0.1,0.1,1984500,0.0,0.0
1985-05-08,0.1,0.1,0.1,0.1,307800,0.0,0.0
1985-05-09,0.11,0.11,0.11,0.11,1701000,0.0,0.0
1985-05-10,0.11,0.11,0.11,0.11,2357100,0.0,0.0
1985-05-13,0.11,0.11,0.11,0.11,1247400,0.0,0.0
1985-05-14,0.11,0.11,0.11,0.11,437400,0.0,0.0
1985-05-15,0.11,0.11,0.11,0.11,1701000,0.0,0.0
1985-05-16,0.11,0.12,0.11,0.11,3102300,0.0,0.0
1985-05-17,0.12,0.12,0.12,0.12,3102300,0.0,0.0
1985-05-20,0.12,0.12,0.12,0.12,1895400,0.0,0.0
1985-05-21,0.12,0.12,0.11,0.11,1879200,0.0,0.0
1985-05-22,0.12,0.12,0.12,0.12,2948400,0.0,0.0
1985-05-23,0.12,0.12,0.11,0.11,2907900,0.0,0.0
1985-05-24,0.11,0.12,0.11,0.11,785700,0.0,0.0
1985-05-28,0.12,0.12,0.12,0.12,575100,0.0,0.0
1985-05-29,0.12,0.12,0.12,0.12,526500,0.0,0.0
1985-05-30,0.12,0.12,0.12,0.12,1652400,0.0,0.0
1985-05-31,0.12,0.12,0.12,0.12,1304100,0.0,0.0
1985-06-03,0.12,0.13,0.12,0.12,1360800,0.0,0.0
1985-06-04,0.12,0.13,0.12,0.12,1587600,0.0,0.0
1985-06-05,0.12,0.13,0.12,0.12,712800,0.0,0.0
1985-06-06,0.12,0.13,0.12,0.12,1838700,0.0,0.0
1985-06-07,0.13,0.13,0.13,0.13,826200,0.0,0.0
1985-06-10,0.13,0.13,0.13,0.13,486000,0.0,0.0
1985-06-11,0.13,0.13,0.13,0.13,2608200,0.0,0.0
1985-06-12,0.13,0.13,0.13,0.13,1466100,0.0,0.0
1985-06-13,0.12,0.12,0.12,0.12,1717200,0.0,0.0
1985-06-14,0.12,0.12,0.12,0.12,113400,0.0,0.0
1985-06-17,0.12,0.12,0.12,0.12,761400,0.0,0.0
1985-06-18,0.12,0.12,0.12,0.12,558900,0.0,0.0
1985-06-19,0.12,0.12,0.12,0.12,307800,0.0,0.0
1985-06-20,0.12,0.12,0.12,0.12,1271700,0.0,0.0
1985-06-21,0.11,0.11,0.11,0.11,1595700,0.0,0.0
1985-06-24,0.11,0.11,0.11,0.11,356400,0.0,0.0
1985-06-25,0.11,0.12,0.11,0.11,1449900,0.0,0.0
1985-06-26,0.11,0.11,0.11,0.11,720900,0.0,0.0
1985-06-27,0.11,0.11,0.11,0.11,429300,0.0,0.0
1985-06-28,0.11,0.11,0.11,0.11,737100,0.0,0.0
1985-07-01,0.11,0.11,0.11,0.11,810000,0.0,0.0
1985-07-02,0.11,0.11,0.11,0.11,931500,0.0,0.0
1985-07-03,0.11,0.11,0.11,0.11,1547100,0.0,0.0
1985-07-05,0.11,0.11,0.11,0.11,356400,0.0,0.0
1985-07-08,0.11,0.11,0.11,0.11,1150200,0.0,0.0
1985-07-09,0.11,0.11,0.11,0.11,1725300,0.0,0.0
1985-07-10,0.11,0.11,0.11,0.11,259200,0.0,0.0
1985-07-11,0.12,0.12,0.12,0.12,2826900,0.0,0.0
1985-07-12,0.12,0.13,0.12,0.12,2211300,0.0,0.0
1985-07-15,0.12,0.12,0.12,0.12,866700,0.0,0.0
1985-07-16,0.13,0.13,0.13,0.13,4649400,0.0,0.0
1985-07-17,0.13,0.13,0.13,0.13,3304800,0.0,0.0
1985-07-18,0.13,0.13,0.13,0.13,4835700,0.0,0.0
1985-07-19,0.13,0.13,0.12,0.12,955800,0.0,0.0
1985-07-22,0.12,0.12,0.12,0.12,2292300,0.0,0.0
1985-07-23,0.12,0.12,0.12,0.12,1514700,0.0,0.0
1985-07-24,0.12,0.12,0.12,0.12,664200,0.0,0.0
1985-07-25,0.12,0.12,0.12,0.12,421200,0.0,0.0
1985-07-26,0.12,0.12,0.12,0.12,81000,0.0,0.0
1985-07-29,0.12,0.12,0.12,0.12,234900,0.0,0.0
1985-07-30,0.12,0.12,0.12,0.12,1441800,0.0,0.0
1985-07-31,0.12,0.13,0.12,0.12,858600,0.0,0.0
1985-08-01,0.12,0.13,0.12,0.12,194400,0.0,0.0
1985-08-02,0.12,0.13,0.12,0.12,145800,0.0,0.0
1985-08-05,0.12,0.13,0.12,0.12,170100,0.0,0.0
1985-08-06,0.12,0.12,0.12,0.12,494100,0.0,0.0
1985-08-07,0.12,0.12,0.12,0.12,834300,0.0,0.0
1985-08-08,0.12,0.12,0.12,0.12,380700,0.0,0.0
1985-08-09,0.12,0.12,0.12,0.12,712800,0.0,0.0
1985-08-12,0.12,0.12,0.12,0.12,186300,0.0,0.0
1985-08-13,0.12,0.12,0.12,0.12,340200,0.0,0.0
1985-08-14,0.13,0.13,0.13,0.13,818100,0.0,0.0
1985-08-15,0.13,0.13,0.13,0.13,672300,0.0,0.0
1985-08-16,0.13,0.13,0.12,0.12,688500,0.0,0.0
1985-08-19,0.12,0.13,0.12,0.12,364500,0.0,0.0
1985-08-20,0.13,0.13,0.13,0.13,599400,0.0,0.0
1985-08-21,0.13,0.13,0.13,0.13,502200,0.0,0.0
1985-08-22,0.13,0.13,0.13,0.13,1271700,0.0,0.0
1985-08-23,0.13,0.13,0.13,0.13,405000,0.0,0.0
1985-08-26,0.13,0.13,0.13,0.13,72900,0.0,0.0
1985-08-27,0.13,0.13,0.13,0.13,1725300,0.0,0.0
1985-08-28,0.14,0.15,0.14,0.14,2592000,0.0,0.0
1985-08-29,0.14,0.15,0.14,0.14,1466100,0.0,0.0
1985-08-30,0.14,0.15,0.14,0.14,1571400,0.0,0.0
1985-09-03,0.15,0.15,0.15,0.15,1984500,0.0,0.0
1985-09-04,0.15,0.15,0.14,0.14,3588300,0.0,0.0
1985-09-05,0.15,0.15,0.15,0.15,891000,0.0,0.0
1985-09-06,0.15,0.15,0.15,0.15,1539000,0.0,0.0
1985-09-09,0.15,0.15,0.15,0.15,777600,0.0,0.0
1985-09-10,0.15,0.15,0.15,0.15,583200,0.0,0.0
1985-09-11,0.15,0.15,0.15,0.15,1733400,0.0,0.0
1985-09-12,0.15,0.15,0.15,0.15,737100,0.0,0.0
1985-09-13,0.15,0.15,0.14,0.14,1733400,0.0,0.0
1985-09-16,0.14,0.14,0.14,0.14,599400,0.0,0.0
1985-09-17,0.14,0.14,0.14,0.14,445500,0.0,0.0
1985-09-18,0.14,0.14,0.14,0.14,243000,0.0,0.0
1985-09-19,0.14,0.14,0.14,0.14,648000,0.0,0.0
1985-09-20,0.14,0.14,0.14,0.14,477900,0.0,0.0
1985-09-23,0.14,0.14,0.14,0.14,810000,0.0,0.0
1985-09-24,0.14,0.14,0.14,0.14,486000,0.0,0.0
1985-09-25,0.14,0.14,0.14,0.14,996300,0.0,0.0
1985-09-26,0.14,0.14,0.14,0.14,299700,0.0,0.0
1985-09-30,0.14,0.15,0.14,0.14,1304100,0.0,0.0
