Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-08-02,1.93,1.94,1.93,1.94,25441,0.0,0.0
2002-08-05,1.94,1.94,1.94,1.94,0,0.0,0.0
2002-08-06,1.94,1.94,1.94,1.94,0,0.0,0.0
2002-08-07,1.93,2.05,1.93,2.05,12721,0.0,0.0
2002-08-08,2.07,2.08,2.06,2.08,5219,0.0,0.0
2002-08-09,2.08,2.08,2.07,2.08,8154,0.0,0.0
2002-08-12,2.08,2.08,2.08,2.08,0,0.0,0.0
2002-08-13,2.09,2.12,2.09,2.12,9459,0.0,0.0
2002-08-14,2.12,2.12,2.07,2.07,20549,0.0,0.0
2002-08-15,2.06,2.06,2.02,2.02,12068,0.0,0.0
2002-08-16,2.02,2.02,2.02,2.02,0,0.0,0.0
2002-08-19,2.04,2.07,2.04,2.07,9133,0.0,0.0
2002-08-20,2.08,2.08,2.07,2.07,5545,0.0,0.0
2002-08-21,2.07,2.07,2.07,2.07,0,0.0,0.0
2002-08-22,2.06,2.06,2.06,2.06,1305,0.0,0.0
2002-08-23,2.06,2.06,2.06,2.06,0,0.0,0.0
2002-08-26,2.07,2.07,2.07,2.07,979,0.0,0.0
2002-08-27,2.06,2.06,2.06,2.06,6523,0.0,0.0
2002-08-28,2.04,2.04,2.01,2.01,13047,0.0,0.0
2002-08-29,2.02,2.02,2.01,2.01,652,0.0,0.0
2002-08-30,2.01,2.01,2.01,2.01,0,0.0,0.0
2002-09-03,2.0,2.0,1.98,2.0,15982,0.0,0.0
2002-09-04,2.0,2.0,2.0,2.0,0,0.0,0.0
2002-09-05,1.98,1.98,1.97,1.98,53492,0.0,0.0
2002-09-06,1.98,1.98,1.98,1.98,0,0.0,0.0
2002-09-09,1.98,1.98,1.98,1.98,0,0.0,0.0
2002-09-10,1.98,1.98,1.98,1.98,0,0.0,0.0
2002-09-11,1.98,1.98,1.98,1.98,0,0.0,0.0
2002-09-12,1.98,1.98,1.98,1.98,0,0.0,0.0
2002-09-13,1.98,1.98,1.98,1.98,0,0.0,0.0
2002-09-16,1.98,1.98,1.98,1.98,0,0.0,0.0
2002-09-17,1.98,1.98,1.98,1.98,0,0.0,0.0
2002-09-18,1.96,1.96,1.96,1.96,3262,0.0,0.0
2002-09-19,1.96,1.96,1.96,1.96,0,0.0,0.0
2002-09-20,1.96,1.96,1.96,1.96,0,0.0,0.0
2002-09-23,1.95,1.95,1.93,1.94,7828,0.0,0.0
2002-09-24,1.91,1.91,1.91,1.91,1631,0.0,0.0
2002-09-25,1.91,1.91,1.91,1.91,0,0.0,0.0
2002-09-26,1.91,1.91,1.91,1.91,7502,0.0,0.0
2002-09-27,1.93,1.95,1.92,1.95,15656,0.0,0.0
2002-09-30,1.95,1.95,1.92,1.92,24463,0.0,0.0
2002-10-01,1.92,1.92,1.92,1.92,8154,0.0,0.0
2002-10-02,1.92,1.92,1.92,1.92,0,0.0,0.0
2002-10-03,1.92,1.95,1.91,1.95,26746,0.0,0.0
2002-10-04,1.95,1.95,1.95,1.95,652,0.0,0.0
2002-10-07,1.95,1.95,1.95,1.95,26746,0.0,0.0
2002-10-08,1.95,1.95,1.95,1.95,326,0.0,0.0
2002-10-09,1.95,1.95,1.95,1.95,0,0.0,0.0
2002-10-10,1.95,1.95,1.95,1.95,64908,0.0,0.0
2002-10-11,1.99,2.02,1.99,2.01,10111,0.0,0.0
2002-10-14,2.0,2.0,2.0,2.0,326,0.0,0.0
2002-10-15,2.01,2.01,2.0,2.0,2609,0.0,0.0
2002-10-16,1.99,1.99,1.94,1.94,20549,0.0,0.0
2002-10-17,1.95,1.97,1.95,1.97,2936,0.0,0.0
2002-10-18,1.96,1.96,1.96,1.96,19570,0.0,0.0
2002-10-21,1.96,1.96,1.96,1.96,0,0.0,0.0
2002-10-22,1.96,1.96,1.95,1.95,35879,0.0,0.0
2002-10-23,1.96,1.97,1.95,1.97,52513,0.0,0.0
2002-10-24,1.97,1.97,1.97,1.97,0,0.0,0.0
2002-10-25,1.96,1.97,1.95,1.97,3914,0.0,0.0
2002-10-28,1.96,1.96,1.96,1.96,652,0.0,0.0
2002-10-29,1.96,1.96,1.95,1.95,43381,0.0,0.0
2002-10-30,1.95,1.95,1.95,1.95,0,0.0,0.0
2002-10-31,1.95,1.95,1.95,1.95,0,0.0,0.0
2002-11-01,1.95,1.95,1.95,1.95,0,0.0,0.0
2002-11-04,1.99,2.06,1.99,2.06,6523,0.0,0.0
2002-11-05,2.06,2.06,2.06,2.06,1631,0.0,0.0
2002-11-06,2.12,2.12,2.12,2.12,237125,0.0,0.0
2002-11-07,2.11,2.11,2.11,2.11,979,0.0,0.0
2002-11-08,2.1,2.1,2.1,2.1,326,0.0,0.0
2002-11-11,2.11,2.11,2.11,2.11,10437,0.0,0.0
2002-11-12,2.12,2.12,2.12,2.12,31965,0.0,0.0
2002-11-13,2.12,2.12,2.12,2.12,0,0.0,0.0
2002-11-14,2.12,2.12,2.12,2.12,22832,0.0,0.0
2002-11-15,2.12,2.12,2.12,2.12,213967,0.0,0.0
2002-11-18,2.12,2.12,2.12,2.12,0,0.0,0.0
2002-11-19,2.12,2.12,2.11,2.11,11742,0.0,0.0
2002-11-20,2.1,2.1,2.1,2.1,326,0.0,0.0
2002-11-21,2.09,2.12,2.09,2.12,1957,0.0,0.0
2002-11-22,2.12,2.12,2.12,2.12,0,0.0,0.0
2002-11-25,2.11,2.11,2.06,2.06,2283,0.0,0.0
2002-11-26,2.06,2.06,2.03,2.03,6523,0.0,0.0
2002-11-27,2.05,2.05,2.04,2.04,6850,0.0,0.0
2002-11-29,2.04,2.04,2.04,2.04,93611,0.0,0.0
2002-12-02,2.06,2.06,2.04,2.05,3588,0.0,0.0
2002-12-03,2.08,2.08,2.05,2.05,1305,0.0,0.0
2002-12-04,2.05,2.05,2.05,2.05,0,0.0,0.0
2002-12-05,2.11,2.11,2.08,2.08,3262,0.0,0.0
2002-12-06,2.08,2.08,2.08,2.08,0,0.0,0.0
2002-12-09,2.07,2.07,2.07,2.07,1305,0.0,0.0
2002-12-10,2.12,2.12,2.12,2.12,652,0.0,0.0
2002-12-11,2.14,2.14,2.14,2.14,7502,0.0,0.0
2002-12-12,2.16,2.16,2.16,2.16,6523,0.0,0.0
2002-12-13,2.17,2.17,2.16,2.16,4893,0.0,0.0
2002-12-16,2.16,2.16,2.16,2.16,0,0.0,0.0
2002-12-17,2.16,2.16,2.16,2.16,5219,0.0,0.0
2002-12-18,2.2,2.22,2.2,2.22,18592,0.0,0.0
2002-12-19,2.23,2.24,2.23,2.24,5545,0.0,0.0
2002-12-20,2.26,2.26,2.22,2.22,15982,0.0,0.0
2002-12-23,2.22,2.22,2.22,2.22,0,0.0,0.0
2002-12-24,2.22,2.22,2.22,2.22,0,0.0,0.0
2002-12-26,2.21,2.21,2.13,2.13,4893,0.0,0.0
2002-12-27,2.13,2.13,2.13,2.13,0,0.0,0.0
2002-12-30,2.13,2.13,2.13,2.13,0,0.0,0.0
2002-12-31,2.12,2.12,2.11,2.11,3914,0.0,0.0
2003-01-02,2.11,2.11,2.11,2.11,15330,0.0,0.0
2003-01-03,2.12,2.16,2.12,2.16,28377,0.0,0.0
2003-01-06,2.16,2.16,2.16,2.16,0,0.0,0.0
2003-01-07,2.2,2.24,2.2,2.23,24137,0.0,0.0
2003-01-08,2.23,2.23,2.23,2.23,0,0.0,0.0
2003-01-09,2.27,2.27,2.23,2.26,21527,0.0,0.0
2003-01-10,2.26,2.28,2.26,2.27,3914,0.0,0.0
2003-01-13,2.27,2.27,2.27,2.27,0,0.0,0.0
2003-01-14,2.27,2.27,2.27,2.27,0,0.0,0.0
2003-01-15,2.28,2.34,2.28,2.34,51535,0.0,0.0
2003-01-16,2.33,2.33,2.33,2.33,47295,0.0,0.0
2003-01-17,2.31,2.37,2.31,2.37,54144,0.0,0.0
2003-01-21,2.34,2.38,2.34,2.37,77628,0.0,0.0
2003-01-22,2.37,2.37,2.37,2.37,18918,0.0,0.0
2003-01-23,2.37,2.37,2.37,2.37,0,0.0,0.0
2003-01-24,2.28,2.28,2.28,2.28,76650,0.0,0.0
2003-01-27,2.27,2.28,2.27,2.28,13373,0.0,0.0
2003-01-28,2.27,2.27,2.26,2.26,1631,0.0,0.0
2003-01-29,2.27,2.28,2.26,2.28,5545,0.0,0.0
2003-01-30,2.29,2.35,2.29,2.35,8154,0.0,0.0
2003-01-31,2.33,2.33,2.33,2.33,1957,0.0,0.0
