Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-03,10.09,10.53,10.09,10.47,15900,0.0,0
1996-01-04,10.36,10.36,9.43,9.43,9300,0.0,0
1996-01-05,9.49,9.98,9.49,9.98,59800,0.0,0
1996-01-08,10.09,10.2,10.03,10.2,41400,0.0,0
1996-01-09,10.2,10.53,10.2,10.31,90400,0.0,0
1996-01-10,10.25,10.31,10.2,10.25,85500,0.0,0
1996-01-11,10.14,10.14,9.87,9.98,21800,0.0,0
1996-01-12,10.09,10.09,9.43,9.43,12000,0.0,0
1996-01-15,9.43,9.54,9.43,9.43,101000,0.0,0
1996-01-16,9.54,9.54,9.16,9.16,165200,0.0,0
1996-01-17,9.21,9.43,9.21,9.43,361400,0.0,0
1996-01-18,9.43,10.09,9.43,9.98,258000,0.0,0
1996-01-19,9.87,10.36,9.87,10.31,538400,0.0,0
1996-01-22,10.31,10.36,10.09,10.2,630400,0.0,0
1996-01-23,10.2,10.36,10.09,10.25,224800,0.0,0
1996-01-24,10.36,10.69,10.36,10.64,279100,0.0,0
1996-01-25,10.58,10.86,10.53,10.64,215700,0.0,0
1996-01-26,10.53,10.53,10.09,10.42,215000,0.0,0
1996-01-29,10.42,10.42,10.2,10.42,353100,0.0,0
1996-01-30,10.47,11.19,10.47,10.86,312200,0.0,0
1996-01-31,10.86,10.97,10.8,10.97,318800,0.0,0
1996-02-01,10.91,11.08,10.8,10.8,148000,0.0,0
1996-02-02,10.86,10.91,10.69,10.75,92100,0.0,0
1996-02-05,10.75,10.75,10.58,10.75,48900,0.0,0
1996-02-06,10.75,11.19,10.69,11.13,202100,0.0,0
1996-02-07,10.75,10.75,10.14,10.42,266500,0.0,0
1996-02-08,10.53,10.69,10.53,10.69,107600,0.0,0
1996-02-09,10.69,10.8,10.58,10.69,74100,0.0,0
1996-02-12,10.79,10.84,10.51,10.62,27200,0.0906694,0
1996-02-13,10.69,10.8,10.52,10.8,97800,0.025,0
1996-02-14,10.74,10.91,10.58,10.69,103500,0.0,0
1996-02-15,10.8,10.91,10.74,10.85,92300,0.0,0
1996-02-16,10.69,10.91,10.69,10.8,46000,0.0,0
1996-02-20,10.63,10.69,10.58,10.58,103800,0.0,0
1996-02-21,10.69,10.8,10.69,10.8,162000,0.0,0
1996-02-22,10.8,10.85,10.69,10.74,159900,0.0,0
1996-02-23,10.74,10.8,10.63,10.8,74500,0.0,0
