Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-12,10.15,10.4,10.15,10.4,2167300,0,0
2021-01-13,10.4,10.44,10.35,10.4,117400,0,0
2021-01-14,10.36,10.64,10.36,10.48,228000,0,0
2021-01-15,10.58,10.6,10.36,10.39,209000,0,0
2021-01-19,10.38,10.44,10.36,10.36,38300,0,0
2021-01-20,10.38,10.44,10.36,10.4,37800,0,0
2021-01-21,10.37,10.44,10.37,10.38,24700,0,0
2021-01-22,10.49,10.53,10.4,10.41,69300,0,0
2021-01-25,10.52,10.57,10.42,10.46,534100,0,0
2021-01-26,10.46,10.46,10.32,10.32,132000,0,0
2021-01-27,10.31,10.49,10.31,10.37,83700,0,0
2021-01-28,10.35,10.37,10.25,10.3,31500,0,0
2021-01-29,10.3,10.33,10.27,10.33,9500,0,0
2021-02-01,10.35,10.36,10.25,10.3,51700,0,0
2021-02-02,10.3,10.38,10.3,10.31,26600,0,0
2021-02-03,10.35,10.4,10.34,10.4,42500,0,0
2021-02-04,10.36,10.5,10.36,10.41,33600,0,0
2021-02-05,10.5,10.5,10.43,10.43,37100,0,0
2021-02-08,10.59,10.59,10.48,10.55,29500,0,0
2021-02-09,10.59,10.81,10.59,10.75,321300,0,0
2021-02-10,10.6,10.8,10.6,10.7,31000,0,0
2021-02-11,10.65,10.73,10.61,10.67,10800,0,0
2021-02-12,10.75,10.95,10.68,10.73,62700,0,0
2021-02-16,10.73,10.91,10.61,10.71,7700,0,0
2021-02-17,10.91,10.91,10.66,10.7,4000,0,0
2021-02-18,10.62,10.92,10.62,10.92,17100,0,0
2021-02-19,10.85,10.86,10.68,10.68,255900,0,0
2021-02-22,10.89,10.92,10.69,10.83,75800,0,0
2021-02-23,10.88,10.88,10.5,10.8,83800,0,0
2021-02-24,10.81,11.06,10.81,10.92,9800,0,0
2021-02-25,10.98,10.99,10.54,10.65,52200,0,0
2021-02-26,10.58,10.73,10.56,10.65,31400,0,0
2021-03-01,10.65,10.65,10.51,10.62,5500,0,0
2021-03-02,10.6,10.65,10.45,10.45,33600,0,0
2021-03-03,10.45,10.51,10.28,10.28,16200,0,0
2021-03-04,10.26,10.3,10.21,10.21,14400,0,0
2021-03-05,10.14,10.35,10.1,10.2,6500,0,0
2021-03-08,10.27,10.41,10.27,10.33,57300,0,0
2021-03-09,10.45,10.45,10.3,10.3,22800,0,0
2021-03-10,10.47,10.47,10.2,10.21,44100,0,0
2021-03-11,10.21,10.21,10.21,10.21,0,0,0
2021-03-12,10.21,10.21,10.21,10.21,100,0,0
2021-03-15,10.25,10.38,10.25,10.29,3200,0,0
2021-03-16,10.29,10.29,10.29,10.29,100,0,0
2021-03-17,10.29,10.31,10.29,10.31,3200,0,0
2021-03-18,10.29,10.29,10.26,10.26,3500,0,0
2021-03-19,10.26,10.31,10.26,10.31,7400,0,0
2021-03-22,10.28,10.28,10.26,10.26,6200,0,0
2021-03-23,10.22,10.22,10.19,10.22,13200,0,0
2021-03-24,10.17,10.19,10.13,10.13,8700,0,0
2021-03-25,10.0,10.14,9.88,10.14,13300,0,0
2021-03-26,10.0,10.0,10.0,10.0,200,0,0
2021-03-29,10.11,10.11,10.11,10.11,500,0,0
2021-03-30,10.1,10.1,10.1,10.1,100,0,0
2021-03-31,10.1,10.1,10.1,10.1,0,0,0
2021-04-01,10.16,10.16,10.15,10.16,500,0,0
2021-04-05,10.16,10.16,10.16,10.16,0,0,0
2021-04-06,10.16,10.16,10.16,10.16,0,0,0
2021-04-07,10.2,10.2,10.2,10.2,700,0,0
2021-04-08,10.2,10.3,10.2,10.3,1100,0,0
2021-04-09,10.29,10.29,10.29,10.29,300,0,0
2021-04-12,10.29,10.3,10.29,10.3,600,0,0
2021-04-13,10.17,10.25,10.17,10.25,1100,0,0
2021-04-14,10.2,10.3,10.2,10.3,1400,0,0
2021-04-15,10.3,10.32,10.3,10.32,600,0,0
2021-04-16,10.29,10.29,10.27,10.27,1000,0,0
2021-04-19,10.27,10.27,10.27,10.27,0,0,0
2021-04-20,10.23,10.23,10.22,10.22,4800,0,0
2021-04-21,10.22,10.22,10.22,10.22,0,0,0
2021-04-22,10.22,10.22,10.22,10.22,0,0,0
2021-04-23,10.32,10.32,10.16,10.29,1800,0,0
2021-04-26,10.21,10.21,10.21,10.21,2000,0,0
2021-04-27,10.21,10.21,10.21,10.21,0,0,0
2021-04-28,10.23,10.27,10.23,10.27,6000,0,0
2021-04-29,10.34,10.37,10.33,10.37,20000,0,0
2021-04-30,10.37,10.37,10.37,10.37,0,0,0
2021-05-03,10.37,10.37,10.37,10.37,0,0,0
2021-05-04,10.32,10.32,10.3,10.3,210,0,0
