Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-23,25.44,26.33,23.55,25.44,136000,0.0,0
2018-04-24,24.12,25.92,23.55,25.92,101400,0.0,0
2018-04-25,25.92,25.92,25.92,25.92,0,0.0,0
2018-04-26,25.91,25.91,24.03,24.97,84600,0.0,0
2018-04-27,24.97,24.97,24.5,24.55,500,0.0,0
2018-04-30,24.73,24.73,24.03,24.57,2200,0.0,0
2018-05-01,24.02,24.5,23.55,24.5,2300,0.0,0
2018-05-02,23.55,24.26,22.61,24.26,24000,0.0,0
2018-05-03,24.03,24.03,23.55,23.78,23000,0.0,0
2018-05-04,23.87,23.87,21.95,23.54,53900,0.0,0
2018-05-07,22.61,23.55,22.61,23.55,10100,0.0,0
2018-05-08,22.72,23.55,22.61,23.55,10700,0.0,0
2018-05-09,23.08,23.55,23.08,23.53,3400,0.0,0
2018-05-10,23.55,23.55,23.54,23.55,600,0.0,0
2018-05-11,23.32,23.32,22.74,23.22,12500,0.0,0
2018-05-14,22.8,23.63,22.7,23.63,10200,0.08,0
2018-05-15,22.69,23.56,22.69,23.49,8000,0.0,0
2018-05-16,23.34,23.34,22.69,23.04,5200,0.0,0
2018-05-17,23.0,23.14,22.72,23.02,3600,0.0,0
2018-05-18,23.15,23.53,22.69,23.05,17200,0.0,0
2018-05-21,23.05,23.05,23.05,23.05,600,0.0,0
2018-05-22,22.86,23.16,22.21,23.14,20000,0.0,0
2018-05-23,23.01,23.01,21.98,22.68,24700,0.0,0
2018-05-24,22.37,22.64,21.88,22.21,32100,0.0,0
2018-05-25,22.02,22.39,21.83,22.12,25800,0.0,0
2018-05-29,21.84,22.12,21.83,22.07,8300,0.0,0
2018-05-30,21.84,22.2,21.84,22.2,21900,0.0,0
2018-05-31,21.98,22.21,21.95,22.14,45500,0.0,0
2018-06-01,22.17,22.69,22.12,22.61,27600,0.0,0
2018-06-04,22.22,23.62,22.22,22.94,51700,0.0,0
2018-06-05,23.63,24.48,23.16,23.37,173000,0.0,0
2018-06-06,23.42,23.58,23.27,23.56,97100,0.0,0
2018-06-07,23.57,23.58,22.98,23.21,60600,0.0,0
2018-06-08,23.39,23.49,23.06,23.19,33800,0.0,0
2018-06-11,23.34,23.67,23.18,23.49,83300,0.0,0
2018-06-12,23.58,23.87,23.16,23.26,64500,0.0,0
2018-06-13,23.54,23.8,23.46,23.67,120100,0.0,0
2018-06-14,23.68,23.8,23.47,23.72,126800,0.0,0
2018-06-15,23.94,23.94,23.17,23.81,106200,0.0,0
2018-06-18,23.98,25.33,22.94,24.7,165900,0.0,0
2018-06-19,24.42,24.91,23.93,24.4,107100,0.0,0
2018-06-20,24.58,25.08,24.15,24.86,82800,0.0,0
2018-06-21,24.68,24.81,24.07,24.71,45500,0.0,0
2018-06-22,24.43,25.89,24.4,25.26,1252300,0.0,0
2018-06-25,25.0,26.36,24.89,25.08,60300,0.0,0
2018-06-26,25.26,25.28,24.21,24.58,72600,0.0,0
2018-06-27,24.53,25.52,24.53,25.14,66800,0.0,0
2018-06-28,25.02,25.42,24.39,25.22,76600,0.0,0
2018-06-29,24.63,25.21,24.63,24.91,16400,0.0,0
2018-07-02,24.72,24.81,24.35,24.39,25100,0.0,0
2018-07-03,24.39,24.39,24.2,24.27,13900,0.0,0
2018-07-05,24.39,26.15,24.02,24.81,41200,0.0,0
2018-07-06,24.88,25.06,22.82,23.77,63200,0.0,0
2018-07-09,23.8,24.34,23.72,24.01,16500,0.0,0
