Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-11-06,14.78,15.6,14.78,15.19,5100,0.0,0.0
2013-11-07,15.49,15.52,14.79,14.79,4000,0.0,0.0
2013-11-08,14.83,16.02,14.82,16.02,3800,0.0,0.0
2013-11-11,16.36,17.05,15.95,16.3,1400,0.0,0.0
2013-11-12,16.83,17.43,16.83,17.43,1200,0.0,0.0
2013-11-13,17.43,17.43,17.43,17.43,0,0.0,0.0
2013-11-14,17.43,17.43,17.43,17.43,0,0.0,0.0
2013-11-15,17.43,17.43,17.43,17.43,0,0.0,0.0
2013-11-18,17.64,17.64,17.64,17.64,200,0.0,0.0
2013-11-19,17.1,17.1,16.11,16.11,2200,0.0,0.0
2013-11-20,16.18,16.18,15.23,16.02,196400,0.0,0.0
2013-11-21,16.17,16.75,15.84,16.45,198700,0.0,0.0
2013-11-22,16.52,16.64,16.3,16.48,103100,0.0,0.0
2013-11-25,16.54,16.54,15.88,16.14,18200,0.0,0.0
2013-11-26,16.14,16.14,15.26,15.44,116600,0.0,0.0
2013-11-27,15.32,15.64,15.01,15.56,248200,0.0,0.0
2013-11-29,15.66,15.66,15.28,15.51,33800,0.0,0.0
2013-12-02,15.48,15.73,15.33,15.62,242600,0.0,0.0
2013-12-03,15.64,15.76,15.26,15.44,75900,0.0,0.0
2013-12-04,15.47,15.84,15.16,15.57,81500,0.0,0.0
2013-12-05,15.6,15.75,15.16,15.26,98200,0.0,0.0
2013-12-06,15.45,15.5,15.05,15.17,56600,0.0,0.0
2013-12-09,15.23,15.33,15.16,15.16,62100,0.0,0.0
2013-12-10,15.17,15.26,15.04,15.22,84600,0.0,0.0
2013-12-11,15.29,15.29,15.06,15.1,91200,0.0,0.0
2013-12-12,15.15,15.33,15.12,15.14,33500,0.0,0.0
2013-12-13,15.13,15.25,14.71,14.73,159200,0.0,0.0
2013-12-16,14.8,15.29,14.5,14.99,170400,0.0,0.0
2013-12-17,15.04,15.17,14.25,14.85,273600,0.0,0.0
2013-12-18,14.83,15.68,14.61,15.09,184300,0.0,0.0
2013-12-19,15.07,15.23,14.76,14.85,52100,0.0,0.0
2013-12-20,14.89,14.89,13.77,13.92,473900,0.0,0.0
2013-12-23,13.99,14.03,13.64,13.79,114100,0.0,0.0
2013-12-24,13.76,13.96,13.6,13.67,87500,0.0,0.0
2013-12-26,13.68,13.7,13.26,13.35,101400,0.0,0.0
2013-12-27,13.33,13.39,13.07,13.32,86900,0.0495,0.0
2013-12-30,13.3,13.96,13.18,13.81,141000,0.0,0.0
2013-12-31,13.82,13.85,13.39,13.83,116200,0.0,0.0
2014-01-02,13.73,13.88,13.42,13.8,113900,0.0,0.0
2014-01-03,13.76,14.11,13.54,14.04,62500,0.0,0.0
2014-01-06,14.07,14.18,13.7,14.17,50500,0.0,0.0
2014-01-07,14.13,14.25,13.67,13.83,194700,0.0,0.0
2014-01-08,13.79,13.98,13.52,13.76,256200,0.0,0.0
2014-01-09,13.84,13.84,13.45,13.68,199600,0.0,0.0
2014-01-10,13.64,13.75,13.12,13.68,252300,0.0,0.0
2014-01-13,13.62,13.78,13.6,13.67,73600,0.0,0.0
2014-01-14,13.69,13.7,13.42,13.69,180800,0.0,0.0
2014-01-15,13.68,13.72,13.58,13.67,131900,0.0,0.0
2014-01-16,13.58,13.77,13.58,13.73,139200,0.0,0.0
2014-01-17,13.68,13.94,13.68,13.94,44100,0.0,0.0
2014-01-21,13.96,13.96,13.8,13.95,31700,0.0,0.0
2014-01-22,13.53,13.64,13.14,13.47,191800,0.0,0.0
2014-01-23,13.3,13.3,12.59,12.71,359100,0.0,0.0
2014-01-24,12.47,12.59,12.39,12.47,2951600,0.0,0.0
2014-01-27,12.53,12.53,12.31,12.43,489900,0.0,0.0
2014-01-28,12.4,12.51,12.39,12.48,253400,0.0,0.0
2014-01-29,12.43,12.72,12.35,12.67,478200,0.0,0.0
2014-01-30,12.65,12.8,12.59,12.66,713100,0.0,0.0
2014-01-31,12.56,12.66,12.37,12.54,1080000,0.0,0.0
2014-02-03,12.53,12.66,12.4,12.46,210400,0.0,0.0
2014-02-04,12.5,12.53,12.05,12.28,260100,0.0,0.0
2014-02-05,12.18,12.26,12.07,12.16,165900,0.0,0.0
2014-02-06,12.11,12.21,12.05,12.21,319800,0.0,0.0
2014-02-07,12.12,12.22,11.93,12.21,252400,0.0,0.0
2014-02-10,12.15,12.52,12.09,12.52,144300,0.0,0.0
2014-02-11,12.72,12.78,12.43,12.49,201800,0.0,0.0
2014-02-12,12.44,12.56,12.41,12.5,301000,0.0,0.0
2014-02-13,12.48,12.93,12.39,12.86,964900,0.0,0.0
2014-02-14,12.81,12.84,12.63,12.81,495700,0.0,0.0
2014-02-18,12.81,13.04,12.69,13.0,229100,0.0,0.0
2014-02-19,12.86,13.02,12.66,12.72,442300,0.0,0.0
2014-02-20,12.69,12.81,12.56,12.71,84100,0.0,0.0
2014-02-21,12.76,12.81,12.62,12.66,134900,0.0,0.0
2014-02-24,12.66,12.93,12.59,12.85,128200,0.0,0.0
2014-02-25,12.85,13.12,12.75,13.07,394900,0.0,0.0
2014-02-26,13.06,13.13,12.73,12.86,93700,0.0,0.0
2014-02-27,12.82,12.84,12.66,12.78,88400,0.0,0.0
