Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-06-20,2.18,2.34,2.18,2.24,5722500,0.0,0.0
1985-06-21,2.24,2.28,2.21,2.24,1330000,0.0,0.0
1985-06-24,2.24,2.49,2.24,2.49,1098125,0.0,0.0
1985-06-25,2.49,2.62,2.48,2.54,1204375,0.0,0.0
1985-06-26,2.54,2.62,2.49,2.57,775000,0.0,0.0
1985-06-27,2.57,2.62,2.57,2.59,371250,0.0,0.0
1985-06-28,2.59,2.61,2.44,2.54,503125,0.0,0.0
1985-07-01,2.54,2.62,2.52,2.61,520625,0.0,0.0
1985-07-02,2.61,2.64,2.57,2.62,199375,0.0,0.0
1985-07-03,2.62,2.64,2.61,2.61,80625,0.0,0.0
1985-07-05,2.61,2.64,2.61,2.64,101250,0.0,0.0
1985-07-08,2.62,2.62,2.52,2.52,128125,0.0,0.0
1985-07-09,2.52,2.56,2.51,2.51,137500,0.0,0.0
1985-07-10,2.51,2.51,2.39,2.48,300000,0.0,0.0
1985-07-11,2.49,2.56,2.49,2.49,86250,0.0,0.0
1985-07-12,2.49,2.54,2.48,2.48,120625,0.0,0.0
1985-07-15,2.48,2.49,2.44,2.48,139375,0.0,0.0
1985-07-16,2.48,2.48,2.46,2.48,125000,0.0,0.0
1985-07-17,2.48,2.51,2.46,2.49,63125,0.0,0.0
1985-07-18,2.49,2.52,2.46,2.46,375625,0.0,0.0
1985-07-19,2.46,2.62,2.46,2.56,102500,0.0,0.0
1985-07-22,2.56,2.61,2.54,2.59,92500,0.0,0.0
1985-07-23,2.59,2.61,2.51,2.51,82500,0.0,0.0
1985-07-24,2.51,2.61,2.48,2.59,142500,0.0,0.0
1985-07-25,2.59,2.62,2.59,2.61,50625,0.0,0.0
1985-07-26,2.61,2.61,2.57,2.57,69375,0.0,0.0
1985-07-29,2.57,2.61,2.51,2.51,60625,0.0,0.0
1985-07-30,2.51,2.54,2.43,2.51,246250,0.0,0.0
1985-07-31,2.51,2.67,2.51,2.64,254375,0.0,0.0
1985-08-01,2.71,2.89,2.71,2.87,175000,0.0,0.0
1985-08-02,2.87,2.89,2.79,2.81,129375,0.0,0.0
1985-08-05,2.81,2.81,2.74,2.74,132500,0.0,0.0
1985-08-06,2.74,2.79,2.74,2.77,138125,0.0,0.0
