Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-11-12,74.3068,80.0227,74.3068,80.0227,1204,0.0,0.0
1992-11-13,80.0227,91.4545,80.0227,86.8818,6722,0.0,0.0
1992-11-16,89.1681,93.7408,86.8818,89.1681,4438,0.0,0.0
1992-11-17,91.4545,91.4545,84.5954,89.1681,1302,0.0,0.0
1992-11-18,84.5954,86.8818,80.0227,84.5954,2045,0.0,0.0
1992-11-19,83.4522,89.1681,83.4522,86.8818,1291,0.0,0.0
1992-11-20,86.3102,93.7408,84.5954,86.8818,5366,0.0,0.0
1992-11-23,91.4545,91.4545,84.5954,91.4545,2355,0.0,0.0
1992-11-24,91.4545,93.7408,86.8817,91.4545,11405,0.0,0.0
1992-11-25,93.7408,96.0272,89.1681,89.1681,3603,0.0,0.0
1992-11-27,89.1681,93.7408,89.1681,91.4545,461,0.0,0.0
1992-11-30,93.7408,93.7408,86.8818,86.8818,2013,0.0,0.0
1992-12-01,89.1681,91.4545,86.8818,88.0249,510,0.0,0.0
1992-12-02,86.8818,91.4545,77.7363,80.0227,2387,0.0,0.0
1992-12-03,83.4522,84.5954,80.0227,80.0227,570,0.0,0.0
1992-12-04,82.309,84.5954,80.0227,84.5954,4411,0.0,0.0
1992-12-07,82.309,89.1681,82.309,86.8818,505,0.0,0.0
1992-12-08,84.5954,86.8818,81.1659,81.1659,760,0.0,0.0
1992-12-09,84.5954,84.5954,70.8772,80.0227,5447,0.0,0.0
1992-12-10,77.7363,80.0227,75.4499,80.0227,966,0.0,0.0
1992-12-11,80.0227,80.0227,75.45,75.45,342,0.0,0.0
1992-12-14,80.0227,82.309,75.45,75.45,3272,0.0,0.0
1992-12-15,75.4499,80.0227,73.1636,80.0227,2398,0.0,0.0
1992-12-16,75.4499,80.0227,75.4499,80.0227,770,0.0,0.0
1992-12-17,75.45,77.7363,75.45,75.45,874,0.0,0.0
1992-12-18,77.7363,82.309,75.4499,77.7363,1856,0.0,0.0
1992-12-21,80.0227,82.309,77.7363,80.0227,3174,0.0,0.0
1992-12-22,82.309,86.8818,80.0227,84.5954,4802,0.0,0.0
1992-12-23,80.0227,84.5954,80.0227,82.309,2338,0.0,0.0
1992-12-24,80.0227,82.309,80.0227,80.0227,581,0.0,0.0
1992-12-28,84.5954,84.5954,77.7363,77.7363,510,0.0,0.0
1992-12-29,73.1636,77.7363,73.1636,77.7363,1134,0.0,0.0
1992-12-30,73.1636,73.1636,73.1636,73.1636,71,0.0,0.0
1992-12-31,73.1636,77.7363,70.8772,77.7363,450,0.0,0.0
1993-01-04,75.4499,77.7363,75.4499,77.7363,1025,0.0,0.0
1993-01-05,77.7363,77.7363,75.45,75.45,163,0.0,0.0
1993-01-06,73.1636,73.1636,73.1636,73.1636,109,0.0,0.0
1993-01-07,77.7363,77.7363,73.1636,73.1636,168,0.0,0.0
1993-01-08,73.1636,73.1636,73.1636,73.1636,217,0.0,0.0
1993-01-11,72.0204,77.7363,72.0204,73.1636,993,0.0,0.0
1993-01-12,77.7363,77.7363,74.3068,74.3068,87,0.0,0.0
1993-01-13,77.7363,77.7363,77.7363,77.7363,33,0.0,0.0
1993-01-14,77.7363,77.7363,70.8772,73.1636,787,0.0,0.0
1993-01-15,70.8772,73.1636,70.8772,72.0204,2149,0.0,0.0
1993-01-18,73.1636,73.1636,68.5908,68.5908,423,0.0,0.0
1993-01-19,67.4477,70.8772,64.0181,68.5908,3717,0.0,0.0
1993-01-20,64.0181,68.5909,61.7318,66.3045,543,0.0,0.0
1993-01-21,68.5909,68.5909,64.0181,64.0181,1324,0.0,0.0
1993-01-22,64.0181,68.5908,64.0181,68.5908,157,0.0,0.0
1993-01-25,66.3045,66.3045,64.0181,66.3045,564,0.0,0.0
1993-01-26,61.7318,61.7318,54.8727,59.4454,1384,0.0,0.0
1993-01-27,59.4454,61.7318,57.159,61.7318,2463,0.0,0.0
1993-01-28,64.0181,73.1636,64.0181,73.1636,2990,0.0,0.0
1993-01-29,68.5908,73.1636,68.5908,68.5908,1145,0.0,0.0
1993-02-01,73.1636,73.1636,65.1613,66.3045,380,0.0,0.0
1993-02-02,64.0181,64.0181,64.0181,64.0181,5,0.0,0.0
1993-02-03,61.7318,61.7318,61.7318,61.7318,342,0.0,0.0
1993-02-04,66.3045,66.3045,61.7318,61.7318,244,0.0,0.0
1993-02-05,59.4454,59.4454,57.1591,59.4454,1085,0.0,0.0
1993-02-08,59.4454,59.4454,48.0136,48.0136,1139,0.0,0.0
1993-02-09,50.3,59.4454,48.0136,57.159,5664,0.0,0.0
1993-02-10,54.8727,59.4454,54.8727,59.4454,190,0.0,0.0
1993-02-11,57.1591,59.4454,41.1545,59.4454,3874,0.0,0.0
1993-02-12,52.5863,54.8727,50.3,54.8727,819,0.0,0.0
1993-02-16,53.7295,53.7295,53.7295,53.7295,597,0.0,0.0
1993-02-17,50.3,54.8727,48.0136,54.8727,1926,0.0,0.0
1993-02-18,54.8727,54.8727,48.0136,50.3,3239,0.0,0.0
1993-02-19,48.0136,57.159,48.0136,57.159,1362,0.0,0.0
1993-02-22,50.3,50.3,50.3,50.3,217,0.0,0.0
1993-02-23,57.159,57.159,50.3,54.8727,971,0.0,0.0
1993-02-24,54.8727,54.8727,52.5863,52.5863,244,0.0,0.0
1993-02-25,50.3,53.7295,48.0136,53.7295,515,0.0,0.0
1993-02-26,48.0136,53.7295,45.7272,50.3,1150,0.0,0.0
1993-03-01,48.0136,52.5863,48.0136,52.5863,3619,0.0,0.0
1993-03-02,48.0136,48.0136,45.7272,48.0136,825,0.0,0.0
1993-03-03,44.5841,50.3,44.5841,50.3,722,0.0,0.0
1993-03-04,50.3,52.5863,50.3,52.5863,3331,0.0,0.0
1993-03-05,52.5863,52.5863,50.3,52.5863,217,0.0,0.0
1993-03-08,48.0136,50.3,45.7272,50.3,6060,0.0,0.0
1993-03-09,50.3,50.3,48.0136,48.0136,385,0.0,0.0
1993-03-10,48.0136,50.3,48.0136,50.3,971,0.0,0.0
1993-03-11,48.0136,50.3,45.7272,48.0136,1915,0.0,0.0
1993-03-12,48.0136,48.0136,48.0136,48.0136,103,0.0,0.0
1993-03-15,43.4409,45.7272,36.5818,38.8682,2013,0.0,0.0
1993-03-16,38.8682,41.1545,36.5818,36.5818,1139,0.0,0.0
1993-03-17,41.1545,43.4409,40.0113,42.2977,5209,0.0,0.0
1993-03-18,42.2977,42.2977,40.0113,40.0113,906,0.0,0.0
1993-03-19,42.2977,43.4409,40.0113,41.1545,7520,0.0,0.0
