Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-31,37.28,41.14,31.4,31.4,104600,0.0,0
2020-04-01,34.54,34.54,32.81,33.0,287400,0.0,0
2020-04-02,33.1,36.37,33.0,35.31,310600,0.0,0
2020-04-03,35.31,35.56,33.5,34.06,433700,0.0,0
2020-04-06,34.81,36.27,34.81,35.76,379600,0.0,0
2020-04-07,37.18,37.97,35.9,37.04,325500,0.0,0
2020-04-08,36.79,39.09,36.38,38.0,401900,0.0,0
2020-04-09,38.49,39.99,38.13,39.5,333100,0.0,0
2020-04-13,39.33,39.33,37.52,38.79,260100,0.0,0
2020-04-14,38.89,39.26,37.69,38.54,263700,0.0,0
2020-04-15,38.33,38.44,35.99,36.26,243900,0.0,0
2020-04-16,36.53,36.64,35.83,36.27,259100,0.0,0
2020-04-17,37.53,38.86,37.0,38.86,178200,0.0,0
2020-04-20,38.26,38.36,36.43,37.12,195700,0.0,0
2020-04-21,36.49,36.74,35.9,36.31,330000,0.0,0
2020-04-22,36.49,37.39,36.48,36.99,160800,0.0,0
2020-04-23,37.31,37.52,36.58,36.75,162300,0.0,0
2020-04-24,36.27,37.08,36.19,36.42,394400,0.0,0
2020-04-27,36.42,38.47,36.33,38.28,191900,0.0,0
2020-04-28,38.42,39.08,37.84,37.98,205000,0.0,0
2020-04-29,38.21,40.59,38.19,40.58,305500,0.0,0
2020-04-30,40.28,40.95,39.43,40.4,307300,0.0,0
2020-05-01,39.68,40.05,39.15,39.96,126400,0.0,0
2020-05-04,39.75,40.29,39.32,40.21,337100,0.0,0
2020-05-05,40.11,41.89,40.11,41.26,399300,0.0,0
2020-05-06,41.28,41.51,39.51,39.74,67500,0.0,0
2020-05-07,39.86,40.62,39.81,40.03,119800,0.0,0
2020-05-08,40.81,42.07,40.37,41.96,159700,0.0,0
2020-05-11,42.12,45.27,41.34,45.27,197700,0.0,0
2020-05-12,45.76,46.14,44.37,44.39,178400,0.0,0
2020-05-13,44.08,44.39,42.04,42.52,198100,0.0,0
2020-05-14,41.94,42.18,40.98,41.95,124600,0.0,0
2020-05-15,41.95,42.43,41.41,42.18,96200,0.0,0
2020-05-18,43.36,44.34,42.93,43.8,81600,0.0,0
2020-05-19,43.86,44.92,43.55,44.35,120900,0.0,0
2020-05-20,44.84,45.05,43.25,43.32,100700,0.0,0
2020-05-21,43.28,43.55,42.07,42.45,91900,0.0,0
2020-05-22,42.46,42.76,41.78,42.56,68600,0.0,0
2020-05-26,43.36,43.36,42.05,42.07,87600,0.0,0
2020-05-27,43.06,43.09,41.74,42.17,110600,0.0,0
2020-05-28,42.61,42.61,41.48,42.02,94100,0.485,0
2020-05-29,41.8,42.8,41.34,42.35,283200,0.0,0
2020-06-01,42.01,43.75,41.82,43.5,432600,0.0,0
2020-06-02,43.91,45.43,43.56,45.19,198100,0.0,0
2020-06-03,45.37,46.97,45.01,46.36,319000,0.0,0
2020-06-04,46.5,48.27,45.88,46.86,428900,0.0,0
2020-06-05,47.53,48.51,47.46,48.1,119300,0.0,0
2020-06-08,48.79,50.55,48.64,50.04,399400,0.0,0
2020-06-09,49.77,49.89,48.24,48.56,319100,0.0,0
2020-06-10,48.56,48.98,47.67,48.23,277900,0.0,0
