Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-10,18.5,18.5,14.72,16.5,1128500,0,0
2021-02-11,16.35,17.0,15.55,16.75,308000,0,0
2021-02-12,16.85,17.03,16.5,17.02,165300,0,0
2021-02-16,16.7,16.7,15.46,15.53,54500,0,0
2021-02-17,15.63,15.63,14.9,15.3,30300,0,0
2021-02-18,15.0,15.0,14.46,14.54,36300,0,0
2021-02-19,14.6,16.67,14.6,15.36,37100,0,0
2021-02-22,15.58,15.85,15.47,15.75,6000,0,0
2021-02-23,15.1,15.48,15.1,15.36,6800,0,0
2021-02-24,15.78,15.98,15.6,15.96,2400,0,0
2021-02-25,16.2,16.5,16.18,16.43,18600,0,0
2021-02-26,15.99,16.75,15.99,16.5,21100,0,0
2021-03-01,16.09,16.16,15.1,15.96,9800,0,0
2021-03-02,15.5,15.5,15.5,15.5,700,0,0
2021-03-03,15.16,15.16,14.66,14.66,1900,0,0
2021-03-04,14.45,14.64,14.01,14.6,3000,0,0
2021-03-05,14.01,14.42,14.01,14.42,700,0,0
2021-03-08,14.04,14.04,14.04,14.04,700,0,0
2021-03-09,15.08,15.16,15.08,15.13,1900,0,0
2021-03-10,15.0,15.1,14.82,14.85,1200,0,0
2021-03-11,14.85,14.85,14.85,14.85,300,0,0
2021-03-12,14.85,15.04,14.6,14.6,1100,0,0
2021-03-15,14.61,14.61,14.61,14.61,1300,0,0
2021-03-16,15.0,15.0,14.27,14.6,2200,0,0
2021-03-17,15.35,16.72,15.35,16.15,17200,0,0
2021-03-18,15.57,15.66,15.44,15.66,1500,0,0
2021-03-19,15.72,16.3,15.72,16.12,3500,0,0
2021-03-22,15.19,15.19,15.19,15.19,900,0,0
2021-03-23,14.83,14.83,14.05,14.05,5200,0,0
2021-03-24,13.8,13.8,13.47,13.51,6100,0,0
2021-03-25,13.28,13.49,13.02,13.02,5800,0,0
2021-03-26,13.32,13.32,12.8,12.8,2200,0,0
2021-03-29,12.98,12.98,12.98,12.98,1000,0,0
2021-03-30,12.97,12.97,12.97,12.97,200,0,0
2021-03-31,12.85,12.85,12.8,12.8,6300,0,0
2021-04-01,13.52,13.52,13.27,13.27,500,0,0
2021-04-05,14.26,15.21,14.26,15.21,1300,0,0
2021-04-06,15.21,15.21,15.21,15.21,0,0,0
2021-04-07,15.21,15.21,15.21,15.21,0,0,0
2021-04-08,15.21,15.21,15.21,15.21,0,0,0
2021-04-09,15.21,15.21,15.21,15.21,0,0,0
2021-04-12,14.08,14.08,11.16,11.79,17000,0,0
2021-04-13,12.02,13.92,12.02,13.92,8800,0,0
2021-04-14,13.89,13.9,12.51,12.51,600,0,0
2021-04-15,12.7,12.7,12.7,12.7,300,0,0
2021-04-16,12.0,12.15,12.0,12.14,500,0,0
2021-04-19,12.49,13.75,12.49,13.75,900,0,0
2021-04-20,12.78,12.78,11.77,12.62,5600,0,0
2021-04-21,13.0,13.0,13.0,13.0,1300,0,0
2021-04-22,13.0,13.8,13.0,13.8,500,0,0
2021-04-23,13.8,13.8,13.8,13.8,0,0,0
2021-04-26,14.81,15.0,14.81,15.0,800,0,0
2021-04-27,15.0,15.0,15.0,15.0,0,0,0
2021-04-28,13.5,13.5,13.5,13.5,400,0,0
2021-04-29,13.5,13.5,13.5,13.5,0,0,0
2021-04-30,13.0,13.0,13.0,13.0,800,0,0
2021-05-03,12.91,12.91,12.91,12.91,400,0,0
2021-05-04,12.91,13.02,12.91,13.02,75,0,0
