Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-20,0.2,0.2,0.2,0.2,3600,0.0,0.0
2000-10-23,0.2,0.2,0.2,0.2,1200,0.0,0.0
2000-10-24,0.2,0.2,0.2,0.2,103200,0.0,0.0
2000-10-25,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-10-26,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-10-27,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-10-30,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-10-31,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-01,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-02,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-03,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-06,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-07,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-08,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-09,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-10,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-13,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-14,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-15,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-16,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-17,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-20,0.2,0.2,0.2,0.2,0,0.0,0.0
2000-11-21,0.18,0.18,0.18,0.18,121200,0.0,0.0
2000-11-22,0.18,0.18,0.18,0.18,48000,0.0,0.0
2000-11-24,0.18,0.18,0.18,0.18,0,0.0,0.0
2000-11-27,0.18,0.18,0.18,0.18,0,0.0,0.0
2000-11-28,0.18,0.18,0.18,0.18,8400,0.0,0.0
2000-11-29,0.18,0.18,0.18,0.18,0,0.0,0.0
2000-11-30,0.18,0.18,0.18,0.18,0,0.0,0.0
2000-12-01,0.18,0.18,0.18,0.18,1200,0.0,0.0
2000-12-04,0.18,0.18,0.18,0.18,0,0.0,0.0
2000-12-05,0.18,0.18,0.18,0.18,48000,0.0,0.0
2000-12-06,0.19,0.19,0.19,0.19,24000,0.0,0.0
2000-12-07,0.19,0.19,0.19,0.19,0,0.0,0.0
2000-12-08,0.19,0.19,0.19,0.19,6000,0.0,0.0
2000-12-11,0.2,0.21,0.2,0.21,42000,0.0,0.0
2000-12-12,0.21,0.21,0.21,0.21,0,0.0,0.0
2000-12-13,0.21,0.21,0.21,0.21,0,0.0,0.0
2000-12-14,0.25,0.25,0.25,0.25,0,0.1971,0.0
2000-12-15,0.25,0.25,0.25,0.25,0,0.0,0.0
2000-12-18,0.25,0.25,0.25,0.25,0,0.0,0.0
2000-12-19,0.25,0.25,0.25,0.25,0,0.0,0.0
2000-12-20,0.25,0.25,0.25,0.25,0,0.0,0.0
2000-12-21,0.25,0.25,0.25,0.25,0,0.0,0.0
2000-12-22,0.25,0.25,0.25,0.25,0,0.0,0.0
2000-12-26,0.25,0.25,0.25,0.25,0,0.0,0.0
2000-12-27,0.26,0.26,0.26,0.26,6000,0.0,0.0
2000-12-28,0.26,0.26,0.25,0.25,4800,0.0,0.0
2000-12-29,0.25,0.25,0.25,0.25,0,0.0,0.0
2001-01-02,0.26,0.26,0.26,0.26,1200,0.0,0.0
