Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-07,0.4,0.4,0.4,0.4,0,0,0
2020-02-10,0.4,0.4,0.4,0.4,0,0,0
2020-02-11,0.4,0.4,0.4,0.4,0,0,0
2020-02-12,0.4,0.4,0.4,0.4,0,0,0
2020-02-13,0.4,0.4,0.4,0.4,0,0,0
2020-02-14,0.4,0.4,0.4,0.4,0,0,0
2020-02-18,0.4,0.4,0.4,0.4,0,0,0
2020-02-19,0.4,0.4,0.4,0.4,0,0,0
2020-02-20,0.4,0.4,0.4,0.4,0,0,0
2020-02-21,0.4,0.4,0.4,0.4,0,0,0
2020-02-24,0.4,0.4,0.4,0.4,0,0,0
2020-02-25,0.4,0.4,0.4,0.4,0,0,0
2020-02-26,0.4,0.4,0.4,0.4,0,0,0
2020-02-27,0.4,0.4,0.4,0.4,0,0,0
2020-02-28,0.4,0.4,0.4,0.4,0,0,0
2020-03-02,0.4,0.4,0.4,0.4,0,0,0
2020-03-03,0.4,0.4,0.4,0.4,0,0,0
2020-03-04,0.4,0.4,0.4,0.4,0,0,0
2020-03-05,0.4,0.4,0.4,0.4,0,0,0
2020-03-06,0.4,0.4,0.4,0.4,0,0,0
2020-03-09,0.4,0.4,0.4,0.4,0,0,0
2020-03-10,0.4,0.4,0.4,0.4,0,0,0
2020-03-11,0.4,0.4,0.4,0.4,0,0,0
2020-03-12,0.4,0.4,0.4,0.4,0,0,0
2020-03-13,0.4,0.4,0.4,0.4,0,0,0
2020-03-16,0.4,0.4,0.4,0.4,0,0,0
2020-03-17,0.4,0.4,0.4,0.4,0,0,0
2020-03-18,0.4,0.4,0.4,0.4,0,0,0
2020-03-19,0.4,0.4,0.4,0.4,0,0,0
2020-03-20,0.4,0.4,0.4,0.4,0,0,0
2020-03-23,0.4,0.4,0.4,0.4,0,0,0
2020-03-24,0.4,0.4,0.4,0.4,0,0,0
2020-03-25,0.38,0.38,0.28,0.33,389900,0,0
2020-03-26,0.34,0.56,0.34,0.44,251900,0,0
2020-03-27,0.36,0.48,0.36,0.46,186900,0,0
2020-03-30,0.58,0.58,0.41,0.42,53000,0,0
2020-03-31,0.42,0.58,0.42,0.55,217700,0,0
2020-04-01,0.54,0.54,0.4,0.48,104600,0,0
2020-04-02,0.47,0.54,0.41,0.52,67200,0,0
2020-04-03,0.49,0.54,0.47,0.53,59400,0,0
2020-04-06,0.55,0.75,0.5,0.69,264000,0,0
2020-04-07,0.69,1.0,0.69,0.94,472800,0,0
2020-04-08,0.98,1.1,0.78,0.88,297000,0,0
2020-04-09,0.94,0.99,0.81,0.88,161700,0,0
2020-04-13,0.85,0.9,0.82,0.82,24100,0,0
2020-04-14,0.88,1.1,0.83,1.09,151800,0,0
2020-04-15,1.12,1.84,1.0,1.54,638900,0,0
2020-04-16,1.59,1.98,1.41,1.95,771100,0,0
2020-04-17,2.83,3.46,2.22,2.55,11762100,0,0
2020-04-20,2.2,2.68,1.96,2.45,1409900,0,0
2020-04-21,2.38,2.98,2.12,2.2,729000,0,0
2020-04-22,2.7,2.7,2.24,2.4,560400,0,0
2020-04-23,2.36,2.46,2.02,2.28,629800,0,0
2020-04-24,2.21,2.45,1.4,1.53,2631300,0,0
2020-04-27,1.39,1.94,1.3,1.69,1402900,0,0
2020-04-28,1.74,1.85,1.55,1.58,264100,0,0
2020-04-29,1.58,1.65,1.41,1.58,337800,0,0
2020-04-30,1.5,1.62,1.45,1.48,141800,0,0
2020-05-01,1.48,1.59,1.34,1.46,119100,0,0
2020-05-04,1.46,1.55,1.41,1.46,134900,0,0
2020-05-05,1.49,1.56,1.43,1.44,124300,0,0
2020-05-06,1.44,1.47,1.31,1.37,125000,0,0
2020-05-07,1.4,1.5,1.32,1.44,159400,0,0
2020-05-08,1.49,1.64,1.35,1.52,1007400,0,0
2020-05-11,1.55,1.55,1.39,1.5,267400,0,0
2020-05-12,1.49,1.52,1.35,1.42,127700,0,0
2020-05-13,1.35,1.38,1.16,1.2,399100,0,0
2020-05-14,1.22,1.26,1.08,1.13,665500,0,0
2020-05-15,1.14,1.2,1.02,1.12,1005500,0,0
2020-05-18,1.09,1.11,1.03,1.03,241100,0,0
2020-05-19,1.04,1.05,0.82,0.86,787500,0,0
