Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-12-14,116.36,120.67,115.93,116.36,629620,0.0,0.0
2004-12-15,116.36,117.22,116.36,116.79,161400,0.0,0.0
2004-12-16,116.88,118.51,116.36,116.45,37320,0.0,0.0
2004-12-17,116.62,116.88,112.05,114.2,90830,0.0,0.0
2004-12-20,114.64,115.07,112.05,113.08,33510,0.0,0.0
2004-12-21,113.17,114.55,112.05,114.46,12480,0.0,0.0
2004-12-22,114.64,115.07,112.91,113.34,20230,0.0,0.0
2004-12-23,113.77,116.19,113.43,115.76,14720,0.0,0.0
2004-12-27,116.19,116.53,113.77,115.07,15330,0.0,0.0
2004-12-28,115.07,117.14,114.72,116.96,11750,0.0,0.0
2004-12-29,117.14,118.51,116.79,118.08,20950,0.0,0.0
2004-12-30,118.51,123.94,117.65,121.96,28750,0.0,0.0
2004-12-31,121.96,126.7,121.96,124.72,46710,0.0,0.0
2005-01-03,125.58,125.58,121.53,121.62,14860,0.0,0.0
2005-01-04,121.53,121.96,118.95,119.38,7630,0.0,0.0
2005-01-05,118.51,121.53,117.65,118.17,7890,0.0,0.0
2005-01-06,118.51,118.51,112.05,115.93,9140,0.0,0.0
2005-01-07,116.36,116.88,115.67,115.93,2760,0.0,0.0
2005-01-10,117.22,118.43,116.36,116.79,11590,0.0,0.0
2005-01-11,116.36,119.38,115.93,118.0,3960,0.0,0.0
2005-01-12,117.14,117.74,114.12,115.33,11020,0.0,0.0
2005-01-13,115.07,116.7,115.07,115.24,4580,0.0,0.0
2005-01-14,114.64,117.05,114.64,116.45,5660,0.0,0.0
2005-01-18,116.79,116.88,112.91,114.2,9320,0.0,0.0
2005-01-19,114.2,115.07,112.05,113.77,6110,0.0,0.0
2005-01-20,113.08,113.77,112.39,112.91,4350,0.0,0.0
2005-01-21,112.91,114.64,112.83,112.91,5520,0.0,0.0
2005-01-24,114.2,116.36,113.77,115.07,20670,0.0,0.0
2005-01-25,115.93,120.15,115.93,119.03,16370,0.0,0.0
2005-01-26,119.38,119.38,116.79,117.39,6290,0.0,0.0
2005-01-27,116.96,118.0,116.79,117.82,6380,0.0,0.0
2005-01-28,118.08,118.86,117.22,118.43,2230,0.0,0.0
2005-01-31,118.08,119.81,116.79,118.0,6780,0.0,0.0
2005-02-01,117.39,122.82,117.31,121.53,22140,0.0,0.0
2005-02-02,122.39,125.41,122.13,124.55,20180,0.0,0.0
2005-02-03,125.41,129.72,124.55,128.43,27070,0.0,0.0
2005-02-04,129.29,131.87,128.0,131.87,25800,0.0,0.0
2005-02-07,131.44,131.44,128.77,130.15,15650,0.0,0.0
2005-02-08,130.15,130.58,128.43,129.29,8580,0.0,0.0
2005-02-09,129.81,129.81,127.22,128.94,6520,0.0,0.0
2005-02-10,129.29,129.55,125.93,128.86,5390,0.0,0.0
2005-02-11,128.86,130.58,127.05,129.89,14600,0.0,0.0
2005-02-14,129.29,129.81,127.74,129.46,4810,0.0,0.0
2005-02-15,128.86,129.46,127.56,128.77,4010,0.0,0.0
2005-02-16,128.77,130.32,128.51,129.89,5200,0.0,0.0
2005-02-17,129.89,132.74,128.77,130.49,11040,0.0,0.0
2005-02-18,130.15,131.27,129.29,130.24,7510,0.0,0.0
2005-02-22,130.24,131.44,128.51,128.86,8570,0.0,0.0
2005-02-23,129.03,129.12,127.39,128.43,10140,0.0,0.0
2005-02-24,127.56,128.34,126.27,127.56,7650,0.0,0.0
2005-02-25,126.7,136.1,126.7,133.08,8700,0.0,0.0
2005-02-28,133.6,133.6,131.44,132.65,16230,0.0,0.0
2005-03-01,132.74,139.55,132.74,135.32,7320,0.0,0.0
2005-03-02,137.91,140.84,136.18,139.55,22710,0.0,0.0
2005-03-03,139.63,140.92,137.48,139.8,17050,0.0,0.0
2005-03-04,141.53,146.44,141.1,145.49,18050,0.0,0.0
2005-03-07,146.53,152.56,145.66,150.92,37180,0.0,0.0
2005-03-08,151.78,157.3,151.01,155.15,36920,0.0,0.0
2005-03-09,155.15,156.01,151.7,155.15,22920,0.0,0.0
2005-03-10,148.68,148.77,122.82,127.91,94790,0.0,0.0
2005-03-11,127.56,131.44,126.96,130.06,36770,0.0,0.0
2005-03-14,131.87,137.91,131.79,135.75,31240,0.0,0.0
2005-03-15,136.18,137.91,134.46,137.91,29010,0.0,0.0
2005-03-16,140.04,140.04,137.69,139.43,19130,1.25,0.0
2005-03-17,138.99,138.99,134.39,136.65,9500,0.0,0.0
2005-03-18,136.65,141.17,136.65,139.43,16560,0.0,0.0
2005-03-21,138.12,138.12,132.04,133.17,18020,0.0,0.0
2005-03-22,133.09,133.35,127.7,130.31,18290,0.0,0.0
2005-03-23,129.44,130.74,127.01,127.09,8050,0.0,0.0
2005-03-24,127.27,127.96,125.09,127.87,10510,0.0,0.0
2005-03-28,127.96,128.05,124.66,125.09,4470,0.0,0.0
2005-03-29,120.75,121.62,114.67,116.67,21180,0.0,0.0
2005-03-30,117.36,122.05,117.36,119.36,16020,0.0,0.0
2005-03-31,120.23,125.96,117.36,117.36,58770,0.0,0.0
2005-04-01,117.71,119.45,110.59,119.45,43640,0.0,0.0
2005-04-04,118.58,120.14,114.58,119.62,9570,0.0,0.0
2005-04-05,119.01,119.01,115.28,118.14,9840,0.0,0.0
2005-04-06,117.28,118.14,115.19,116.58,7240,0.0,0.0
2005-04-07,115.71,119.45,115.1,118.58,4740,0.0,0.0
2005-04-08,118.58,120.32,115.1,116.58,8110,0.0,0.0
2005-04-11,116.41,118.32,114.06,115.97,4860,0.0,0.0
2005-04-12,116.41,118.49,116.41,117.45,10330,0.0,0.0
2005-04-13,117.28,117.71,115.19,115.28,10620,0.0,0.0
2005-04-14,115.97,116.23,111.63,112.93,7420,0.0,0.0
2005-04-15,112.93,114.58,111.19,111.89,5980,0.0,0.0
2005-04-18,111.72,112.06,105.11,108.41,15550,0.0,0.0
2005-04-19,108.41,115.71,107.37,115.71,16150,0.0,0.0
2005-04-20,115.54,121.53,113.97,117.02,8690,0.0,0.0
2005-04-21,117.88,122.31,117.02,119.19,10680,0.0,0.0
2005-04-22,119.01,119.53,111.54,112.58,7610,0.0,0.0
2005-04-25,113.45,113.45,110.41,111.11,3210,0.0,0.0
2005-04-26,112.06,113.37,109.54,109.54,9060,0.0,0.0
2005-04-27,108.68,110.67,107.02,109.46,6330,0.0,0.0
2005-04-28,109.2,109.2,105.03,105.11,12700,0.0,0.0
2005-04-29,104.68,106.85,103.55,104.25,15460,0.0,0.0
2005-05-02,104.68,106.42,100.34,103.12,9880,0.0,0.0
2005-05-03,103.81,104.51,101.64,104.25,4160,0.0,0.0
2005-05-04,104.68,105.11,103.81,104.16,17750,0.0,0.0
2005-05-05,102.94,104.59,102.94,104.25,4210,0.0,0.0
2005-05-06,104.25,108.59,104.07,107.72,10260,0.0,0.0
2005-05-09,112.06,112.06,100.16,103.2,15760,0.0,0.0
2005-05-10,102.59,104.16,100.08,101.55,7560,0.0,0.0
2005-05-11,100.68,102.94,99.03,102.07,25510,0.0,0.0
2005-05-12,102.07,102.25,91.13,95.73,26220,0.0,0.0
2005-05-13,95.56,96.77,88.61,89.56,19510,0.0,0.0
2005-05-16,90.43,90.78,85.22,86.7,29280,0.0,0.0
2005-05-17,86.61,89.22,86.18,88.78,7210,0.0,0.0
2005-05-18,88.87,93.73,88.87,93.39,12210,0.0,0.0
2005-05-19,93.3,95.99,93.04,93.65,9820,0.0,0.0
2005-05-20,93.73,95.82,91.65,95.56,8450,0.0,0.0
2005-05-23,95.64,96.77,93.91,95.21,5220,0.0,0.0
2005-05-24,95.73,98.69,95.73,96.86,10740,0.0,0.0
2005-05-25,98.34,98.34,95.56,96.43,6730,0.0,0.0
2005-05-26,96.86,100.34,96.86,99.9,9590,0.0,0.0
2005-05-27,100.16,102.68,99.9,102.51,8190,0.0,0.0
2005-05-31,103.72,105.98,102.16,105.63,25540,0.0,0.0
2005-06-01,105.72,108.15,105.11,107.46,10200,0.0,0.0
2005-06-02,107.46,108.24,103.55,104.42,4480,0.0,0.0
2005-06-03,104.59,105.29,103.2,104.68,15100,0.0,0.0
2005-06-06,103.81,107.72,103.81,106.42,4790,0.0,0.0
2005-06-07,105.55,106.5,104.42,105.81,2180,0.0,0.0
2005-06-08,105.37,105.55,102.07,103.9,4200,0.0,0.0
2005-06-09,103.03,103.38,97.38,98.34,12320,0.0,0.0
2005-06-10,98.25,102.33,97.82,99.21,3850,0.0,0.0
2005-06-13,99.6,100.74,98.46,99.69,4110,1.25,0.0
2005-06-14,99.34,103.03,99.25,102.59,3120,0.0,0.0
2005-06-15,103.2,105.4,102.76,105.31,4970,0.0,0.0
2005-06-16,104.96,106.45,103.64,105.57,5740,0.0,0.0
2005-06-17,105.84,106.28,102.85,103.64,6090,0.0,0.0
2005-06-20,103.55,104.08,101.27,103.64,12440,0.0,0.0
2005-06-21,103.64,104.08,100.22,100.66,4910,0.0,0.0
2005-06-22,101.53,101.53,94.51,96.62,13020,0.0,0.0
2005-06-23,96.62,96.7,90.03,91.96,21600,0.0,0.0
2005-06-24,91.96,101.45,91.43,101.45,14300,0.0,0.0
2005-06-27,101.45,101.45,96.62,96.62,2620,0.0,0.0
2005-06-28,96.88,98.81,96.79,97.67,5100,0.0,0.0
2005-06-29,97.67,98.37,93.98,93.98,4520,0.0,0.0
2005-06-30,93.98,95.3,91.26,92.93,9180,0.0,0.0
2005-07-01,93.1,97.49,93.1,96.7,3490,0.0,0.0
2005-07-05,96.97,99.34,95.74,99.34,4310,0.0,0.0
2005-07-06,100.13,103.2,96.18,100.22,4020,0.0,0.0
2005-07-07,99.69,99.69,94.6,98.11,4090,0.0,0.0
2005-07-08,98.46,98.46,94.86,97.58,4980,0.0,0.0
2005-07-11,97.76,98.2,93.89,96.97,6870,0.0,0.0
2005-07-12,98.37,98.37,94.16,95.39,7870,0.0,0.0
2005-07-13,95.21,95.21,91.78,92.66,8620,0.0,0.0
2005-07-14,93.37,94.16,90.56,90.99,2980,0.0,0.0
2005-07-15,90.99,93.8,90.56,92.05,6420,0.0,0.0
2005-07-18,91.61,91.61,89.5,89.68,6400,0.0,0.0
2005-07-19,90.91,92.66,89.41,92.05,8840,0.0,0.0
2005-07-20,91.35,93.72,90.47,92.49,6390,0.0,0.0
2005-07-21,92.49,93.98,91.78,92.14,2990,0.0,0.0
2005-07-22,88.71,88.71,81.68,85.11,25860,0.0,0.0
2005-07-25,85.46,86.43,84.85,85.55,9840,0.0,0.0
2005-07-26,86.43,90.2,85.64,89.76,11790,0.0,0.0
2005-07-27,90.2,91.08,87.92,88.01,7300,0.0,0.0
2005-07-28,87.92,89.24,87.04,87.13,4880,0.0,0.0
2005-07-29,87.31,87.39,85.11,85.11,6650,0.0,0.0
2005-08-01,85.37,86.34,82.12,85.46,7490,0.0,0.0
2005-08-02,85.46,85.64,83.7,84.32,4260,0.0,0.0
2005-08-03,83.88,83.88,80.54,82.56,8980,0.0,0.0
2005-08-04,82.12,84.32,81.33,82.47,5220,0.0,0.0
2005-08-05,82.56,82.56,79.49,79.93,3850,0.0,0.0
2005-08-08,83.44,84.76,78.17,78.26,13090,0.0,0.0
2005-08-09,78.43,78.43,72.9,74.83,55260,0.0,0.0
2005-08-10,74.66,74.66,72.46,73.87,28880,0.0,0.0
2005-08-11,73.69,77.91,72.9,76.77,29310,0.0,0.0
2005-08-12,76.41,76.85,74.39,74.66,22050,0.0,0.0
2005-08-15,74.75,78.17,73.43,77.73,39870,0.0,0.0
