Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-09-28,4.02,4.36,3.92,3.94,207800,0.0,0
2006-09-29,4.1,4.1,3.92,3.92,219900,0.0,0
2006-10-02,3.96,4.01,3.92,3.92,119500,0.0,0
2006-10-03,3.94,3.96,3.92,3.95,58400,0.0,0
2006-10-04,4.0,4.11,3.93,4.1,85200,0.0,0
2006-10-05,4.11,4.26,4.06,4.21,102900,0.0,0
2006-10-06,4.09,4.11,4.0,4.05,249100,0.0,0
2006-10-09,4.03,4.04,3.95,4.03,56900,0.0,0
2006-10-10,4.05,4.05,3.99,4.02,102700,0.0,0
2006-10-11,4.04,4.05,4.02,4.05,88000,0.0,0
2006-10-12,4.06,4.06,4.01,4.02,51000,0.0,0
2006-10-13,4.06,4.06,3.99,4.02,66200,0.0,0
2006-10-16,4.02,4.02,3.99,4.02,32300,0.0,0
2006-10-17,4.02,4.02,3.96,3.98,46400,0.0,0
2006-10-18,3.99,4.01,3.97,4.0,43400,0.0,0
2006-10-19,4.01,4.01,3.96,3.97,32500,0.0,0
2006-10-20,3.99,3.99,3.96,3.97,34800,0.0,0
2006-10-23,3.98,4.01,3.93,3.93,110600,0.0,0
2006-10-24,3.94,3.96,3.93,3.95,75200,0.0,0
2006-10-25,3.93,3.97,3.93,3.97,63800,0.0,0
2006-10-26,3.98,4.01,3.97,4.0,64000,0.0,0
2006-10-27,4.0,4.0,3.97,3.98,33400,0.0,0
2006-10-30,4.0,4.0,3.94,3.95,36300,0.0,0
2006-10-31,3.95,3.98,3.94,3.95,39100,0.0,0
2006-11-01,3.97,4.05,3.94,3.94,96000,0.0,0
2006-11-02,3.96,3.97,3.94,3.96,19600,0.0,0
2006-11-03,3.96,4.02,3.96,4.0,46500,0.0,0
2006-11-06,4.04,4.05,4.0,4.02,98200,0.0,0
2006-11-07,4.06,4.06,4.02,4.03,61200,0.0,0
2006-11-08,4.03,4.05,4.0,4.01,73700,0.0,0
2006-11-09,4.02,4.04,4.01,4.03,103300,0.0,0
2006-11-10,4.04,4.04,3.99,4.01,48600,0.0,0
2006-11-13,4.0,4.02,3.99,4.0,58800,0.0,0
2006-11-14,4.0,4.01,3.95,3.95,46600,0.0,0
2006-11-15,3.97,4.0,3.94,3.96,39300,0.0,0
2006-11-16,3.96,3.99,3.96,3.96,57600,0.0,0
2006-11-17,3.96,3.98,3.95,3.95,69200,0.0,0
2006-11-20,3.96,3.99,3.95,3.95,58700,0.0,0
2006-11-21,3.97,3.99,3.96,3.99,120000,0.0,0
2006-11-22,4.0,4.05,4.0,4.03,164000,0.0,0
2006-11-24,4.03,4.05,4.01,4.04,49900,0.0,0
2006-11-27,4.05,4.07,4.04,4.07,118100,0.0,0
2006-11-28,4.06,4.19,4.06,4.15,144100,0.0,0
2006-11-29,4.22,4.37,4.21,4.37,248800,0.0,0
2006-11-30,4.4,4.57,4.4,4.49,284600,0.0,0
2006-12-01,4.59,4.61,4.47,4.48,150000,0.0,0
2006-12-04,4.6,4.61,4.49,4.57,205900,0.0,0
2006-12-05,4.59,4.92,4.58,4.84,286000,0.0,0
2006-12-06,4.99,5.0,4.81,4.86,301800,0.0,0
2006-12-07,4.89,4.89,4.78,4.82,154500,0.0,0
2006-12-08,4.76,4.81,4.68,4.72,183300,0.0,0
2006-12-11,4.83,4.9,4.81,4.82,156000,0.0,0
2006-12-12,4.87,4.88,4.77,4.84,72900,0.0,0
2006-12-13,4.84,4.86,4.76,4.79,73500,0.0,0
2006-12-14,4.85,4.89,4.81,4.89,125700,0.0,0
2006-12-15,4.92,5.27,4.92,5.23,233100,0.0,0
2006-12-18,5.33,6.03,5.3,5.67,921300,0.0,0
2006-12-19,5.67,5.67,5.36,5.49,423600,0.0,0
2006-12-20,5.54,5.95,5.53,5.69,459000,0.0,0
2006-12-21,5.65,5.66,5.34,5.43,591700,0.0,0
2006-12-22,5.53,5.53,5.3,5.49,214800,0.0,0
2006-12-26,5.78,5.82,5.57,5.61,374500,0.0,0
2006-12-27,5.71,5.91,5.69,5.86,320400,0.0,0
2006-12-28,5.92,5.97,5.74,5.81,213300,0.0,0
2006-12-29,5.98,6.08,5.88,6.08,214900,0.0,0
2007-01-03,6.45,6.64,6.24,6.29,796900,0.0,0
2007-01-04,6.3,6.31,5.93,6.05,620600,0.0,0
2007-01-05,5.9,6.01,5.74,6.0,533100,0.0,0
2007-01-08,6.1,6.18,5.75,5.91,447500,0.0,0
2007-01-09,5.95,6.0,5.67,5.68,398900,0.0,0
2007-01-10,5.49,5.85,5.4,5.85,522600,0.0,0
