Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.07,1.04,1.06,10125,0.0,0.0
1980-03-18,0.0,1.11,1.07,1.11,22275,0.0,0.0
1980-03-19,0.0,1.11,1.11,1.11,8100,0.0,0.0
1980-03-20,0.0,1.11,1.1,1.1,17550,0.0,0.0
1980-03-21,0.0,1.11,1.11,1.11,169425,0.0,0.0
1980-03-24,0.0,1.1,1.09,1.09,27000,0.0,0.0
1980-03-25,0.0,1.09,1.08,1.08,20925,0.0,0.0
1980-03-26,0.0,1.09,1.07,1.07,7425,0.0,0.0
1980-03-27,0.0,1.07,1.06,1.07,9450,0.0,0.0
1980-03-28,0.0,1.11,1.09,1.09,7425,0.0,0.0
1980-03-31,0.0,1.11,1.08,1.11,31725,0.0,0.0
1980-04-01,0.0,1.11,1.11,1.11,2700,0.0,0.0
1980-04-02,0.0,1.12,1.11,1.11,32400,0.0,0.0
1980-04-03,0.0,1.12,1.1,1.11,8775,0.0,0.0
1980-04-07,0.0,1.11,1.1,1.1,7425,0.0,0.0
1980-04-08,0.0,1.09,1.07,1.07,10125,0.0,0.0
1980-04-09,0.0,1.09,1.07,1.08,5400,0.0,0.0
1980-04-10,0.0,1.09,1.08,1.09,8100,0.0,0.0
1980-04-11,0.0,1.11,1.09,1.09,20250,0.0,0.0
1980-04-14,0.0,1.09,1.09,1.09,9450,0.0,0.0
1980-04-15,0.0,1.12,1.1,1.12,36450,0.0,0.0
1980-04-16,0.0,1.12,1.11,1.11,172800,0.0,0.0
1980-04-17,0.0,1.1,1.07,1.07,72900,0.0,0.0
1980-04-18,0.0,1.08,1.06,1.06,83700,0.0,0.0
1980-04-21,0.0,1.07,1.07,1.07,2700,0.0,0.0
1980-04-22,0.0,1.1,1.08,1.1,6750,0.0,0.0
1980-04-23,0.0,1.09,1.09,1.09,100575,0.0,0.0
1980-04-24,0.0,1.11,1.09,1.11,12825,0.0,0.0
1980-04-25,0.0,1.11,1.11,1.11,8775,0.0,0.0
1980-04-28,0.0,1.11,1.07,1.09,10125,0.0,0.0
1980-04-29,1.09,1.09,1.09,1.09,0,0.0,0.0
1980-04-30,0.0,1.11,1.07,1.1,25650,0.0,0.0
1980-05-01,0.0,1.11,1.09,1.11,107325,0.0,0.0
1980-05-02,0.0,1.11,1.1,1.1,6750,0.0,0.0
1980-05-05,0.0,1.1,1.07,1.1,18900,0.0,0.0
1980-05-06,0.0,1.12,1.11,1.11,13500,0.0,0.0
1980-05-07,0.0,1.13,1.11,1.13,27675,0.0,0.0
1980-05-08,0.0,1.16,1.14,1.16,14175,0.0,0.0
1980-05-09,0.0,1.16,1.15,1.16,37800,0.0,0.0
1980-05-12,0.0,1.17,1.15,1.15,8100,0.0,0.0
1980-05-13,0.0,1.15,1.14,1.15,7425,0.0,0.0
1980-05-14,0.0,1.17,1.15,1.17,7425,0.0,0.0
1980-05-15,0.0,1.16,1.15,1.15,6750,0.0,0.0
1980-05-16,0.0,1.15,1.14,1.14,11475,0.0,0.0
1980-05-19,0.0,1.16,1.15,1.15,8775,0.0,0.0
1980-05-20,0.0,1.15,1.14,1.14,2025,0.0,0.0
1980-05-21,0.0,1.16,1.14,1.15,16875,0.0,0.0
1980-05-22,0.0,1.17,1.15,1.16,9450,0.0,0.0
1980-05-23,0.0,1.19,1.17,1.19,12825,0.0,0.0
1980-05-27,0.0,1.23,1.18,1.23,35100,0.0,0.0
1980-05-28,0.0,1.23,1.23,1.23,28350,0.0,0.0
1980-05-29,0.0,1.24,1.23,1.23,23625,0.0,0.0
1980-05-30,0.0,1.24,1.22,1.24,25650,0.0,0.0
1980-06-02,0.0,1.27,1.24,1.24,22275,0.0,0.0
1980-06-03,0.0,1.23,1.23,1.23,2700,0.0,0.0
1980-06-04,0.0,1.23,1.2,1.21,37800,0.0,0.0
1980-06-05,0.0,1.25,1.23,1.25,17550,0.0,0.0
1980-06-06,0.0,1.25,1.24,1.25,8100,0.0,0.0
1980-06-09,0.0,1.26,1.23,1.23,14175,0.0,0.0
1980-06-10,0.0,1.23,1.21,1.21,123525,0.0,0.0
1980-06-11,0.0,1.21,1.21,1.21,6075,0.0,0.0
1980-06-12,0.0,1.22,1.21,1.22,16875,0.0,0.0
1980-06-13,0.0,1.23,1.21,1.22,9450,0.0,0.0
1980-06-16,0.0,1.23,1.21,1.23,20250,0.0,0.0
1980-06-17,0.0,1.23,1.22,1.23,72225,0.0,0.0
1980-06-18,0.0,1.29,1.24,1.29,113400,0.0,0.0
1980-06-19,0.0,1.29,1.26,1.27,13500,0.0,0.0
1980-06-20,0.0,1.26,1.26,1.26,8100,0.0,0.0
1980-06-23,0.0,1.29,1.26,1.29,9450,0.0,0.0
1980-06-24,0.0,1.29,1.27,1.29,16875,0.0,0.0
1980-06-25,0.0,1.3,1.29,1.29,17550,0.0,0.0
1980-06-26,0.0,1.3,1.29,1.29,10125,0.0,0.0
1980-06-27,0.0,1.28,1.27,1.28,10125,0.0,0.0
1980-06-30,0.0,1.29,1.28,1.28,39825,0.0,0.0
1980-07-01,0.0,1.3,1.28,1.3,38475,0.0,0.0
1980-07-02,0.0,1.3,1.28,1.28,12150,0.0,0.0
1980-07-03,0.0,1.29,1.28,1.28,22275,0.0,0.0
1980-07-07,0.0,1.32,1.28,1.29,56025,0.0,0.0
1980-07-08,0.0,1.3,1.29,1.3,16200,0.0,0.0
1980-07-09,0.0,1.3,1.27,1.28,45900,0.0,0.0
1980-07-10,0.0,1.3,1.29,1.3,33750,0.0,0.0
1980-07-11,0.0,1.28,1.28,1.28,164700,0.0,0.0
1980-07-14,0.0,1.3,1.28,1.3,31050,0.0,0.0
1980-07-15,0.0,1.3,1.29,1.29,41175,0.0,0.0
1980-07-16,0.0,1.3,1.29,1.29,45900,0.0,0.0
1980-07-17,0.0,1.3,1.29,1.3,45900,0.0,0.0
1980-07-18,0.0,1.3,1.29,1.29,17550,0.0,0.0
1980-07-21,0.0,1.3,1.29,1.3,43200,0.0,0.0
1980-07-22,0.0,1.3,1.29,1.3,28350,0.0,0.0
1980-07-23,0.0,1.31,1.29,1.31,94500,0.0,0.0
1980-07-24,0.0,1.33,1.31,1.33,20250,0.0,0.0
1980-07-25,0.0,1.34,1.32,1.33,23625,0.0,0.0
1980-07-28,0.0,1.35,1.32,1.33,50625,0.0,0.0
1980-07-29,0.0,1.35,1.33,1.35,14850,0.0,0.0
1980-07-30,0.0,1.37,1.35,1.36,41850,0.0,0.0
1980-07-31,0.0,1.38,1.36,1.37,22950,0.0,0.0
1980-08-01,0.0,1.39,1.36,1.39,32400,0.0,0.0
1980-08-04,0.0,1.39,1.38,1.38,20250,0.0,0.0
1980-08-05,0.0,1.39,1.37,1.37,10125,0.0,0.0
1980-08-06,0.0,1.38,1.37,1.38,4725,0.0,0.0
1980-08-07,0.0,1.44,1.38,1.44,23625,0.0,0.0
1980-08-08,0.0,1.49,1.44,1.47,130275,0.0,0.0
1980-08-11,0.0,1.47,1.44,1.45,82350,0.0,0.0
1980-08-12,0.0,1.46,1.46,1.46,81000,0.0,0.0
1980-08-13,0.0,1.49,1.46,1.46,62100,0.0,0.0
