Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-26,10.33,11.48,9.82,10.34,853400,0.0,0
2018-07-27,10.37,10.99,9.75,9.98,104000,0.0,0
2018-07-30,9.96,9.96,8.67,8.91,216400,0.0,0
2018-07-31,8.91,9.09,8.87,8.88,33200,0.0,0
2018-08-01,8.95,9.09,8.95,9.09,59200,0.0,0
2018-08-02,9.05,9.05,8.47,8.88,38600,0.0,0
2018-08-03,8.92,9.17,8.92,9.04,38100,0.0,0
2018-08-06,8.93,9.24,8.93,9.09,11500,0.0,0
2018-08-07,9.17,9.17,9.05,9.05,8400,0.0,0
2018-08-08,9.05,9.08,9.0,9.06,21500,0.0,0
2018-08-09,9.02,9.14,8.73,9.09,48300,0.0,0
2018-08-10,9.0,9.12,8.98,9.09,39600,0.0,0
2018-08-13,9.05,9.16,8.52,8.67,86800,0.0,0
2018-08-14,8.76,8.8,8.41,8.41,9100,0.0,0
2018-08-15,8.26,8.26,7.22,7.22,23400,0.0,0
2018-08-16,7.15,7.26,6.81,7.19,7000,0.0,0
2018-08-17,7.15,7.18,7.02,7.1,12500,0.0,0
2018-08-20,7.1,7.22,7.1,7.1,4600,0.0,0
2018-08-21,7.17,7.24,7.08,7.15,5900,0.0,0
2018-08-22,7.12,7.12,6.77,6.78,8700,0.0,0
2018-08-23,6.87,7.91,6.84,7.89,37800,0.0,0
2018-08-24,7.89,8.67,7.89,8.51,58600,0.0,0
2018-08-27,8.67,8.74,8.12,8.46,22100,0.0,0
2018-08-28,8.39,8.58,8.22,8.23,13200,0.0,0
2018-08-29,8.1,8.23,8.1,8.16,10600,0.0,0
2018-08-30,8.16,8.33,8.14,8.18,23500,0.0,0
2018-08-31,8.01,8.67,6.89,8.59,40200,0.0,0
2018-09-04,8.52,8.52,7.97,8.02,6100,0.0,0
2018-09-05,7.97,7.99,7.46,7.56,9100,0.0,0
2018-09-06,7.56,7.62,7.45,7.47,2900,0.0,0
2018-09-07,7.4,7.4,7.27,7.28,2200,0.0,0
2018-09-10,7.52,7.52,7.45,7.45,1200,0.0,0
2018-09-11,7.4,7.48,7.38,7.38,700,0.0,0
2018-09-12,7.34,7.36,7.28,7.35,1100,0.0,0
2018-09-13,7.46,7.58,7.43,7.53,4400,0.0,0
