Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-11-26,0.0,1.4,1.24,1.24,6400.0,0.0,0.0
1985-11-27,0.0,1.4,1.24,1.24,4000.0,0.0,0.0
1985-11-29,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1985-12-02,0.0,1.4,1.24,1.24,1600.0,0.0,0.0
1985-12-03,0.0,1.28,1.12,1.12,11200.0,0.0,0.0
1985-12-04,1.12,1.12,1.12,1.12,0.0,0.0,0.0
1985-12-05,1.12,1.12,1.12,1.12,0.0,0.0,0.0
1985-12-06,0.0,1.32,1.2,1.2,3200.0,0.0,0.0
1985-12-09,1.2,1.2,1.2,1.2,0.0,0.0,0.0
1985-12-10,1.2,1.2,1.2,1.2,0.0,0.0,0.0
1985-12-11,1.2,1.2,1.2,1.2,0.0,0.0,0.0
1985-12-12,1.2,1.2,1.2,1.2,0.0,0.0,0.0
1985-12-13,0.0,1.32,1.2,1.2,4000.0,0.0,0.0
1985-12-16,1.2,1.2,1.2,1.2,0.0,0.0,0.0
1985-12-17,1.2,1.2,1.2,1.2,0.0,0.0,0.0
1985-12-18,1.2,1.2,1.2,1.2,0.0,0.0,0.0
1985-12-19,0.0,1.32,1.2,1.2,2400.0,0.0,0.0
1985-12-20,0.0,1.32,1.2,1.2,12800.0,0.0,0.0
1985-12-23,0.0,1.32,1.24,1.24,15200.0,0.0,0.0
1985-12-24,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1985-12-26,0.0,1.32,1.24,1.24,6400.0,0.0,0.0
1985-12-27,0.0,1.32,1.24,1.24,12800.0,0.0,0.0
1985-12-30,0.0,1.32,1.24,1.24,4000.0,0.0,0.0
1985-12-31,0.0,1.28,1.24,1.24,4000.0,0.0,0.0
1986-01-02,0.0,1.36,1.24,1.24,32800.0,0.0,0.0
1986-01-03,0.0,1.32,1.24,1.24,4000.0,0.0,0.0
1986-01-06,0.0,1.28,1.24,1.24,8000.0,0.0,0.0
1986-01-07,0.0,1.28,1.24,1.24,4000.0,0.0,0.0
1986-01-08,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-09,0.0,1.36,1.24,1.24,48000.0,0.0,0.0
1986-01-10,0.0,1.36,1.24,1.24,30400.0,0.0,0.0
1986-01-13,0.0,1.36,1.24,1.24,8000.0,0.0,0.0
1986-01-14,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-15,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-16,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-17,0.0,1.36,1.24,1.24,0.0,0.0,0.0
1986-01-20,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-21,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-22,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-23,0.0,1.36,1.24,1.24,4000.0,0.0,0.0
1986-01-24,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-27,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-28,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-29,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-30,1.24,1.24,1.24,1.24,0.0,0.0,0.0
1986-01-31,1.24,1.24,1.24,1.24,0.0,0.0,0.0
