Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-27,13.91,14.02,13.91,13.91,1922100,0.0,0
2015-03-30,13.91,13.95,13.91,13.91,53800,0.0,0
2015-03-31,13.92,13.94,13.91,13.91,81900,0.0,0
2015-04-01,13.96,13.96,13.91,13.91,17900,0.0,0
2015-04-02,13.93,14.03,13.91,14.01,36600,0.0,0
2015-04-06,13.94,14.04,13.94,14.03,14700,0.0,0
2015-04-07,14.02,14.12,13.99,14.1,41200,0.0,0
2015-04-08,14.02,14.06,14.0,14.04,19700,0.0,0
2015-04-09,14.07,14.11,14.01,14.07,39100,0.0,0
2015-04-10,14.13,14.13,13.96,13.99,23300,0.0,0
2015-04-13,14.07,14.07,13.94,13.96,29100,0.0,0
2015-04-14,14.01,14.03,13.95,13.96,21400,0.0,0
2015-04-15,14.01,14.01,13.94,13.99,14100,0.0,0
2015-04-16,14.04,14.07,13.98,14.06,21600,0.0,0
2015-04-17,14.09,14.09,14.05,14.07,19300,0.0,0
2015-04-20,14.07,14.11,14.06,14.11,30100,0.0,0
2015-04-21,14.01,14.12,14.01,14.01,24000,0.0,0
2015-04-22,14.17,14.23,14.03,14.11,23200,0.0,0
2015-04-23,14.15,14.18,14.04,14.18,23300,0.0,0
2015-04-24,14.18,14.25,14.11,14.21,26300,0.0,0
2015-04-27,14.19,14.27,14.05,14.05,48400,0.0,0
2015-04-28,14.04,14.26,13.94,14.15,150500,0.0,0
2015-04-29,14.18,14.45,13.97,14.0,322700,0.0,0
2015-04-30,14.18,14.31,13.93,14.17,277300,0.0,0
2015-05-01,14.07,14.14,13.98,13.99,14600,0.0,0
2015-05-04,13.91,13.93,13.91,13.91,546900,0.0,0
2015-05-05,13.91,13.91,13.91,13.91,140000,0.0,0
2015-05-06,13.91,13.97,13.91,13.91,105500,0.0,0
2015-05-07,13.98,13.99,13.91,13.93,48100,0.0,0
2015-05-08,13.92,13.96,13.91,13.91,96700,0.0,0
2015-05-11,13.66,13.78,13.33,13.5,153000,0.0,0
2015-05-12,13.63,13.63,13.35,13.59,49400,0.0,0
2015-05-13,13.6,13.74,13.55,13.74,37100,0.0,0
2015-05-14,13.85,13.85,13.67,13.82,57300,0.0,0
2015-05-15,13.85,13.85,13.64,13.65,23000,0.0,0
2015-05-18,13.66,13.83,13.38,13.82,190600,0.0,0
2015-05-19,13.77,13.93,13.48,13.66,360500,0.0,0
2015-05-20,13.68,13.87,13.55,13.58,120100,0.0,0
2015-05-21,13.82,13.82,13.35,13.57,70600,0.0,0
2015-05-22,13.54,13.73,13.17,13.58,179600,0.0,0
2015-05-26,13.53,13.73,13.42,13.66,221400,0.0,0
2015-05-27,13.65,13.72,13.49,13.5,137700,0.0,0
2015-05-28,13.49,13.68,13.49,13.52,34000,0.0,0
2015-05-29,13.49,13.57,13.27,13.35,45800,0.0,0
2015-06-01,13.32,13.59,13.3,13.58,31500,0.0,0
2015-06-02,13.68,13.68,13.41,13.46,39800,0.0,0
2015-06-03,13.64,13.65,13.44,13.47,37300,0.0,0
2015-06-04,13.73,13.73,13.4,13.5,35600,0.0,0
2015-06-05,13.63,13.73,13.46,13.6,85600,0.0,0
2015-06-08,13.83,13.83,13.45,13.46,41700,0.167,0
2015-06-09,13.48,13.48,11.85,12.89,164200,0.0,0
2015-06-10,13.07,13.07,12.78,12.93,44800,0.0,0
2015-06-11,13.07,13.07,12.81,12.81,60200,0.0,0
2015-06-12,12.88,12.93,12.66,12.89,68700,0.0,0
2015-06-15,13.36,13.36,12.68,13.13,60400,0.0,0
2015-06-16,13.0,13.41,13.0,13.37,52400,0.0,0
2015-06-17,13.44,13.76,13.24,13.35,73500,0.0,0
2015-06-18,13.45,13.47,12.82,13.16,61500,0.0,0
2015-06-19,13.11,13.22,12.86,13.14,58500,0.0,0
2015-06-22,13.27,13.42,12.98,13.26,83100,0.0,0
2015-06-23,13.16,13.35,12.95,13.02,44100,0.0,0
2015-06-24,13.2,13.2,12.8,12.88,94100,0.0,0
2015-06-25,13.08,13.18,12.62,12.77,114700,0.0,0
2015-06-26,12.8,12.86,12.77,12.83,46500,0.0,0
2015-06-29,12.82,13.05,12.56,12.56,82300,0.0,0
2015-06-30,12.47,12.72,12.4,12.65,67800,0.0,0
2015-07-01,12.81,12.81,12.38,12.53,58800,0.0,0
2015-07-02,12.62,12.69,12.38,12.46,57400,0.0,0
2015-07-06,12.51,12.55,12.27,12.55,80800,0.0,0
2015-07-07,12.7,12.7,12.49,12.6,47400,0.0,0
2015-07-08,12.71,12.84,12.44,12.63,88300,0.167,0
2015-07-09,12.63,12.82,12.51,12.81,59500,0.0,0
2015-07-10,12.84,12.84,12.54,12.72,34100,0.0,0
2015-07-13,12.84,13.19,12.56,12.89,190800,0.0,0
2015-07-14,12.81,13.07,12.69,12.86,100300,0.0,0
2015-07-15,13.1,13.15,12.79,12.91,76800,0.0,0
2015-07-16,13.13,13.13,12.82,12.87,69900,0.0,0
2015-07-17,12.76,13.16,12.51,12.62,83800,0.0,0
2015-07-20,12.68,13.18,12.48,12.49,163300,0.0,0
2015-07-21,12.49,13.04,12.33,12.57,326000,0.0,0
2015-07-22,12.7,12.92,12.37,12.4,129900,0.0,0
2015-07-23,12.38,12.57,11.93,11.93,139100,0.0,0
2015-07-24,12.02,12.3,11.92,12.12,64700,0.0,0
2015-07-27,12.06,12.33,11.49,11.69,230500,0.0,0
2015-07-28,11.74,12.1,11.53,11.55,103000,0.0,0
2015-07-29,11.63,11.99,11.54,11.85,125900,0.0,0
2015-07-30,11.92,12.18,11.62,11.92,124000,0.0,0
2015-07-31,12.25,12.25,11.78,11.79,74400,0.0,0
2015-08-03,11.72,12.02,11.61,11.62,77600,0.0,0
2015-08-04,11.39,11.97,11.39,11.85,89300,0.0,0
2015-08-05,11.97,12.16,11.87,11.93,62200,0.0,0
2015-08-06,11.89,12.18,11.72,12.02,55600,0.0,0
2015-08-07,11.83,12.07,11.69,11.83,60500,0.167,0
2015-08-10,11.83,12.02,11.8,11.83,43300,0.0,0
2015-08-11,12.05,12.05,11.56,11.81,160000,0.0,0
2015-08-12,11.86,12.04,11.24,11.71,227200,0.0,0
2015-08-13,11.77,11.78,11.54,11.73,66000,0.0,0
2015-08-14,12.15,12.15,11.7,11.81,59700,0.0,0
2015-08-17,11.73,12.13,11.73,11.93,114300,0.0,0
2015-08-18,12.08,12.32,11.97,12.12,111200,0.0,0
2015-08-19,12.14,12.26,11.61,11.75,219600,0.0,0
2015-08-20,11.77,11.93,11.53,11.57,111500,0.0,0
2015-08-21,11.43,11.77,10.93,11.04,351300,0.0,0
2015-08-24,10.58,10.58,9.99,10.55,153900,0.0,0
2015-08-25,10.89,11.03,10.11,10.21,146700,0.0,0
2015-08-26,10.37,11.19,10.21,10.64,425100,0.0,0
2015-08-27,10.81,11.07,10.46,10.73,274800,0.0,0
2015-08-28,10.96,11.08,10.68,11.02,104700,0.0,0
2015-08-31,11.09,11.09,10.65,10.95,118500,0.0,0
2015-09-01,10.75,11.0,10.67,10.78,182300,0.0,0
2015-09-02,10.89,10.98,10.8,10.92,90700,0.0,0
2015-09-03,10.92,11.12,10.92,11.03,93700,0.0,0
2015-09-04,11.03,11.05,10.95,10.98,60200,0.0,0
2015-09-08,11.14,11.18,11.0,11.07,102900,0.167,0
2015-09-09,11.29,11.29,10.99,11.06,272900,0.0,0
2015-09-10,11.12,11.26,10.81,10.97,300000,0.0,0
2015-09-11,10.98,11.04,10.91,11.04,66800,0.0,0
2015-09-14,10.92,11.06,10.92,11.05,109000,0.0,0
2015-09-15,11.27,11.4,11.07,11.4,120400,0.0,0
2015-09-16,11.38,11.56,11.21,11.36,91800,0.0,0
2015-09-17,11.64,11.65,11.24,11.43,178800,0.0,0
2015-09-18,11.38,11.87,11.25,11.42,374900,0.0,0
2015-09-21,11.64,11.69,11.34,11.38,121300,0.0,0
2015-09-22,11.41,11.6,11.25,11.33,331600,0.0,0
2015-09-23,11.42,11.46,11.13,11.19,126800,0.0,0
2015-09-24,11.25,11.39,11.03,11.14,216300,0.0,0
2015-09-25,11.24,11.34,11.04,11.13,105300,0.0,0
2015-09-28,11.12,11.33,10.28,10.51,281500,0.0,0
2015-09-29,10.77,10.77,10.22,10.28,187400,0.0,0
2015-09-30,10.2,10.5,10.2,10.43,119500,0.0,0
2015-10-01,10.76,10.76,10.33,10.41,111600,0.0,0
2015-10-02,10.38,10.59,10.29,10.56,97300,0.0,0
2015-10-05,10.84,10.84,10.58,10.78,86800,0.0,0
2015-10-06,10.7,10.82,10.64,10.73,80600,0.0,0
2015-10-07,10.85,10.9,10.69,10.77,69200,0.167,0
2015-10-08,10.84,10.96,10.71,10.92,89500,0.0,0
2015-10-09,11.0,11.13,10.93,11.03,126700,0.0,0
2015-10-12,11.0,11.16,10.95,11.05,100400,0.0,0
2015-10-13,11.02,11.27,10.88,10.96,99100,0.0,0
2015-10-14,10.93,11.08,10.92,10.95,82300,0.0,0
2015-10-15,11.09,11.25,10.96,11.01,105800,0.0,0
2015-10-16,11.15,11.25,11.01,11.14,70400,0.0,0
2015-10-19,11.23,11.23,11.03,11.08,70000,0.0,0
2015-10-20,11.08,11.23,10.88,11.06,98800,0.0,0
2015-10-21,11.06,11.15,10.94,10.98,73200,0.0,0
2015-10-22,11.0,11.14,10.98,11.06,80200,0.0,0
2015-10-23,11.08,11.23,11.04,11.14,130700,0.0,0
2015-10-26,11.28,11.28,10.92,10.98,165700,0.0,0
2015-10-27,11.03,11.15,10.9,11.15,126200,0.0,0
2015-10-28,11.12,11.21,11.0,11.21,105000,0.0,0
2015-10-29,11.15,11.28,10.92,11.15,117400,0.0,0
2015-10-30,11.29,11.29,11.1,11.14,107900,0.0,0
2015-11-02,11.23,11.29,11.15,11.21,81400,0.0,0
2015-11-03,11.32,11.32,11.19,11.25,129800,0.0,0
2015-11-04,11.33,11.39,11.2,11.3,121000,0.0,0
2015-11-05,11.29,11.41,11.22,11.23,133500,0.0,0
2015-11-06,11.23,11.28,11.08,11.09,86000,0.167,0
2015-11-09,11.12,11.2,10.96,10.96,341300,0.0,0
2015-11-10,10.87,11.03,10.74,10.8,171800,0.0,0
2015-11-11,10.75,10.92,10.75,10.79,79600,0.0,0
2015-11-12,10.79,10.81,10.64,10.64,75900,0.0,0
2015-11-13,10.55,10.7,10.55,10.66,49400,0.0,0
2015-11-16,10.78,10.78,10.63,10.78,126600,0.0,0
2015-11-17,10.86,10.86,10.66,10.67,112200,0.0,0
2015-11-18,10.71,10.71,10.59,10.67,165500,0.0,0
2015-11-19,10.67,10.67,10.47,10.51,160800,0.0,0
2015-11-20,10.51,10.68,10.51,10.6,124000,0.0,0
2015-11-23,10.53,10.66,10.51,10.51,176600,0.0,0
2015-11-24,10.57,10.63,10.48,10.56,162400,0.0,0
2015-11-25,10.61,10.68,10.57,10.67,125500,0.0,0
2015-11-27,10.68,10.78,10.6,10.68,42900,0.0,0
2015-11-30,10.6,10.78,10.6,10.67,146800,0.0,0
2015-12-01,10.67,10.82,10.67,10.81,127100,0.0,0
2015-12-02,10.73,10.86,10.7,10.78,135400,0.0,0
2015-12-03,10.78,10.8,10.68,10.74,243800,0.0,0
2015-12-04,10.71,10.91,10.67,10.85,93500,0.0,0
2015-12-07,10.85,10.98,10.68,10.87,272700,0.0,0
2015-12-08,10.79,10.99,10.66,10.9,200500,0.167,0
2015-12-09,10.9,10.9,10.72,10.78,147200,0.0,0
2015-12-10,10.72,10.87,10.67,10.71,171400,0.0,0
2015-12-11,10.62,10.82,10.45,10.51,186300,0.0,0
2015-12-14,10.46,10.58,10.16,10.2,207800,0.0,0
2015-12-15,10.55,10.58,10.23,10.36,278400,0.0,0
2015-12-16,10.33,10.69,10.33,10.63,183100,0.0,0
2015-12-17,10.68,10.72,10.53,10.55,250300,0.0,0
2015-12-18,10.52,10.65,10.52,10.59,158500,0.0,0
2015-12-21,10.53,10.69,10.53,10.65,165500,0.0,0
2015-12-22,10.61,10.76,10.61,10.67,198400,0.0,0
2015-12-23,10.64,10.83,10.64,10.76,214800,0.0,0
2015-12-24,10.76,10.88,10.76,10.88,51500,0.0,0
2015-12-28,10.84,10.87,10.78,10.79,155900,0.0,0
2015-12-29,10.84,10.89,10.7,10.81,217200,0.167,0
2015-12-30,10.71,10.79,10.68,10.77,250200,0.0,0
2015-12-31,10.77,10.85,10.71,10.73,285200,0.0,0
2016-01-04,10.69,10.81,10.53,10.79,195800,0.0,0
2016-01-05,10.83,10.91,10.77,10.89,81700,0.0,0
2016-01-06,10.89,10.91,10.71,10.77,124900,0.0,0
2016-01-07,10.68,10.79,10.55,10.59,139500,0.0,0
2016-01-08,10.74,10.74,10.44,10.46,105100,0.0,0
2016-01-11,10.42,10.51,10.26,10.37,160800,0.0,0
2016-01-12,10.37,10.46,10.2,10.39,91500,0.0,0
2016-01-13,10.36,10.41,10.01,10.02,104600,0.0,0
2016-01-14,10.02,10.07,9.83,9.93,182200,0.0,0
2016-01-15,9.69,9.81,9.39,9.6,203000,0.0,0
2016-01-19,9.66,9.8,9.35,9.41,117600,0.0,0
2016-01-20,9.37,9.37,8.83,9.05,324800,0.0,0
2016-01-21,9.05,9.39,8.92,9.25,184200,0.0,0
2016-01-22,9.48,9.52,9.33,9.48,172200,0.0,0
2016-01-25,9.5,9.54,9.3,9.35,147100,0.0,0
2016-01-26,9.36,9.6,9.35,9.55,120100,0.0,0
