Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-05,76.71,78.86,71.69,72.41,440,0.0,0.0
2002-02-06,71.69,71.69,39.57,45.45,6045,0.0,0.0
2002-02-07,46.6,48.03,43.01,44.45,550,0.0,0.0
2002-02-08,43.73,45.88,43.73,45.16,385,0.0,0.0
2002-02-11,46.6,47.31,45.16,46.88,650,0.0,0.0
2002-02-12,47.31,47.31,45.16,45.31,150,0.0,0.0
2002-02-13,46.6,47.31,46.6,46.88,40,0.0,0.0
2002-02-14,47.31,47.31,46.6,46.6,850,0.0,0.0
2002-02-15,47.74,49.18,46.6,49.18,205,0.0,0.0
2002-02-19,49.18,49.18,48.03,48.03,225,0.0,0.0
2002-02-20,46.6,46.6,45.16,46.6,305,0.0,0.0
2002-02-21,45.16,47.31,43.73,45.16,220,0.0,0.0
2002-02-22,45.16,45.88,40.86,41.58,400,0.0,0.0
2002-02-25,43.01,43.01,38.86,38.86,125,0.0,0.0
2002-02-26,38.86,39.57,38.86,39.57,155,0.0,0.0
2002-02-27,40.86,41.58,38.71,38.71,300,0.0,0.0
2002-02-28,41.44,42.3,40.15,41.44,120,0.0,0.0
2002-03-01,43.01,48.6,43.01,47.74,730,0.0,0.0
2002-03-04,47.74,48.75,45.88,47.31,270,0.0,0.0
2002-03-05,48.6,50.18,47.31,48.75,435,0.0,0.0
2002-03-06,47.31,48.46,46.6,47.74,325,0.0,0.0
2002-03-07,48.46,48.46,47.31,47.31,155,0.0,0.0
2002-03-08,47.31,48.03,47.31,48.03,150,0.0,0.0
2002-03-11,49.32,49.32,48.32,48.32,70,0.0,0.0
2002-03-12,48.75,50.18,48.75,48.75,125,0.0,0.0
2002-03-13,50.18,50.18,48.89,49.61,90,0.0,0.0
2002-03-14,49.61,50.9,49.61,50.76,100,0.0,0.0
2002-03-15,52.33,53.77,52.33,53.05,85,0.0,0.0
2002-03-18,53.77,54.34,53.05,53.05,375,0.0,0.0
2002-03-19,53.77,54.34,53.77,53.77,105,0.0,0.0
2002-03-20,52.48,54.48,52.48,53.77,710,0.0,0.0
2002-03-21,54.48,54.48,53.77,53.77,120,0.0,0.0
