Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-11-30,238.378,268.1753,238.378,253.2767,600,0.0,0.0
1994-12-01,258.243,263.2092,248.3105,248.3105,0,0.0,0.0
1994-12-02,248.3107,263.2093,248.3107,263.2093,100,0.0,0.0
1994-12-05,258.243,258.243,248.3105,248.3105,0,0.0,0.0
1994-12-06,263.2093,263.2093,263.2093,263.2093,0,0.0,0.0
1994-12-07,253.2767,253.2767,253.2767,253.2767,0,0.0,0.0
1994-12-08,253.2767,253.2767,253.2767,253.2767,0,0.0,0.0
1994-12-09,248.3105,258.243,248.3105,258.243,0,0.0,0.0
1994-12-12,263.2093,263.2093,263.2093,263.2093,0,0.0,0.0
1994-12-13,263.2093,263.2093,263.2093,263.2093,0,0.0,0.0
1994-12-14,263.2093,263.2093,263.2093,263.2093,0,0.0,0.0
1994-12-15,263.2091,263.2091,253.2767,253.2767,0,0.0,0.0
1994-12-16,248.3105,258.243,248.3105,258.243,200,0.0,0.0
1994-12-19,258.243,258.243,258.243,258.243,0,0.0,0.0
1994-12-20,253.2767,268.1753,253.2767,260.726,200,0.0,0.0
1994-12-21,253.2767,268.1753,253.2767,268.1753,0,0.0,0.0
1994-12-22,258.2429,268.1753,253.2767,268.1753,200,0.0,0.0
1994-12-23,253.3083,253.3083,253.3083,253.3083,0,0.044,0.0
1994-12-27,253.3085,263.2422,253.3085,263.2422,0,0.0,0.0
1994-12-28,263.2422,263.2422,263.2422,263.2422,0,0.0,0.0
1994-12-29,263.2422,263.2422,263.2422,263.2422,0,0.0,0.0
1994-12-30,263.2422,263.2422,263.2422,263.2422,0,0.0,0.0
1995-01-03,263.2422,263.2422,263.2422,263.2422,0,0.0,0.0
1995-01-04,263.2422,263.2422,263.2422,263.2422,0,0.0,0.0
1995-01-05,258.2752,258.2752,258.2752,258.2752,0,0.0,0.0
1995-01-06,253.3083,268.2088,253.3083,268.2088,0,0.0,0.0
1995-01-09,253.3083,253.3083,253.3083,253.3083,0,0.0,0.0
1995-01-10,253.3083,258.2751,248.3415,248.3415,100,0.0,0.0
1995-01-11,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-01-12,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-01-13,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-01-16,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-01-17,258.2752,258.2752,258.2752,258.2752,0,0.0,0.0
1995-01-18,255.7918,258.2752,248.3415,258.2752,0,0.0,0.0
1995-01-19,258.2752,258.2752,258.2752,258.2752,0,0.0,0.0
1995-01-20,248.3417,263.2422,248.3417,263.2422,0,0.0,0.0
1995-01-23,263.2422,263.2422,263.2422,263.2422,0,0.0,0.0
1995-01-24,263.2422,263.2422,263.2422,263.2422,0,0.0,0.0
1995-01-25,268.2087,268.2087,253.3083,253.3083,100,0.0,0.0
1995-01-26,253.3083,253.3083,253.3083,253.3083,0,0.0,0.0
1995-01-27,253.3083,253.3083,253.3083,253.3083,0,0.0,0.0
1995-01-30,253.3083,253.3083,253.3083,253.3083,0,0.0,0.0
1995-01-31,253.3083,253.3083,253.3083,253.3083,0,0.0,0.0
1995-02-01,248.3415,263.242,248.3415,248.3415,400,0.0,0.0
1995-02-02,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-02-03,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-02-06,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-02-07,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-02-08,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-02-09,248.3415,248.3415,248.3415,248.3415,0,0.0,0.0
1995-02-10,260.7585,263.2419,260.7585,260.7585,100,0.0,0.0
1995-02-13,268.2088,268.2088,268.2088,268.2088,0,0.0,0.0
1995-02-14,268.2088,268.2088,268.2088,268.2088,0,0.0,0.0
1995-02-15,268.2088,268.2088,268.2088,268.2088,0,0.0,0.0
1995-02-16,268.2088,268.2088,268.2088,268.2088,0,0.0,0.0
1995-02-17,268.2088,268.2088,268.2088,268.2088,0,0.0,0.0
