Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-04,10.4,10.6,10.36,10.37,6451600,0,0
2021-02-05,10.36,10.66,10.36,10.5,2275300,0,0
2021-02-08,10.49,10.55,10.41,10.54,536400,0,0
2021-02-09,10.5,10.6,10.45,10.6,236000,0,0
2021-02-10,10.59,10.59,10.49,10.55,84000,0,0
2021-02-11,10.51,10.6,10.51,10.51,23400,0,0
2021-02-12,10.55,10.55,10.52,10.55,106100,0,0
2021-02-16,10.6,10.61,10.54,10.55,316900,0,0
2021-02-17,10.5,10.53,10.43,10.53,309100,0,0
2021-02-18,10.42,10.67,10.41,10.5,97900,0,0
2021-02-19,10.5,10.7,10.48,10.5,85200,0,0
2021-02-22,10.67,10.67,10.45,10.46,59100,0,0
2021-02-23,10.61,10.61,10.35,10.36,208700,0,0
2021-02-24,10.51,10.52,10.26,10.34,446200,0,0
2021-02-25,10.3,10.39,10.22,10.25,200000,0,0
2021-02-26,10.25,10.27,10.15,10.27,126100,0,0
2021-03-01,10.3,10.38,10.27,10.27,11900,0,0
2021-03-02,10.26,10.26,10.03,10.1,614800,0,0
2021-03-03,10.11,10.11,10.05,10.08,13800,0,0
2021-03-04,10.05,10.1,10.0,10.1,62900,0,0
2021-03-05,10.06,10.15,10.0,10.09,512000,0,0
2021-03-08,10.1,10.1,10.05,10.09,5200,0,0
2021-03-09,10.1,10.1,10.04,10.05,7600,0,0
2021-03-10,10.05,10.06,10.03,10.06,37500,0,0
2021-03-11,10.08,10.14,10.05,10.07,30100,0,0
2021-03-12,10.05,10.08,9.95,10.03,172500,0,0
2021-03-15,10.02,10.06,10.02,10.03,3300,0,0
2021-03-16,10.03,10.13,9.95,9.95,35800,0,0
2021-03-17,9.98,10.04,9.98,10.0,383500,0,0
2021-03-18,10.07,10.07,9.96,9.97,192900,0,0
2021-03-19,10.0,10.0,9.96,9.99,16700,0,0
2021-03-22,9.99,9.99,9.99,9.99,600,0,0
2021-03-23,9.97,9.97,9.87,9.87,24100,0,0
2021-03-24,9.9,9.9,9.66,9.87,25900,0,0
2021-03-25,9.82,9.82,9.75,9.82,6200,0,0
2021-03-26,9.81,9.95,9.81,9.9,8100,0,0
2021-03-29,9.89,9.97,9.89,9.95,3300,0,0
2021-03-30,9.91,9.95,9.9,9.95,6200,0,0
2021-03-31,9.91,9.94,9.9,9.94,6300,0,0
2021-04-01,9.9,9.92,9.9,9.92,5000,0,0
2021-04-05,9.95,9.99,9.94,9.99,11400,0,0
2021-04-06,9.95,10.1,9.95,10.1,21900,0,0
2021-04-07,9.9,10.1,9.9,10.1,1500,0,0
2021-04-08,10.02,10.15,10.01,10.1,8900,0,0
2021-04-09,10.05,10.1,10.04,10.04,58700,0,0
2021-04-12,10.01,10.04,10.01,10.01,4600,0,0
2021-04-13,10.09,10.1,10.05,10.08,10900,0,0
2021-04-14,10.14,10.22,10.02,10.08,13900,0,0
2021-04-15,10.12,10.12,10.0,10.0,1600,0,0
2021-04-16,10.0,10.02,10.0,10.02,7900,0,0
2021-04-19,9.97,10.03,9.97,10.03,1700,0,0
2021-04-20,9.98,10.0,9.95,10.0,4300,0,0
2021-04-21,10.0,10.0,9.91,10.0,1200,0,0
2021-04-22,10.0,10.0,10.0,10.0,200,0,0
2021-04-23,10.0,10.0,10.0,10.0,0,0,0
2021-04-26,10.0,10.0,10.0,10.0,200,0,0
2021-04-27,10.0,10.01,9.91,10.01,14000,0,0
2021-04-28,9.91,10.0,9.91,10.0,400,0,0
2021-04-29,10.05,10.05,9.94,9.95,4100,0,0
2021-04-30,9.94,9.95,9.93,9.95,6800,0,0
2021-05-03,9.94,10.0,9.9,10.0,44400,0,0
2021-05-04,9.92,10.0,9.92,10.0,302700,0,0
2021-05-05,9.94,10.0,9.94,10.0,18900,0,0
2021-05-06,9.99,9.99,9.99,9.99,6100,0,0
2021-05-07,9.99,9.99,9.99,9.99,800,0,0
2021-05-10,9.99,10.0,9.99,9.99,5700,0,0
2021-05-11,9.91,10.01,9.91,10.0,2600,0,0
2021-05-12,10.01,10.1,10.01,10.08,404300,0,0
2021-05-13,10.24,10.24,10.07,10.07,379100,0,0
2021-05-14,10.3,10.3,10.06,10.07,129600,0,0
2021-05-17,10.05,10.07,10.03,10.04,138200,0,0
2021-05-18,10.04,10.05,9.95,10.0,474100,0,0
2021-05-19,10.0,10.02,9.98,9.99,240800,0,0
2021-05-20,9.99,10.08,9.99,10.03,563400,0,0
2021-05-21,10.02,10.07,10.0,10.06,55700,0,0
