Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-10-27,3.73,3.73,3.73,3.73,380700,0.0,0
2005-10-28,3.73,3.73,3.73,3.73,55700,0.0,0
2005-10-31,3.73,3.73,3.73,3.73,77400,0.0,0
2005-11-01,3.73,3.73,3.73,3.73,28400,0.0,0
2005-11-02,3.73,3.73,3.73,3.73,23400,0.0,0
2005-11-03,3.73,3.73,3.73,3.73,14300,0.0,0
2005-11-04,3.73,3.73,3.73,3.73,28300,0.0,0
2005-11-07,3.73,3.73,3.73,3.73,37100,0.0,0
2005-11-08,3.73,3.73,3.73,3.73,26100,0.0,0
2005-11-09,3.73,3.73,3.73,3.73,37100,0.0,0
2005-11-10,3.73,3.73,3.73,3.73,36900,0.0,0
2005-11-11,3.73,3.73,3.73,3.73,46100,0.0,0
2005-11-14,3.73,3.73,3.73,3.73,41000,0.0,0
2005-11-15,3.73,3.73,3.73,3.73,52000,0.0,0
2005-11-16,3.73,3.73,3.73,3.73,41000,0.0,0
2005-11-17,3.73,3.73,3.73,3.73,18800,0.0,0
2005-11-18,3.73,3.73,3.73,3.73,21000,0.0,0
2005-11-21,3.73,3.73,3.73,3.73,125700,0.0,0
2005-11-22,3.71,3.73,3.42,3.44,87700,0.0,0
2005-11-23,3.44,3.44,3.29,3.34,54600,0.0,0
2005-11-25,3.37,3.37,3.32,3.33,11900,0.0,0
2005-11-28,3.31,3.39,3.29,3.34,45100,0.0,0
2005-11-29,3.28,3.34,3.28,3.32,49500,0.0,0
2005-11-30,3.34,3.34,3.29,3.32,45300,0.0,0
2005-12-01,3.31,3.38,3.29,3.29,58500,0.0,0
2005-12-02,3.29,3.33,3.29,3.33,23200,0.0,0
2005-12-05,3.31,3.34,3.31,3.32,32600,0.0,0
2005-12-06,3.32,3.35,3.29,3.32,53700,0.0,0
2005-12-07,3.32,3.4,3.31,3.34,50400,0.0,0
2005-12-08,3.35,3.41,3.3,3.31,51800,0.0,0
2005-12-09,3.3,3.34,3.3,3.31,42000,0.0,0
2005-12-12,3.32,3.37,3.3,3.34,39500,0.0,0
2005-12-13,3.36,3.38,3.29,3.37,55800,0.0,0
2005-12-14,3.37,3.37,3.31,3.34,39100,0.0,0
2005-12-15,3.31,3.35,3.28,3.31,64300,0.0,0
2005-12-16,3.31,3.32,3.28,3.32,54900,0.0,0
2005-12-19,3.33,3.35,3.33,3.34,82600,0.0,0
2005-12-20,3.34,3.42,3.33,3.4,56900,0.0,0
2005-12-21,3.41,3.45,3.39,3.44,49500,0.0,0
2005-12-22,3.45,3.45,3.38,3.45,52000,0.0,0
2005-12-23,3.45,3.46,3.38,3.38,61800,0.0,0
2005-12-27,3.4,3.42,3.32,3.34,64300,0.0,0
2005-12-28,3.33,3.43,3.3,3.43,154400,0.1,0
2005-12-29,3.4,3.45,3.38,3.43,92200,0.0,0
2005-12-30,3.42,3.55,3.4,3.55,129100,0.0,0
2006-01-03,3.53,3.56,3.48,3.55,41200,0.0,0
2006-01-04,3.57,3.57,3.53,3.56,38000,0.0,0
2006-01-05,3.56,3.57,3.53,3.54,18700,0.0,0
2006-01-06,3.57,3.59,3.54,3.59,22900,0.0,0
2006-01-09,3.58,3.59,3.56,3.59,22000,0.0,0
2006-01-10,3.59,3.59,3.54,3.59,47100,0.0,0
2006-01-11,3.59,3.69,3.54,3.65,36200,0.0,0
2006-01-12,3.63,3.63,3.56,3.62,48700,0.0,0
2006-01-13,3.62,3.64,3.56,3.59,35100,0.0,0
2006-01-17,3.61,3.68,3.55,3.58,60500,0.0,0
2006-01-18,3.58,3.63,3.53,3.58,47700,0.0,0
2006-01-19,3.56,3.6,3.53,3.56,22300,0.0,0
2006-01-20,3.56,3.58,3.52,3.58,14800,0.0,0
2006-01-23,3.56,3.6,3.53,3.57,47300,0.0,0
2006-01-24,3.53,3.6,3.51,3.59,43400,0.0,0
2006-01-25,3.58,3.58,3.52,3.58,42900,0.0,0
2006-01-26,3.59,3.63,3.53,3.54,58900,0.0,0
2006-01-27,3.59,3.63,3.53,3.57,94000,0.0,0
2006-01-30,3.56,3.6,3.56,3.58,23100,0.0,0
2006-01-31,3.58,3.6,3.56,3.6,26700,0.0,0
2006-02-01,3.6,3.6,3.56,3.58,31600,0.0,0
2006-02-02,3.59,3.59,3.52,3.55,45600,0.0,0
2006-02-03,3.56,3.58,3.53,3.57,19600,0.0,0
2006-02-06,3.56,3.58,3.55,3.58,24400,0.0,0
2006-02-07,3.57,3.6,3.54,3.56,36100,0.0,0
2006-02-08,3.56,3.59,3.54,3.56,49400,0.0,0
2006-02-09,3.57,3.59,3.55,3.57,35600,0.075,0
2006-02-10,3.54,3.62,3.54,3.56,35600,0.0,0
2006-02-13,3.57,3.61,3.52,3.57,37900,0.0,0
2006-02-14,3.57,3.61,3.52,3.58,36400,0.0,0
2006-02-15,3.57,3.61,3.56,3.57,38200,0.0,0
2006-02-16,3.59,3.62,3.54,3.58,40600,0.0,0
2006-02-17,3.58,3.59,3.55,3.58,32600,0.0,0
2006-02-21,3.58,3.64,3.57,3.64,28300,0.0,0
2006-02-22,3.64,3.65,3.59,3.62,61200,0.0,0
2006-02-23,3.64,3.64,3.55,3.6,67500,0.0,0
2006-02-24,3.59,3.6,3.57,3.58,23900,0.0,0
