Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-09-21,2.61,2.76,2.38,2.41,5764000,0.0,0.0
1995-09-22,2.38,2.41,2.28,2.36,3339200,0.0,0.0
1995-09-25,2.38,2.41,2.36,2.36,152400,0.0,0.0
1995-09-26,2.41,2.41,2.36,2.36,788400,0.0,0.0
1995-09-27,2.36,2.41,2.36,2.36,263600,0.0,0.0
1995-09-28,2.36,2.41,2.36,2.36,755200,0.0,0.0
1995-09-29,2.36,2.46,2.36,2.41,177200,0.0,0.0
1995-10-02,2.41,2.41,2.39,2.41,206800,0.0,0.0
1995-10-03,2.41,2.46,2.41,2.41,272800,0.0,0.0
1995-10-04,2.43,2.46,2.41,2.41,84800,0.0,0.0
1995-10-05,2.41,2.46,2.41,2.41,2372400,0.0,0.0
1995-10-06,2.42,2.43,2.41,2.41,138400,0.0,0.0
1995-10-09,2.41,2.46,2.41,2.41,1060400,0.0,0.0
1995-10-10,2.41,2.42,2.41,2.41,110800,0.0,0.0
1995-10-11,2.43,2.46,2.43,2.43,169600,0.0,0.0
1995-10-12,2.43,2.43,2.42,2.42,62400,0.0,0.0
1995-10-13,2.43,2.43,2.39,2.41,500400,0.0,0.0
1995-10-16,2.41,2.41,2.41,2.41,12400,0.0,0.0
1995-10-17,2.43,2.48,2.41,2.41,51600,0.0,0.0
1995-10-18,2.41,2.41,2.41,2.41,48400,0.0,0.0
1995-10-19,2.41,2.53,2.21,2.21,116400,0.0,0.0
1995-10-20,2.21,2.23,2.21,2.21,79600,0.0,0.0
1995-10-23,2.21,2.21,2.21,2.21,27600,0.0,0.0
1995-10-24,2.21,2.21,2.21,2.21,7200,0.0,0.0
1995-10-25,2.21,2.31,2.21,2.31,113600,0.0,0.0
1995-10-26,2.21,2.31,2.21,2.21,82800,0.0,0.0
1995-10-27,2.21,2.21,2.11,2.11,40800,0.0,0.0
1995-10-30,2.11,2.11,2.06,2.06,40000,0.0,0.0
1995-10-31,2.06,2.06,2.06,2.06,5600,0.0,0.0
1995-11-01,2.06,2.18,2.01,2.01,84400,0.0,0.0
1995-11-02,2.01,2.11,2.01,2.11,4800,0.0,0.0
1995-11-03,2.01,2.01,1.91,1.91,36800,0.0,0.0
1995-11-06,1.93,2.01,1.91,2.01,26000,0.0,0.0
1995-11-07,2.03,2.03,1.91,1.93,10400,0.0,0.0
1995-11-08,1.91,1.91,1.91,1.91,1200,0.0,0.0
1995-11-09,1.91,1.91,1.91,1.91,0,0.0,0.0
1995-11-10,1.91,2.03,1.91,2.03,605600,0.0,0.0
1995-11-13,2.03,2.03,1.91,1.91,5600,0.0,0.0
1995-11-14,1.91,2.03,1.91,1.96,1767200,0.0,0.0
1995-11-15,2.03,2.03,1.96,2.03,1110000,0.0,0.0
1995-11-16,2.01,2.03,1.93,2.03,83600,0.0,0.0
1995-11-17,1.96,1.96,1.96,1.96,2000,0.0,0.0
1995-11-20,2.06,2.06,2.01,2.01,44400,0.0,0.0
1995-11-21,2.01,2.06,2.01,2.06,28400,0.0,0.0
1995-11-22,2.01,2.06,1.96,2.03,222400,0.0,0.0
1995-11-24,2.01,2.03,2.01,2.03,140000,0.0,0.0
1995-11-27,2.01,2.03,1.96,2.03,614800,0.0,0.0
1995-11-28,1.96,2.01,1.96,2.01,203200,0.0,0.0
1995-11-29,1.98,2.06,1.96,1.96,232400,0.0,0.0
1995-11-30,1.96,2.06,1.96,2.06,28000,0.0,0.0
