Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-08-02,3.23,3.28,3.18,3.18,44,0.0,0.0
2002-08-05,3.15,3.15,2.99,2.99,63,0.0,0.0
2002-08-06,2.97,2.97,2.97,2.97,6,0.0,0.0
2002-08-07,2.92,2.97,2.92,2.97,88,0.0,0.0
2002-08-08,2.99,3.05,2.94,3.05,1094,0.0,0.0
2002-08-09,2.99,3.04,2.99,3.04,275,0.0,0.0
2002-08-12,3.06,3.06,3.06,3.06,56,0.0,0.0
2002-08-13,3.08,3.08,3.08,3.08,6,1.312,0.0
2002-08-14,3.08,3.08,3.03,3.03,69,0.0,0.0
2002-08-15,3.05,3.11,3.05,3.08,281,0.0,0.0
2002-08-16,3.08,3.14,3.08,3.14,131,0.0,0.0
2002-08-19,3.17,3.22,3.17,3.22,19,0.0,0.0
2002-08-20,3.27,3.27,3.2,3.21,131,0.0,0.0
2002-08-21,3.22,3.27,3.22,3.27,63,0.0,0.0
2002-08-22,3.26,3.27,3.26,3.27,138,0.0,0.0
2002-08-23,3.25,3.25,3.25,3.25,163,0.0,0.0
2002-08-26,3.25,3.25,3.25,3.25,63,0.0,0.0
2002-08-27,3.3,3.35,3.27,3.27,100,0.0,0.0
2002-08-28,3.2,3.25,3.2,3.25,194,0.0,0.0
2002-08-29,3.25,3.25,3.24,3.25,225,0.0,0.0
2002-08-30,3.24,3.25,3.24,3.25,988,0.0,0.0
2002-09-03,3.27,3.33,3.2,3.2,200,0.0,0.0
2002-09-04,3.25,3.25,3.25,3.25,63,0.0,0.0
2002-09-05,3.2,3.28,3.2,3.25,350,0.0,0.0
2002-09-06,3.3,3.3,3.29,3.29,194,0.0,0.0
2002-09-09,3.24,3.24,3.22,3.22,138,0.0,0.0
2002-09-10,3.19,3.25,3.13,3.25,381,0.0,0.0
2002-09-11,3.25,3.25,3.22,3.22,125,0.0,0.0
2002-09-12,3.19,3.19,3.19,3.19,25,1.328,0.0
2002-09-13,3.21,3.28,3.16,3.27,313,0.0,0.0
2002-09-16,3.24,3.24,3.24,3.24,6,0.0,0.0
2002-09-17,3.27,3.28,3.16,3.28,238,0.0,0.0
2002-09-18,3.24,3.24,3.13,3.13,456,0.0,0.0
2002-09-19,3.16,3.25,3.16,3.21,288,0.0,0.0
2002-09-20,3.16,3.16,3.11,3.11,31,0.0,0.0
2002-09-23,3.07,3.11,2.95,2.96,644,0.0,0.0
2002-09-24,2.94,2.94,2.94,2.94,306,0.0,0.0
2002-09-25,3.01,3.03,3.01,3.03,281,0.0,0.0
