Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-26,8.86,9.05,8.73,8.75,3694400,0.0,0
2006-01-27,8.91,9.01,8.75,8.93,427300,0.0,0
2006-01-30,8.99,9.53,8.89,9.26,318400,0.0,0
2006-01-31,9.46,9.54,9.34,9.54,264400,0.0,0
2006-02-01,9.66,9.66,9.48,9.62,143800,0.0,0
2006-02-02,9.66,9.66,9.46,9.66,178000,0.0,0
2006-02-03,9.69,9.76,9.52,9.65,212500,0.0,0
2006-02-06,9.73,9.96,9.66,9.86,122500,0.0,0
2006-02-07,9.86,10.04,9.7,9.82,115200,0.0,0
2006-02-08,10.06,10.06,9.44,9.84,34000,0.0,0
2006-02-09,9.65,10.02,9.65,9.72,28800,0.0,0
2006-02-10,9.86,9.86,9.36,9.46,52000,0.0,0
2006-02-13,9.39,9.86,9.39,9.46,13700,0.0,0
2006-02-14,9.48,9.52,9.13,9.21,66700,0.0,0
2006-02-15,9.12,9.27,9.05,9.1,58100,0.0,0
2006-02-16,9.25,9.5,9.13,9.46,31200,0.0,0
2006-02-17,9.56,9.57,9.28,9.28,34900,0.0,0
2006-02-21,9.45,9.57,9.26,9.57,35400,0.0,0
2006-02-22,9.46,9.57,9.29,9.38,22900,0.0,0
2006-02-23,9.55,9.83,9.48,9.83,25800,0.0,0
2006-02-24,9.86,10.23,9.3,10.04,57300,0.0,0
2006-02-27,9.88,9.88,9.5,9.54,114600,0.0,0
2006-02-28,9.49,9.74,9.36,9.54,50300,0.0,0
2006-03-01,9.48,9.82,9.43,9.55,78400,0.0,0
2006-03-02,9.66,9.66,9.45,9.66,61500,0.0,0
2006-03-03,9.66,9.78,9.6,9.67,18400,0.0,0
2006-03-06,9.48,9.84,9.44,9.76,61500,0.0,0
2006-03-07,9.96,10.48,9.96,10.46,282300,0.0,0
2006-03-08,10.23,10.46,10.23,10.24,52700,0.0,0
2006-03-09,10.09,10.46,10.06,10.36,49300,0.0,0
2006-03-10,10.44,10.46,10.18,10.31,39000,0.0,0
2006-03-13,10.3,10.46,10.28,10.4,30500,0.0,0
2006-03-14,10.46,10.46,9.86,10.23,27600,0.0,0
2006-03-15,10.12,10.27,10.04,10.15,62100,0.0,0
2006-03-16,10.3,10.46,10.26,10.26,17000,0.0,0
2006-03-17,10.26,10.29,10.21,10.26,14500,0.0,0
2006-03-20,10.29,10.56,10.22,10.47,23500,0.0,0
2006-03-21,10.46,10.48,10.35,10.42,19000,0.0,0
2006-03-22,10.47,10.69,10.43,10.62,26000,0.0,0
2006-03-23,10.7,10.83,10.56,10.82,23500,0.0,0
2006-03-24,10.65,10.79,10.54,10.63,39200,0.0,0
2006-03-27,10.66,10.71,10.56,10.66,54400,0.0,0
2006-03-28,10.86,10.86,10.62,10.66,73700,0.0,0
2006-03-29,10.79,10.87,10.68,10.79,16500,0.0,0
2006-03-30,10.82,11.25,10.82,10.9,59100,0.0,0
2006-03-31,10.9,11.19,10.88,11.19,19500,0.0,0
2006-04-03,11.21,11.25,11.09,11.21,21600,0.0,0
2006-04-04,11.21,11.55,11.07,11.53,30200,0.0,0
2006-04-05,11.36,11.54,11.22,11.36,31500,0.0,0
2006-04-06,11.57,11.68,11.46,11.47,22800,0.0,0
2006-04-07,11.38,11.74,11.38,11.67,39500,0.0,0
2006-04-10,11.76,11.78,11.37,11.69,31600,0.0,0
2006-04-11,11.45,11.45,10.91,11.4,40300,0.0,0
2006-04-12,11.27,11.51,11.27,11.51,27900,0.0,0
2006-04-13,11.47,11.73,11.47,11.73,19100,0.0,0
2006-04-17,11.81,12.02,11.74,11.93,19400,0.0,0
2006-04-18,11.47,11.75,11.32,11.54,16500,0.0,0
2006-04-19,11.72,11.72,11.47,11.51,15900,0.0,0
2006-04-20,11.6,11.67,11.47,11.57,32600,0.0,0
2006-04-21,11.7,11.7,11.48,11.49,40500,0.0,0
2006-04-24,11.47,11.82,11.47,11.69,10000,0.0,0
2006-04-25,11.83,12.17,11.74,12.06,13600,0.0,0
2006-04-26,11.75,12.48,11.75,12.15,60600,0.0,0
2006-04-27,12.23,12.23,11.83,12.11,21400,0.0,0
2006-04-28,11.77,12.6,11.77,12.32,35300,0.3,0
2006-05-01,12.19,12.32,12.17,12.32,25100,0.0,0
2006-05-02,12.22,12.36,12.22,12.34,13300,0.0,0
2006-05-03,12.3,12.43,12.28,12.39,29100,0.0,0
2006-05-04,12.28,12.62,12.23,12.58,109900,0.0,0
2006-05-05,12.54,12.54,12.24,12.4,34100,0.0,0
2006-05-08,12.6,12.84,12.09,12.72,37200,0.0,0
2006-05-09,12.8,13.11,12.3,12.93,20400,0.0,0
2006-05-10,12.91,13.48,12.52,13.48,16100,0.0,0
2006-05-11,13.42,13.45,13.03,13.11,22600,0.0,0
2006-05-12,13.38,13.41,12.32,13.05,27300,0.0,0
2006-05-15,13.41,13.41,12.91,13.19,11900,0.0,0
2006-05-16,13.35,13.54,12.93,13.51,25200,0.0,0
2006-05-17,13.72,13.75,13.41,13.63,23200,0.0,0
2006-05-18,13.13,13.57,12.84,13.57,20100,0.0,0
2006-05-19,13.61,13.61,12.89,13.0,23300,0.0,0
2006-05-22,12.78,12.78,11.87,12.2,52600,0.0,0
2006-05-23,12.22,13.37,12.22,12.48,35100,0.0,0
2006-05-24,12.49,13.39,12.33,12.77,110800,0.0,0
2006-05-25,13.01,13.33,12.56,12.89,10600,0.0,0
2006-05-26,13.04,13.26,12.47,13.06,39000,0.0,0
2006-05-30,12.78,13.28,12.78,13.18,9800,0.0,0
2006-05-31,13.17,13.41,12.93,13.01,8200,0.0,0
2006-06-01,12.7,13.29,12.7,13.01,9700,0.0,0
2006-06-02,13.29,14.0,13.15,13.42,41800,0.0,0
2006-06-05,13.93,14.34,13.59,14.09,35300,0.0,0
2006-06-06,14.13,14.91,13.66,14.15,28400,0.0,0
2006-06-07,14.15,14.51,13.68,14.29,10000,0.0,0
2006-06-08,14.02,14.48,13.5,14.44,15500,0.0,0
2006-06-09,14.6,14.8,14.07,14.69,7000,0.0,0
2006-06-12,14.93,15.02,14.6,14.7,7300,0.0,0
2006-06-13,14.24,14.32,13.95,14.04,17500,0.0,0
2006-06-14,13.61,14.3,13.44,13.61,69200,0.0,0
2006-06-15,13.48,13.9,12.69,13.14,119800,0.0,0
2006-06-16,13.13,13.48,13.13,13.48,21200,0.0,0
2006-06-19,12.82,13.79,12.82,13.56,21700,0.0,0
2006-06-20,13.66,13.9,13.6,13.6,9600,0.0,0
2006-06-21,13.88,13.88,13.65,13.65,5200,0.0,0
2006-06-22,13.64,13.64,13.25,13.41,10900,0.0,0
2006-06-23,13.6,13.78,13.58,13.58,7700,0.0,0
2006-06-26,13.45,13.45,12.89,13.05,8400,0.0,0
2006-06-27,12.93,13.37,12.6,12.98,18400,0.0,0
2006-06-28,13.11,13.39,12.92,13.39,10300,0.0,0
2006-06-29,12.98,13.09,12.52,12.62,2092600,0.0,0
2006-06-30,12.72,12.95,12.62,12.9,344100,0.0,0
2006-07-03,13.06,13.06,12.49,12.74,24500,0.0,0
2006-07-05,12.89,12.91,12.28,12.6,52300,0.0,0
2006-07-06,12.78,12.78,12.52,12.6,64100,0.0,0
2006-07-07,12.8,12.91,12.36,12.51,88700,0.0,0
2006-07-10,12.4,12.5,12.3,12.4,60400,0.0,0
2006-07-11,12.24,12.48,11.98,12.46,38200,0.0,0
2006-07-12,12.55,12.57,12.46,12.57,37600,0.0,0
2006-07-13,12.35,12.5,12.19,12.44,19700,0.0,0
2006-07-14,12.28,12.64,12.28,12.3,22000,0.0,0
2006-07-17,12.24,12.42,12.24,12.28,33700,0.0,0
2006-07-18,12.3,12.4,12.19,12.26,88800,0.0,0
2006-07-19,12.4,12.4,12.26,12.36,13500,0.0,0
2006-07-20,12.39,12.4,12.26,12.32,17300,0.0,0
2006-07-21,12.67,12.67,12.26,12.32,37800,0.0,0
2006-07-24,12.2,12.43,11.88,12.32,82900,0.0,0
2006-07-25,12.32,12.54,12.2,12.53,39200,0.0,0
2006-07-26,12.52,12.67,12.52,12.56,41100,0.0,0
2006-07-27,12.62,12.67,12.29,12.29,28300,0.0,0
2006-07-28,12.59,12.64,12.22,12.24,20100,0.0,0
2006-07-31,12.56,12.56,12.24,12.36,8800,0.0,0
2006-08-01,12.45,12.56,12.28,12.42,5800,0.0,0
2006-08-02,12.5,12.5,12.2,12.27,21600,0.45,0
2006-08-03,12.23,12.36,12.12,12.34,36400,0.0,0
2006-08-04,12.14,12.23,11.88,12.18,48200,0.0,0
2006-08-07,12.18,12.75,12.18,12.42,22000,0.0,0
2006-08-08,12.42,12.75,12.34,12.38,25900,0.0,0
2006-08-09,12.27,12.58,12.27,12.46,21100,0.0,0
2006-08-10,12.11,12.58,12.11,12.58,11400,0.0,0
2006-08-11,12.38,12.75,12.38,12.74,21200,0.0,0
2006-08-14,12.83,12.83,12.38,12.55,23400,0.0,0
2006-08-15,12.49,12.53,12.45,12.53,11700,0.0,0
2006-08-16,12.54,12.55,12.38,12.42,32000,0.0,0
2006-08-17,12.32,12.79,12.32,12.45,21900,0.0,0
2006-08-18,12.6,12.79,12.41,12.79,24100,0.0,0
2006-08-21,12.79,12.93,12.46,12.88,46600,0.0,0
2006-08-22,12.87,12.93,12.72,12.86,13800,0.0,0
2006-08-23,12.92,13.1,12.79,13.1,11800,0.0,0
2006-08-24,12.89,13.1,12.69,13.09,17200,0.0,0
2006-08-25,13.1,13.28,13.1,13.28,40900,0.0,0
2006-08-28,13.21,13.4,13.1,13.33,50900,0.0,0
2006-08-29,13.44,13.44,13.26,13.31,17200,0.0,0
2006-08-30,13.11,13.33,13.11,13.28,30800,0.0,0
2006-08-31,13.19,13.33,13.19,13.29,67900,0.0,0
2006-09-01,13.12,13.25,13.12,13.16,22200,0.0,0
