Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-03,27.96,29.49,27.71,28.88,2627700,0,0
2020-08-04,28.99,29.53,28.88,29.48,1589200,0,0
2020-08-05,29.6,29.95,29.04,29.75,1766700,0,0
2020-08-06,29.86,29.95,28.95,29.7,896100,0,0
2020-08-07,29.5,29.56,28.33,28.89,418800,0,0
2020-08-10,28.78,28.98,28.01,28.23,1026000,0,0
2020-08-11,27.97,28.42,27.4,28.01,1129700,0,0
2020-08-12,28.32,28.78,27.97,28.39,515900,0,0
2020-08-13,28.54,29.59,28.46,29.31,1185700,0,0
2020-08-14,29.19,29.27,28.75,28.88,679700,0,0
2020-08-17,29.08,29.42,28.94,29.19,855200,0,0
2020-08-18,29.22,29.4,28.95,29.23,692500,0,0
2020-08-19,29.16,29.76,28.97,29.6,862000,0,0
2020-08-20,29.34,30.25,29.29,29.72,1654200,0,0
2020-08-21,29.75,29.75,28.74,28.94,833000,0,0
2020-08-24,29.32,29.32,28.55,28.79,531500,0,0
2020-08-25,28.76,28.91,28.37,28.48,617800,0,0
2020-08-26,28.34,28.51,27.95,28.09,790400,0,0
2020-08-27,28.13,28.35,27.7,28.22,1014900,0,0
2020-08-28,28.52,28.95,28.31,28.9,636500,0,0
2020-08-31,28.95,29.69,28.63,29.44,1143500,0,0
2020-09-01,29.58,29.95,29.43,29.94,1357500,0,0
2020-09-02,30.0,30.0,29.2,29.36,572600,0,0
2020-09-03,29.15,29.15,27.64,27.83,527600,0,0
2020-09-04,27.7,28.12,27.0,27.97,874000,0,0
2020-09-08,27.55,28.33,27.4,27.7,593900,0,0
2020-09-09,28.18,28.83,27.9,28.45,551100,0,0
2020-09-10,28.68,28.92,27.59,27.93,836900,0,0
2020-09-11,28.0,28.35,27.28,27.65,891900,0,0
2020-09-14,27.9,28.48,27.88,27.89,445900,0,0
2020-09-15,28.05,28.79,28.02,28.79,432000,0,0
2020-09-16,28.68,29.25,28.56,28.75,361600,0,0
2020-09-17,28.24,29.47,28.24,29.45,964200,0,0
2020-09-18,29.78,30.39,28.8,29.14,1100500,0,0
2020-09-21,28.82,29.3,28.14,28.76,754700,0,0
2020-09-22,28.83,29.2,28.08,29.15,648300,0,0
2020-09-23,29.08,29.08,27.81,28.07,891900,0,0
2020-09-24,27.86,28.46,27.5,27.74,589100,0,0
2020-09-25,27.82,29.09,27.58,28.77,795600,0,0
2020-09-28,29.01,29.88,28.48,29.7,1307500,0,0
2020-09-29,29.61,30.3,29.28,29.54,1075200,0,0
2020-09-30,29.53,32.23,29.46,30.99,3004100,0,0
2020-10-01,31.63,32.47,31.3,32.09,2829400,0,0
2020-10-02,32.3,32.68,31.63,32.5,926500,0,0
2020-10-05,32.53,33.55,32.52,33.39,790100,0,0
2020-10-06,33.29,33.41,32.57,32.72,825300,0,0
2020-10-07,32.96,33.24,32.31,32.87,1367500,0,0
2020-10-08,33.1,33.27,32.04,32.17,827300,0,0
2020-10-09,32.41,32.87,31.98,32.8,893400,0,0
2020-10-12,33.18,33.29,32.41,32.68,1511400,0,0
2020-10-13,32.66,32.94,32.31,32.4,890000,0,0
2020-10-14,32.23,32.74,30.62,31.15,1293400,0,0
2020-10-15,31.1,31.58,30.6,30.95,942900,0,0
2020-10-16,30.85,30.97,30.31,30.67,1534200,0,0
2020-10-19,30.94,31.23,30.38,30.5,719300,0,0
2020-10-20,30.74,31.12,30.33,30.56,991000,0,0
2020-10-21,30.54,30.6,29.6,30.02,907700,0,0
2020-10-22,30.0,30.23,29.62,29.85,1142800,0,0
2020-10-23,29.87,29.93,28.95,29.28,896600,0,0
2020-10-26,29.1,29.69,28.92,29.5,3140200,0,0
2020-10-27,29.84,30.53,29.54,30.36,915000,0,0
2020-10-28,29.93,30.28,29.66,29.9,1383100,0,0
2020-10-29,29.59,29.73,27.34,28.09,3840400,0,0
2020-10-30,27.84,28.39,27.4,27.75,2211300,0,0
2020-11-02,27.86,28.42,27.32,27.83,1883100,0,0
2020-11-03,28.09,29.53,28.07,29.0,1065900,0,0
2020-11-04,29.39,30.52,29.18,30.18,1404000,0,0
2020-11-05,30.65,31.36,30.31,30.9,837800,0,0
2020-11-06,30.86,31.22,30.63,31.14,940100,0,0
2020-11-09,31.53,32.27,30.29,30.3,1882600,0,0
2020-11-10,30.09,30.11,27.71,27.75,4134700,0,0
2020-11-11,26.81,27.44,26.43,26.77,4217300,0,0
2020-11-12,26.98,28.54,26.83,27.69,3784400,0,0
2020-11-13,27.87,28.06,27.41,27.79,1975000,0,0
2020-11-16,27.69,27.99,27.42,27.66,1059500,0,0
2020-11-17,27.46,27.96,27.23,27.24,1341900,0,0
2020-11-18,27.2,28.25,27.17,27.94,1600200,0,0
2020-11-19,27.84,28.33,27.59,27.98,2799900,0,0
2020-11-20,28.0,28.24,27.45,27.66,1131700,0,0
2020-11-23,27.67,27.95,27.18,27.34,1030000,0,0
2021-02-01,30.0,30.15,27.34,27.34,1281000,0,0
2021-02-02,29.31,30.82,29.31,30.15,2479800,0,0
2021-02-03,30.04,30.33,28.72,29.25,1714300,0,0
2021-02-04,29.05,29.49,28.79,29.48,509500,0,0
2021-02-05,29.46,29.85,29.26,29.75,567700,0,0
2021-02-08,29.72,30.0,29.43,29.75,520300,0,0
2021-02-09,29.75,29.99,29.56,29.91,659200,0,0
2021-02-10,30.0,30.0,29.29,29.75,1132100,0,0
2021-02-11,30.0,30.38,29.87,29.95,1017700,0,0
2021-02-12,30.05,30.37,29.85,30.27,902600,0,0
2021-02-16,30.39,30.45,29.7,30.17,854500,0,0
2021-02-17,29.93,30.32,29.64,30.04,751600,0,0
2021-02-18,29.89,30.12,29.65,30.06,586200,0,0
2021-02-19,30.09,30.6,29.86,30.34,886200,0,0
2021-02-22,30.1,30.22,29.31,29.33,896500,0,0
2021-02-23,29.15,29.19,28.28,29.1,1077600,0,0
2021-02-24,28.94,29.09,28.02,28.09,973000,0,0
2021-02-25,26.0,27.0,23.57,23.61,9272400,0,0
2021-02-26,22.94,23.61,22.39,22.75,5377900,0,0
2021-03-01,23.01,23.89,23.01,23.53,7053400,0,0
2021-03-02,23.73,23.86,22.54,23.1,2887600,0,0
2021-03-03,22.98,22.98,22.11,22.2,4105900,0,0
2021-03-04,22.1,22.71,21.61,21.95,2744700,0,0
2021-03-05,22.15,22.27,20.82,21.28,3218200,0,0
2021-03-08,22.11,22.19,21.34,21.52,4032900,0,0
2021-03-09,22.06,23.27,21.55,22.76,7722900,0,0
2021-03-10,23.07,23.08,22.25,22.5,3205600,0,0
2021-03-11,22.8,23.23,22.47,22.93,3841700,0,0
2021-03-12,22.94,24.12,22.74,23.92,3394400,0,0
2021-03-15,24.06,26.92,24.06,25.99,5479400,0,0
2021-03-16,25.91,26.69,25.75,25.75,3137500,0,0
2021-03-17,25.64,26.48,25.55,26.29,2562500,0,0
2021-03-18,25.79,26.53,25.42,26.05,2232500,0,0
2021-03-19,25.9,26.37,25.75,25.91,17535500,0,0
2021-03-22,25.77,26.35,25.37,25.43,1719500,0,0
2021-03-23,25.32,25.41,24.74,24.83,871500,0,0
2021-03-24,24.71,24.82,24.08,24.15,1224300,0,0
2021-03-25,24.0,24.1,23.41,24.0,1363000,0,0
2021-03-26,24.14,24.84,24.0,24.84,1216800,0,0
2021-03-29,24.75,24.97,24.2,24.75,1263000,0,0
2021-03-30,24.76,25.32,24.62,25.12,1120700,0,0
2021-03-31,25.72,26.7,25.52,26.39,1949200,0,0
