Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-29,47.0,48.0,44.0,44.44,344300,0,0.0
2018-04-02,44.0,45.96,43.0,43.0,47800,0,0.0
2018-04-03,43.16,44.44,40.6,43.0,16300,0,0.0
2018-04-04,43.6,44.28,42.16,43.0,32700,0,0.0
2018-04-05,43.88,43.92,42.24,43.92,12800,0,0.0
2018-04-06,43.6,43.8,42.44,43.16,16600,0,0.0
2018-04-09,43.6,43.6,42.0,42.92,11700,0,0.0
2018-04-10,43.0,44.76,41.09,44.2,41000,0,0.0
2018-04-11,42.84,45.64,41.2,44.36,37100,0,0.0
2018-04-12,44.44,45.76,44.0,45.24,42900,0,0.0
2018-04-13,45.64,47.92,45.24,46.56,41000,0,0.0
2018-04-16,47.48,47.8,46.38,47.0,36400,0,0.0
2018-04-17,47.56,48.0,47.2,47.8,10300,0,0.0
2018-04-18,47.64,48.0,47.0,48.0,9300,0,0.0
2018-04-19,47.56,49.0,47.08,48.0,22200,0,0.0
2018-04-20,47.6,48.6,47.6,47.92,23700,0,0.0
2018-04-23,48.84,50.8,48.0,49.0,86900,0,0.0
2018-04-24,49.76,49.96,45.24,47.8,29100,0,0.0
2018-04-25,47.84,48.0,45.2,46.08,18700,0,0.0
2018-04-26,45.96,48.52,45.96,47.16,12000,0,0.0
2018-04-27,47.2,48.0,46.0,47.12,16500,0,0.0
2018-04-30,47.16,48.8,45.24,45.8,22600,0,0.0
2018-05-01,45.44,46.72,42.56,44.4,24100,0,0.0
2018-05-02,44.36,47.52,44.36,45.12,14600,0,0.0
2018-05-03,45.84,46.6,42.64,43.92,28600,0,0.0
2018-05-04,43.76,46.0,43.2,43.64,28600,0,0.0
2018-05-07,44.0,45.16,43.32,43.72,12000,0,0.0
2018-05-08,43.09,44.96,42.6,43.24,10900,0,0.0
2018-05-09,43.52,43.96,42.0,42.6,36100,0,0.0
2018-05-10,42.6,44.52,41.6,42.76,10500,0,0.0
2018-05-11,43.48,44.0,41.68,41.68,14600,0,0.0
2018-05-14,41.6,43.36,41.6,42.24,8300,0,0.0
2018-05-15,41.64,43.51,40.76,43.36,20000,0,0.0
2018-05-16,43.12,47.1,42.08,46.84,28700,0,0.0
2018-05-17,46.68,48.0,44.48,46.72,40400,0,0.0
2018-05-18,46.56,48.0,45.4,46.84,18300,0,0.0
2018-05-21,46.8,47.44,45.54,46.72,11800,0,0.0
2018-05-22,47.04,47.12,45.2,46.2,14500,0,0.0
2018-05-23,45.96,47.2,45.28,46.24,25700,0,0.0
2018-05-24,46.52,47.82,45.2,45.84,23000,0,0.0
2018-05-25,45.52,45.96,45.0,45.08,5600,0,0.0
2018-05-29,45.0,46.4,41.44,45.4,22900,0,0.0
2018-05-30,45.56,46.88,44.56,45.8,56100,0,0.0
2018-05-31,46.8,53.92,45.6,49.24,86300,0,0.0
2018-06-01,50.04,52.0,48.0,50.0,101500,0,0.0
2018-06-04,50.0,53.14,49.36,50.56,55000,0,0.0
2018-06-05,50.4,54.72,49.68,53.2,112500,0,0.0
2018-06-06,53.6,56.96,50.0,51.4,151400,0,0.0
2018-06-07,51.08,54.1,48.0,49.64,98900,0,0.0
2018-06-08,49.6,52.18,49.6,51.88,76800,0,0.0
2018-06-11,52.0,54.84,51.08,51.92,96900,0,0.0
2018-06-12,51.92,54.62,50.04,51.0,134200,0,0.0
2018-06-13,50.88,51.6,46.48,47.36,106400,0,0.0
2018-06-14,47.76,50.72,47.4,48.28,59600,0,0.0
2018-06-15,48.36,54.08,48.02,51.48,127200,0,0.0
2018-06-18,51.32,54.94,51.32,53.32,84800,0,0.0
2018-06-19,52.8,62.6,50.24,57.96,182100,0,0.0
2018-06-20,58.96,64.8,57.68,62.28,45000,0,0.0
2018-06-21,61.56,62.96,53.32,55.32,79200,0,0.0
2018-06-22,56.24,57.96,53.32,56.36,150000,0,0.0
2018-06-25,56.16,60.44,54.84,59.04,81600,0,0.0
2018-06-26,59.08,59.08,56.08,56.36,25800,0,0.0
2018-06-27,55.64,58.4,55.64,56.48,37800,0,0.0
2018-06-28,56.32,57.1,54.18,56.48,29400,0,0.0
2018-06-29,56.8,58.88,54.12,57.4,66800,0,0.0
2018-07-02,56.92,59.58,56.52,58.36,11900,0,0.0
2018-07-03,58.56,59.9,58.0,58.88,7900,0,0.0
2018-07-05,59.2,61.2,58.2,59.6,73600,0,0.0
2018-07-06,60.0,60.84,56.64,58.8,135400,0,0.0
2018-07-09,58.92,60.48,58.56,59.64,79400,0,0.0
2018-07-10,57.68,59.88,57.68,59.12,47400,0,0.0
2018-07-11,58.8,60.0,57.44,59.44,73300,0,0.0
2018-07-12,59.88,62.0,59.36,61.28,101800,0,0.0
2018-07-13,61.16,65.88,60.6,64.64,21500,0,0.0
2018-07-16,65.36,66.04,58.56,60.2,28200,0,0.0
