Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-04-13,5.58,5.8,5.58,5.8,1200,0.0,0.0
2005-04-14,5.93,5.96,5.93,5.96,2000,0.0,0.0
2005-04-15,5.96,5.96,5.96,5.96,0,0.0,0.0
2005-04-18,5.96,5.96,5.96,5.96,0,0.0,0.0
2005-04-19,7.29,7.35,6.85,6.9,13600,0.0,0.0
2005-04-20,6.9,6.9,6.9,6.9,0,0.0,0.0
2005-04-21,6.9,6.9,6.9,6.9,0,0.0,0.0
2005-04-22,6.9,6.9,6.9,6.9,90000,0.0,0.0
2005-04-25,6.9,6.9,6.9,6.9,0,0.0,0.0
2005-04-26,6.9,6.9,6.9,6.9,0,0.0,0.0
2005-04-27,6.9,6.9,6.9,6.9,0,0.0,0.0
2005-04-28,6.9,6.9,6.9,6.9,0,0.0,0.0
2005-04-29,8.17,8.28,7.51,7.51,176000,0.0,0.0
2005-05-02,7.51,7.51,6.63,6.73,1230000,0.0,0.0
2005-05-03,6.73,6.73,6.73,6.73,0,0.0,0.0
2005-05-04,6.73,6.73,6.73,6.73,0,0.0,0.0
2005-05-05,6.73,6.73,6.73,6.73,0,0.0,0.0
2005-05-06,6.73,6.73,6.73,6.73,0,0.0,0.0
2005-05-09,6.63,6.63,6.41,6.41,2800,0.0,0.0
2005-05-10,6.41,6.41,6.41,6.41,0,0.0,0.0
2005-05-11,5.96,5.96,5.96,5.96,800,0.0,0.0
2005-05-12,6.19,6.19,6.19,6.19,6800,0.0,0.0
2005-05-13,6.19,6.42,6.17,6.37,1698000,0.0,0.0
2005-05-16,6.41,6.42,6.41,6.42,200000,0.0,0.0
2005-05-17,6.42,6.42,6.42,6.42,0,0.0,0.0
2005-05-18,6.32,6.32,6.32,6.32,1200,0.0,0.0
2005-05-19,6.17,6.19,6.17,6.17,50400,0.0,0.0
2005-05-20,6.19,6.19,6.19,6.19,2000,0.0,0.0
2005-05-23,6.19,6.19,6.19,6.19,0,0.0,0.0
2005-05-24,5.5,5.63,5.5,5.63,2000,0.0,0.0
2005-05-25,5.63,5.63,5.63,5.63,44400,0.0,0.0
2005-05-26,5.63,5.63,5.63,5.63,0,0.0,0.0
2005-05-27,5.63,5.63,5.63,5.63,0,0.0,0.0
2005-05-31,6.19,6.19,6.08,6.19,8800,0.0,0.0
2005-06-01,6.19,6.19,6.19,6.19,0,0.0,0.0
2005-06-02,6.19,6.19,6.19,6.19,0,0.0,0.0
2005-06-03,6.19,6.19,6.19,6.19,0,0.0,0.0
2005-06-06,6.19,6.19,6.19,6.19,0,0.0,0.0
2005-06-07,6.19,6.19,6.19,6.19,0,0.0,0.0
2005-06-08,6.19,6.19,6.19,6.19,0,0.0,0.0
2005-06-09,6.63,6.68,6.63,6.68,200000,0.0,0.0
2005-06-10,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-13,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-14,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-15,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-16,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-17,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-20,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-21,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-22,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-23,6.68,6.68,6.68,6.68,0,0.0,0.0
2005-06-24,5.74,6.41,5.74,6.41,3200,0.0,0.0
2005-06-27,5.96,6.24,5.74,5.74,16000,0.0,0.0
2005-06-28,5.74,5.74,5.74,5.74,0,0.0,0.0
2005-06-29,5.99,6.08,5.99,6.08,322000,0.0,0.0
2005-06-30,6.08,6.08,5.99,5.99,150000,0.0,0.0
2005-07-01,5.99,5.99,5.99,5.99,0,0.0,0.0
2005-07-05,5.96,5.96,5.96,5.96,90800,0.0,0.0
2005-07-06,5.96,5.96,5.96,5.96,100000,0.0,0.0
2005-07-07,5.96,5.96,5.96,5.96,0,0.0,0.0
2005-07-08,5.96,5.96,5.96,5.96,0,0.0,0.0
2005-07-11,5.96,5.96,5.96,5.96,0,0.0,0.0
2005-07-12,6.0,6.02,5.99,6.02,500000,0.0,0.0
2005-07-13,6.02,6.02,6.02,6.02,0,0.0,0.0
2005-07-14,6.02,6.02,6.02,6.02,0,0.0,0.0
2005-07-15,6.02,6.02,6.02,6.02,2000,0.0,0.0
2005-07-18,6.02,6.02,6.02,6.02,0,0.0,0.0
2005-07-19,5.96,5.96,5.96,5.96,400,0.0,0.0
2005-07-20,5.91,5.91,5.91,5.91,538000,0.0,0.0
2005-07-21,5.92,5.95,5.92,5.92,74400,0.0,0.0
2005-07-22,5.98,5.98,5.98,5.98,400,0.0,0.0
2005-07-25,5.96,5.97,5.96,5.97,1200,0.0,0.0
2005-07-26,5.97,5.97,5.97,5.97,0,0.0,0.0
2005-07-27,5.97,5.97,5.97,5.97,0,0.0,0.0
2005-07-28,5.97,5.97,5.97,5.97,0,0.0,0.0
2005-07-29,5.97,5.97,5.97,5.97,0,0.0,0.0
2005-08-01,5.97,5.97,5.97,5.97,0,0.0,0.0
2005-08-02,5.97,5.97,5.97,5.97,0,0.0,0.0
2005-08-03,5.99,5.99,5.99,5.99,2400,0.0,0.0
2005-08-04,5.99,5.99,5.99,5.99,0,0.0,0.0
2005-08-05,5.99,5.99,5.92,5.96,37200,0.0,0.0
2005-08-08,5.96,5.96,5.96,5.96,0,0.0,0.0
2005-08-09,5.96,5.96,5.96,5.96,0,0.0,0.0
2005-08-10,5.96,5.96,5.96,5.96,400,0.0,0.0
2005-08-11,5.96,5.96,5.96,5.96,800,0.0,0.0
2005-08-12,5.96,5.96,5.96,5.96,0,0.0,0.0
