Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09,7.52,7.78,7.43,7.74,1116800,0.0,0.0
1986-07-10,7.78,7.82,7.52,7.69,595600,0.0,0.0
1986-07-11,7.65,7.69,7.43,7.43,800400,0.0,0.0
1986-07-14,7.47,7.47,7.12,7.21,738000,0.0,0.0
1986-07-15,7.16,7.16,6.55,6.99,2059200,0.0,0.0
1986-07-16,6.99,7.38,6.99,7.12,1160400,0.0,0.0
1986-07-17,7.12,7.21,7.03,7.16,1046000,0.0,0.0
1986-07-18,7.16,7.27,7.03,7.21,1420000,0.0,0.0
1986-07-21,7.21,7.25,7.16,7.21,322800,0.0,0.0
1986-07-22,7.21,7.23,7.16,7.16,390800,0.0,0.0
1986-07-23,7.21,7.21,7.03,7.08,1004000,0.0,0.0
1986-07-24,7.08,7.12,6.9,6.99,1071600,0.0,0.0
1986-07-25,6.99,7.12,6.94,7.08,688400,0.0,0.0
1986-07-28,7.08,7.21,7.01,7.12,414800,0.0,0.0
1986-07-29,7.03,7.16,7.03,7.16,278400,0.0,0.0
1986-07-30,7.08,7.12,6.94,7.12,459200,0.0,0.0
1986-07-31,7.12,7.21,7.03,7.08,1213600,0.0,0.0
1986-08-01,7.03,7.12,6.86,6.86,1118000,0.0,0.0
1986-08-04,6.9,6.9,6.7,6.86,892400,0.0,0.0
1986-08-05,6.86,6.86,6.68,6.72,868800,0.0,0.0
1986-08-06,6.72,6.77,6.42,6.42,550400,0.0,0.0
1986-08-07,6.33,6.37,5.71,5.89,7560000,0.0,0.0
1986-08-08,5.93,6.28,5.89,6.24,2802000,0.0,0.0
1986-08-11,6.33,6.42,6.24,6.42,1428000,0.0,0.0
1986-08-12,6.42,6.64,6.42,6.59,1155200,0.0,0.0
1986-08-13,6.64,7.1,6.59,6.81,865600,0.0,0.0
1986-08-14,6.86,6.9,6.59,6.68,762000,0.0,0.0
1986-08-15,6.68,6.68,6.46,6.59,654400,0.0,0.0
1986-08-18,6.64,6.94,6.5,6.81,606800,0.0,0.0
1986-08-19,6.86,6.86,6.68,6.72,2744000,0.0,0.0
1986-08-20,6.72,6.72,6.59,6.68,500000,0.0,0.0
1986-08-21,6.68,6.72,6.64,6.64,353200,0.0,0.0
1986-08-22,6.68,6.72,6.59,6.59,286000,0.0,0.0
