Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-09,10.0,10.0,10.0,10.0,100,0,0
2020-12-10,10.3,10.3,10.15,10.15,7625700,0,0
2020-12-11,10.2,10.26,10.18,10.2,662000,0,0
2020-12-14,10.3,10.36,10.26,10.28,582900,0,0
2020-12-15,10.3,10.3,10.2,10.23,38200,0,0
2020-12-16,10.22,10.25,10.16,10.2,86900,0,0
2020-12-17,10.2,10.24,10.2,10.22,63300,0,0
2020-12-18,10.22,10.25,10.19,10.21,139400,0,0
2020-12-21,10.21,10.34,10.19,10.28,187600,0,0
2020-12-22,10.27,10.32,10.2,10.31,190700,0,0
2020-12-23,10.31,10.81,10.27,10.27,35300,0,0
2020-12-24,10.28,10.48,10.28,10.38,13000,0,0
2020-12-28,10.38,10.41,10.35,10.37,57400,0,0
2020-12-29,10.36,10.36,10.25,10.25,165700,0,0
2020-12-30,10.31,10.36,10.29,10.33,139000,0,0
2020-12-31,10.37,10.38,10.26,10.26,110900,0,0
2021-01-04,10.35,10.38,10.28,10.28,220000,0,0
2021-01-05,10.39,10.4,10.3,10.37,30900,0,0
2021-01-06,10.31,10.36,10.26,10.33,95300,0,0
2021-01-07,10.3,10.39,10.3,10.37,11200,0,0
2021-01-08,10.35,10.4,10.35,10.37,23600,0,0
2021-01-11,10.45,10.48,10.41,10.43,62600,0,0
2021-01-12,10.43,10.85,10.43,10.49,179300,0,0
2021-01-13,10.55,10.55,10.44,10.45,23000,0,0
2021-01-14,10.51,10.63,10.5,10.54,82500,0,0
2021-01-15,10.6,10.65,10.42,10.59,1348400,0,0
2021-01-19,10.65,10.84,10.59,10.75,424400,0,0
2021-01-20,10.61,10.81,10.55,10.74,584800,0,0
2021-01-21,10.79,10.82,10.64,10.78,200600,0,0
2021-01-22,10.85,10.87,10.74,10.85,325900,0,0
2021-01-25,10.84,10.95,10.79,10.82,130600,0,0
2021-01-26,10.8,10.9,10.46,10.56,370600,0,0
2021-01-27,10.51,10.55,10.3,10.35,473900,0,0
2021-01-28,10.39,10.62,10.39,10.42,137800,0,0
2021-01-29,10.48,10.56,10.47,10.52,69600,0,0
2021-02-01,10.53,10.88,10.53,10.69,114700,0,0
2021-02-02,10.73,10.9,10.73,10.85,85800,0,0
2021-02-03,10.89,10.9,10.82,10.83,59000,0,0
2021-02-04,10.93,10.93,10.73,10.85,45400,0,0
2021-02-05,10.72,10.95,10.72,10.86,90200,0,0
2021-02-08,10.95,10.98,10.82,10.9,60600,0,0
2021-02-09,10.87,10.92,10.8,10.86,125200,0,0
2021-02-10,10.87,10.87,10.65,10.75,325800,0,0
2021-02-11,10.8,10.81,10.74,10.75,66900,0,0
2021-02-12,10.94,10.94,10.63,10.63,263900,0,0
2021-02-16,10.65,10.84,10.65,10.76,193500,0,0
2021-02-17,10.8,10.89,10.71,10.89,43800,0,0
2021-02-18,10.81,11.15,10.74,11.08,113900,0,0
2021-02-19,10.95,11.11,10.89,10.9,262600,0,0
2021-02-22,10.95,11.0,10.82,10.85,88000,0,0
2021-02-23,10.84,10.89,10.6,10.76,216900,0,0
2021-02-24,10.75,10.84,10.61,10.7,64500,0,0
2021-02-25,10.73,10.8,10.52,10.58,352900,0,0
2021-02-26,10.55,10.71,10.37,10.5,100300,0,0
2021-03-01,10.58,10.59,10.55,10.56,110500,0,0
2021-03-02,10.51,10.51,10.28,10.43,190700,0,0
2021-03-03,10.31,10.36,10.3,10.32,18000,0,0
2021-03-04,10.25,10.25,9.96,10.14,56000,0,0
2021-03-05,10.12,10.45,10.07,10.27,76500,0,0
2021-03-08,10.2,10.25,10.13,10.23,7400,0,0
2021-03-09,10.36,10.37,10.23,10.23,4700,0,0
2021-03-10,10.29,10.3,10.29,10.3,300,0,0
2021-03-11,10.19,10.28,10.1,10.2,181000,0,0
2021-03-12,10.22,10.23,10.2,10.23,2200,0,0
2021-03-15,10.23,10.3,10.14,10.21,87200,0,0
2021-03-16,10.17,10.19,10.04,10.05,221900,0,0
2021-03-17,10.07,10.25,10.04,10.25,3200,0,0
2021-03-18,10.12,10.12,10.12,10.12,1100,0,0
2021-03-19,10.06,10.11,10.06,10.08,74600,0,0
2021-03-22,10.1,10.1,10.08,10.09,18300,0,0
2021-03-23,10.01,10.04,10.0,10.0,19700,0,0
2021-03-24,10.0,10.0,9.9,9.96,32300,0,0
2021-03-25,9.85,10.0,9.85,9.9,23800,0,0
2021-03-26,9.92,10.0,9.92,9.93,6000,0,0
2021-03-29,10.0,10.0,10.0,10.0,600,0,0
2021-03-30,10.0,10.09,10.0,10.09,6000,0,0
2021-03-31,10.1,10.1,10.06,10.06,2100,0,0
2021-04-01,10.03,10.1,10.03,10.1,5800,0,0
2021-04-05,10.1,10.1,10.01,10.09,9800,0,0
2021-04-06,10.1,10.1,9.97,10.09,22900,0,0
2021-04-07,10.15,10.15,10.15,10.15,100,0,0
2021-04-08,10.18,10.18,10.15,10.15,4300,0,0
2021-04-09,10.06,10.06,10.06,10.06,1000,0,0
2021-04-12,10.1,10.15,10.09,10.15,36000,0,0
2021-04-13,10.2,10.2,10.2,10.2,100,0,0
2021-04-14,10.2,10.27,10.12,10.12,15400,0,0
2021-04-15,10.15,10.15,10.08,10.08,5600,0,0
2021-04-16,10.08,10.1,10.08,10.08,15100,0,0
2021-04-19,10.08,10.13,10.07,10.13,10300,0,0
2021-04-20,10.13,10.13,10.06,10.06,8300,0,0
2021-04-21,10.05,10.05,10.01,10.01,700,0,0
2021-04-22,10.05,10.08,10.05,10.05,4000,0,0
2021-04-23,10.05,10.05,10.05,10.05,0,0,0
