Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.1,1.06,1.06,96000,0.0,0.0
1980-03-18,0.0,1.06,1.05,1.06,98400,0.0,0.0
1980-03-19,0.0,1.06,1.06,1.06,21600,0.0,0.0
1980-03-20,0.0,1.06,1.06,1.06,15600,0.0,0.0
1980-03-21,0.0,1.06,1.05,1.05,108000,0.0,0.0
1980-03-24,0.0,0.99,0.82,0.83,356400,0.0,0.0
1980-03-25,0.0,0.83,0.8,0.8,298800,0.0,0.0
1980-03-26,0.0,0.84,0.79,0.79,189600,0.0,0.0
1980-03-27,0.0,0.79,0.75,0.76,132000,0.0,0.0
1980-03-28,0.0,0.81,0.75,0.81,103200,0.0,0.0
1980-03-31,0.0,0.84,0.8,0.82,80400,0.0,0.0
1980-04-01,0.0,0.8,0.79,0.79,158400,0.0,0.0
1980-04-02,0.0,0.8,0.77,0.8,104400,0.0,0.0
1980-04-03,0.0,0.82,0.79,0.8,51600,0.0,0.0
1980-04-07,0.0,0.8,0.77,0.79,114000,0.0,0.0
1980-04-08,0.0,0.8,0.76,0.79,37200,0.0,0.0
1980-04-09,0.0,0.8,0.79,0.79,21600,0.0,0.0
1980-04-10,0.0,0.82,0.81,0.81,64800,0.0,0.0
1980-04-11,0.0,0.9,0.82,0.9,384000,0.0,0.0
1980-04-14,0.0,0.91,0.89,0.89,48000,0.0,0.0
1980-04-15,0.0,0.89,0.85,0.85,27600,0.0,0.0
1980-04-16,0.0,0.87,0.82,0.82,22800,0.0,0.0
1980-04-17,0.0,0.82,0.8,0.8,24000,0.0,0.0
1980-04-18,0.0,0.8,0.78,0.78,87600,0.0,0.0
1980-04-21,0.0,0.79,0.78,0.78,15600,0.0,0.0
1980-04-22,0.0,0.93,0.8,0.89,282000,0.0,0.0
1980-04-23,0.0,0.89,0.85,0.86,45600,0.0,0.0
1980-04-24,0.0,0.88,0.85,0.86,33600,0.0,0.0
1980-04-25,0.0,0.9,0.84,0.9,68400,0.0,0.0
1980-04-28,0.0,0.92,0.9,0.9,43200,0.0,0.0
1980-04-29,0.0,0.92,0.9,0.9,27600,0.0,0.0
1980-04-30,0.0,0.89,0.87,0.87,28800,0.0,0.0
1980-05-01,0.0,0.88,0.87,0.87,3600,0.0,0.0
1980-05-02,0.0,0.86,0.84,0.86,26400,0.0,0.0
1980-05-05,0.0,0.86,0.84,0.84,15600,0.0,0.0
1980-05-06,0.0,0.86,0.84,0.86,39600,0.0,0.0
1980-05-07,0.0,0.88,0.84,0.88,48000,0.0,0.0
1980-05-08,0.0,0.89,0.85,0.85,42000,0.0,0.0
1980-05-09,0.0,0.84,0.82,0.84,45600,0.0,0.0
1980-05-12,0.0,0.84,0.81,0.84,55200,0.0,0.0
1980-05-13,0.0,0.82,0.81,0.82,117600,0.0,0.0
1980-05-14,0.0,0.84,0.82,0.84,54000,0.0,0.0
1980-05-15,0.0,0.84,0.83,0.83,42000,0.0,0.0
1980-05-16,0.0,0.86,0.84,0.84,127200,0.0,0.0
1980-05-19,0.0,0.86,0.82,0.82,159600,0.0,0.0
1980-05-20,0.0,0.84,0.82,0.84,60000,0.0,0.0
1980-05-21,0.0,0.84,0.83,0.83,18000,0.0,0.0
1980-05-22,0.0,0.83,0.82,0.82,81600,0.0,0.0
1980-05-23,0.0,0.84,0.82,0.84,24000,0.0,0.0
1980-05-27,0.0,0.85,0.84,0.85,36000,0.0,0.0
1980-05-28,0.0,0.86,0.85,0.86,25200,0.0,0.0
1980-05-29,0.0,0.87,0.86,0.87,26400,0.0,0.0
1980-05-30,0.0,0.9,0.86,0.9,46800,0.0,0.0
1980-06-02,0.0,0.89,0.88,0.89,30000,0.0,0.0
1980-06-03,0.0,0.89,0.88,0.88,34800,0.0,0.0
1980-06-04,0.0,0.91,0.88,0.9,109200,0.0,0.0
1980-06-05,0.0,0.91,0.9,0.9,39600,0.0,0.0
1980-06-06,0.0,0.9,0.87,0.88,85200,0.0,0.0
1980-06-09,0.0,0.88,0.86,0.86,14400,0.0,0.0
1980-06-10,0.0,0.87,0.84,0.84,51600,0.0,0.0
1980-06-11,0.0,0.86,0.82,0.84,105600,0.0,0.0
1980-06-12,0.0,0.85,0.82,0.84,39600,0.0,0.0
1980-06-13,0.0,0.86,0.84,0.84,30000,0.0,0.0
1980-06-16,0.0,0.84,0.82,0.82,28800,0.0,0.0
1980-06-17,0.0,0.83,0.82,0.83,34800,0.0,0.0
1980-06-18,0.0,0.82,0.8,0.82,138000,0.0,0.0
1980-06-19,0.0,0.82,0.79,0.79,84000,0.0,0.0
1980-06-20,0.0,0.81,0.79,0.79,66000,0.0,0.0
1980-06-23,0.0,0.8,0.79,0.8,51600,0.0,0.0
1980-06-24,0.0,0.82,0.79,0.82,49200,0.0,0.0
1980-06-25,0.0,0.83,0.81,0.82,73200,0.0,0.0
1980-06-26,0.0,0.82,0.79,0.79,116400,0.0,0.0
1980-06-27,0.0,0.79,0.79,0.79,49200,0.0,0.0
1980-06-30,0.0,0.79,0.77,0.77,116400,0.0,0.0
1980-07-01,0.0,0.79,0.77,0.79,55200,0.0,0.0
1980-07-02,0.0,0.8,0.76,0.8,156000,0.0,0.0
1980-07-03,0.0,0.84,0.81,0.82,129600,0.0,0.0
1980-07-07,0.0,0.83,0.8,0.82,104400,0.0,0.0
1980-07-08,0.0,0.84,0.82,0.83,104400,0.0,0.0
1980-07-09,0.0,0.86,0.83,0.84,225600,0.0,0.0
1980-07-10,0.0,0.88,0.84,0.86,157200,0.0,0.0
1980-07-11,0.0,0.86,0.84,0.85,90000,0.0,0.0
1980-07-14,0.0,0.89,0.85,0.89,92400,0.0,0.0
1980-07-15,0.0,0.89,0.87,0.88,90000,0.0,0.0
1980-07-16,0.0,0.91,0.86,0.91,502800,0.0,0.0
1980-07-17,0.0,0.99,0.91,0.98,423600,0.0,0.0
1980-07-18,0.0,1.02,0.95,0.98,483600,0.0,0.0
1980-07-21,0.0,1.0,0.94,0.99,150000,0.0,0.0
1980-07-22,0.0,1.0,0.93,0.96,151200,0.0,0.0
1980-07-23,0.0,0.96,0.93,0.95,88800,0.0,0.0
1980-07-24,0.0,0.95,0.92,0.93,76800,0.0,0.0
1980-07-25,0.0,0.93,0.91,0.93,44400,0.0,0.0
1980-07-28,0.0,0.92,0.91,0.91,39600,0.0,0.0
1980-07-29,0.0,0.94,0.91,0.94,122400,0.0,0.0
1980-07-30,0.0,0.96,0.94,0.96,111600,0.0,0.0
1980-07-31,0.0,0.99,0.94,0.99,124800,0.0,0.0
1980-08-01,0.0,1.02,0.98,1.02,244800,0.0,0.0
1980-08-04,0.0,1.02,0.98,1.02,187200,0.0,0.0
1980-08-05,0.0,1.04,1.01,1.02,184800,0.0,0.0
1980-08-06,0.0,1.04,1.0,1.03,84000,0.0,0.0
1980-08-07,0.0,1.04,1.02,1.04,142800,0.0,0.0
1980-08-08,0.0,1.05,1.04,1.04,166800,0.0,0.0
1980-08-11,0.0,1.04,1.0,1.02,118800,0.0,0.0
1980-08-12,0.0,1.02,0.99,0.99,111600,0.0,0.0
1980-08-13,0.0,0.99,0.96,0.97,68400,0.0,0.0
