Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-05-19,250.81,271.34,250.81,268.98,80017,0.0,0.0
2014-05-20,266.62,271.93,254.24,261.43,86133,0.0,0.0
2014-05-21,271.34,271.34,255.41,257.89,104408,0.0,0.0
2014-05-22,257.89,257.89,257.89,257.89,0,0.0,0.0
2014-05-23,259.54,261.67,256.0,259.07,56200,0.0,0.0
2014-05-27,259.54,261.31,254.94,259.78,24133,0.0,0.0
2014-05-28,261.2,265.21,254.94,264.38,37200,0.0,0.0
2014-05-29,265.44,271.58,264.03,270.04,36392,0.0,0.0
2014-05-30,269.69,278.77,247.75,272.05,268025,0.0,0.0
2014-06-02,268.86,290.1,264.97,274.29,129367,0.0,0.0
2014-06-03,273.7,293.64,269.34,272.52,315842,0.0,0.0
2014-06-04,273.23,277.36,266.39,269.45,188392,0.0,0.0
2014-06-05,269.81,274.64,266.62,267.45,147350,0.0,0.0
2014-06-06,267.45,274.17,264.97,268.39,204017,0.0,0.0
2014-06-09,268.39,279.36,267.21,270.87,172767,0.0,0.0
2014-06-10,276.41,283.02,269.34,279.01,243558,0.0,0.0
2014-06-11,279.36,300.25,274.41,293.17,167308,0.0,0.0
2014-06-12,294.11,310.63,293.17,304.02,172900,0.0,0.0
2014-06-13,303.43,321.36,300.84,319.0,114133,0.0,0.0
2014-06-16,319.24,335.05,318.89,330.33,176850,0.0,0.0
2014-06-17,330.21,334.69,308.8,316.05,209392,0.0,0.0
2014-06-18,312.51,315.94,301.78,311.57,159292,0.0,0.0
2014-06-19,311.33,315.94,300.84,304.49,167592,0.0,0.0
2014-06-20,303.78,312.57,296.35,297.89,244950,0.0,0.0
2014-06-23,297.18,301.54,291.4,300.01,115367,0.0,0.0
2014-06-24,300.48,303.08,296.12,297.3,104100,0.0,0.0
2014-06-25,295.29,304.61,294.35,297.77,155508,0.0,0.0
2014-06-26,297.65,304.37,293.17,300.25,81317,0.0,0.0
2014-06-27,298.59,310.16,297.23,306.85,636792,0.0,0.0
2014-06-30,307.09,307.68,293.99,295.29,118808,0.0,0.0
2014-07-01,294.94,312.87,294.94,306.26,159692,0.0,0.0
2014-07-02,304.61,317.71,301.78,313.22,74758,0.0,0.0
2014-07-03,313.69,323.13,311.45,320.54,27208,0.0,0.0
2014-07-07,319.71,332.57,317.23,319.12,101000,0.0,0.0
2014-07-08,319.95,320.89,314.4,319.12,218092,0.0,0.0
2014-07-09,320.89,326.55,314.99,323.84,60208,0.0,0.0
2014-07-10,317.71,320.54,313.58,314.52,79450,0.0,0.0
2014-07-11,313.58,319.36,312.63,316.53,60808,0.0,0.0
2014-07-14,319.59,320.18,312.63,314.17,90650,0.0,0.0
2014-07-15,312.87,315.7,307.09,314.87,40142,0.0,0.0
2014-07-16,315.58,315.58,307.91,310.16,55150,0.0,0.0
2014-07-17,308.5,311.92,298.36,299.18,67817,0.0,0.0
2014-07-18,298.36,308.74,297.89,303.55,62108,0.0,0.0
2014-07-21,304.14,304.26,296.59,300.36,50567,0.0,0.0
2014-07-22,302.49,304.02,299.3,301.07,32167,0.0,0.0
2014-07-23,301.07,302.72,296.47,301.9,39450,0.0,0.0
2014-07-24,303.19,303.19,298.0,299.42,42292,0.0,0.0
2014-07-25,297.3,300.6,293.76,298.59,48575,0.0,0.0
2014-07-28,299.77,311.45,294.11,309.09,116567,0.0,0.0
2014-07-29,308.62,310.51,303.31,306.38,76025,0.0,0.0
2014-07-30,308.39,312.04,304.61,307.32,87608,0.0,0.0
2014-07-31,304.49,305.79,294.23,299.66,121250,0.0,0.0
2014-08-01,300.36,305.44,295.05,302.01,199125,0.0,0.0
2014-08-04,302.37,305.67,297.89,303.08,231425,0.0,0.0
2014-08-05,300.72,304.85,295.41,299.18,95533,0.0,0.0
2014-08-06,296.94,303.67,281.49,289.63,238483,0.0,0.0
2014-08-07,289.98,296.47,287.5,294.35,85033,0.0,0.0
2014-08-08,293.76,301.54,291.87,299.07,137483,0.0,0.0
2014-08-11,300.72,302.49,295.76,300.72,66700,0.0,0.0
2014-08-12,298.95,302.72,294.58,295.76,39767,0.0,0.0
2014-08-13,295.41,309.99,295.41,305.49,133475,1.56,0.0
2014-08-14,305.01,306.79,289.0,290.54,82758,0.0,0.0
2014-08-15,293.39,294.1,286.16,290.78,119575,0.0,0.0
2014-08-18,293.39,303.47,290.54,296.24,141850,0.0,0.0
2014-08-19,296.83,296.83,292.56,294.69,56742,0.0,0.0
2014-08-20,293.27,296.0,291.84,294.1,86692,0.0,0.0
2014-08-21,295.05,304.42,294.22,301.93,79558,0.0,0.0
2014-08-22,301.93,303.0,297.54,297.66,28800,0.0,0.0
2014-08-25,299.44,302.17,295.53,296.36,30717,0.0,0.0
2014-08-26,296.71,299.02,296.24,296.71,28575,0.0,0.0
2014-08-27,297.66,298.85,295.41,296.59,20425,0.0,0.0
2014-08-28,294.81,302.05,294.22,299.08,32308,0.0,0.0
2014-08-29,299.08,301.57,296.24,301.34,26925,0.0,0.0
2014-09-02,303.0,304.42,297.72,302.28,96342,0.0,0.0
2014-09-03,302.17,309.87,297.3,298.02,106717,0.0,0.0
2014-09-04,297.9,299.56,293.75,295.53,72300,0.0,0.0
2014-09-05,294.46,298.61,292.09,296.59,55692,0.0,0.0
2014-09-08,297.07,302.28,296.83,301.1,59617,0.0,0.0
2014-09-09,300.03,300.15,294.34,294.58,53617,0.0,0.0
2014-09-10,294.46,298.37,290.54,297.78,37158,0.0,0.0
2014-09-11,296.24,300.51,295.41,298.73,59275,0.0,0.0
2014-09-12,298.73,299.44,293.03,296.47,55817,0.0,0.0
2014-09-15,297.19,297.78,293.27,294.93,36000,0.0,0.0
2014-09-16,293.86,298.96,292.32,293.98,49158,0.0,0.0
2014-09-17,293.15,299.56,293.15,294.58,68792,0.0,0.0
2014-09-18,295.88,306.08,294.81,302.64,57367,0.0,0.0
2014-09-19,305.37,309.76,299.08,300.74,113425,0.0,0.0
2014-09-22,299.56,300.74,291.14,293.98,75042,0.0,0.0
2014-09-23,293.51,296.12,289.95,289.95,70083,0.0,0.0
2014-09-24,290.66,301.34,286.87,295.53,130592,0.0,0.0
2014-09-25,294.1,297.66,287.11,296.12,80158,0.0,0.0
2014-09-26,298.25,304.06,290.66,302.05,151150,0.0,0.0
2014-09-29,182.03,183.81,151.32,152.27,1849283,0.0,0.0
2014-09-30,151.91,157.13,137.56,137.68,926808,0.0,0.0
2014-10-01,140.41,151.2,139.94,148.47,652742,0.0,0.0
2014-10-02,147.76,151.2,143.49,148.95,163242,0.0,0.0
2014-10-03,149.3,154.88,147.05,154.28,211975,0.0,0.0
2014-10-06,154.4,158.08,149.19,157.13,216400,0.0,0.0
2014-10-07,155.47,155.71,149.3,150.13,270933,0.0,0.0
2014-10-08,149.9,151.79,146.93,151.32,215525,0.0,0.0
2014-10-09,150.61,151.56,144.68,145.39,123850,0.0,0.0
2014-10-10,150.25,155.83,143.14,147.76,335467,0.0,0.0
2014-10-13,149.54,152.86,144.62,147.76,117650,0.0,0.0
2014-10-14,148.12,148.12,142.54,144.32,160925,0.0,0.0
2014-10-15,142.19,153.1,137.92,150.73,163975,0.0,0.0
2014-10-16,147.53,150.13,142.9,147.05,183417,0.0,0.0
2014-10-17,148.71,150.25,143.14,143.97,99958,0.0,0.0
2014-10-20,144.56,146.7,141.71,143.02,93000,0.0,0.0
2014-10-21,143.37,149.9,143.14,146.46,137617,0.0,0.0
2014-10-22,147.17,151.2,145.75,148.24,76708,0.0,0.0
2014-10-23,150.61,156.18,150.02,151.32,190517,0.0,0.0
2014-10-24,152.27,153.91,145.51,146.46,92275,0.0,0.0
2014-10-27,146.58,148.24,142.66,144.2,119092,0.0,0.0
2014-10-28,144.92,148.95,143.26,148.12,102925,0.0,0.0
2014-10-29,148.12,148.95,142.43,143.02,120442,0.0,0.0
2014-10-30,143.61,145.63,142.43,144.68,107025,0.0,0.0
2014-10-31,147.76,148.24,142.66,144.56,107433,0.0,0.0
2014-11-03,144.2,145.39,138.04,138.75,119300,0.0,0.0
2014-11-04,138.75,139.7,130.45,130.8,119275,0.0,0.0
2014-11-05,132.35,138.28,132.35,137.56,152242,0.0,0.0
2014-11-06,139.7,141.71,128.97,130.21,219517,0.0,0.0
2014-11-07,131.16,132.46,125.7,130.33,235367,0.0,0.0
2014-11-10,130.57,134.24,123.87,128.2,155758,0.0,0.0
2014-11-11,128.2,130.09,125.53,129.97,90500,0.0,0.0
2014-11-12,129.62,131.75,127.01,131.16,99567,0.0,0.0
2014-11-13,129.6,131.52,123.6,126.0,127108,1.56,0.0
2014-11-14,126.6,130.8,123.96,127.68,87783,0.0,0.0
2014-11-17,127.44,129.0,125.52,125.64,80817,0.0,0.0
2014-11-18,125.4,127.08,122.64,122.88,136942,0.0,0.0
