Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-06-09,10.96,11.52,10.71,11.22,7867662,0.0,0.0
2000-06-12,11.11,11.99,11.06,11.83,1204676,0.0,0.0
2000-06-13,11.88,11.93,11.27,11.63,594715,0.0,0.0
2000-06-14,11.37,11.58,11.32,11.47,605363,0.0,0.0
2000-06-15,11.37,11.73,11.37,11.52,517880,0.0,0.0
2000-06-16,11.47,11.63,11.47,11.52,155606,0.0,0.0
2000-06-19,11.73,12.45,11.68,12.34,1053184,0.0,0.0
2000-06-20,12.34,12.81,12.29,12.75,678568,0.0,0.0
2000-06-21,12.65,13.06,12.29,12.5,376552,0.0,0.0
2000-06-22,12.91,13.01,12.5,12.6,287980,0.0,0.0
2000-06-23,12.5,12.5,11.93,12.19,182105,0.0,0.0
2000-06-26,12.14,12.91,11.93,12.75,339889,0.0,0.0
2000-06-27,12.55,13.37,12.55,13.01,470327,0.0,0.0
2000-06-28,13.01,13.32,12.86,13.01,434874,0.0,0.0
2000-06-29,12.91,12.91,12.6,12.7,319440,0.0,0.0
2000-06-30,12.7,13.27,12.4,13.27,279631,0.0,0.0
2000-07-03,13.11,13.11,12.91,12.96,47795,0.0,0.0
2000-07-05,12.81,13.93,12.81,13.27,595925,0.0,0.0
2000-07-06,13.27,13.47,13.01,13.21,84458,0.0,0.0
2000-07-07,13.21,13.52,13.11,13.42,286165,0.0,0.0
2000-07-10,13.27,14.09,13.11,13.78,522841,0.0,0.0
2000-07-11,13.83,13.93,13.42,13.93,229053,0.0,0.0
2000-07-12,14.24,15.98,13.98,14.55,983125,0.0,0.0
2000-07-13,14.65,15.52,14.39,15.26,91234,0.0,0.0
2000-07-14,15.26,15.26,14.75,14.75,128381,0.0,0.0
2000-07-17,14.75,15.01,14.6,14.91,67518,0.0,0.0
2000-07-18,14.85,15.06,13.01,14.96,278905,0.0,0.0
2000-07-19,14.75,14.75,13.93,14.14,56991,0.0,0.0
2000-07-20,14.14,14.24,13.83,13.83,76351,0.0,0.0
2000-07-21,14.03,14.55,14.03,14.34,140239,0.0,0.0
2000-07-24,14.34,14.5,14.34,14.5,63525,0.0,0.0
2000-07-25,14.75,14.75,14.39,14.39,49126,0.0,0.0
2000-07-26,14.39,15.37,14.03,15.16,199166,0.0,0.0
2000-07-27,14.96,14.96,14.34,14.55,134431,0.0,0.0
2000-07-28,14.75,14.75,14.24,14.24,69817,0.0,0.0
2000-07-31,14.24,14.24,13.73,14.14,61105,0.0,0.0
2000-08-01,14.14,15.16,14.14,14.85,279389,0.0,0.0
2000-08-02,14.85,15.06,14.8,14.91,148709,0.0,0.0
2000-08-03,14.75,15.47,14.75,15.42,297902,0.0,0.0
2000-08-04,15.42,15.67,15.31,15.57,49126,0.0,0.0
2000-08-07,15.57,16.24,15.57,15.98,133584,0.0,0.0
2000-08-08,15.98,16.6,15.98,16.44,30976,0.0,0.0
2000-08-09,16.6,17.31,16.39,17.06,146894,0.0,0.0
2000-08-10,16.9,17.82,16.39,16.6,402809,0.0,0.0
2000-08-11,16.49,16.8,16.08,16.49,153186,0.0,0.0
2000-08-14,16.39,17.01,16.39,16.7,157421,0.0,0.0
2000-08-15,16.8,16.9,16.49,16.65,103939,0.0,0.0
2000-08-16,16.49,16.49,15.72,15.72,73810,0.0,0.0
