Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.48,0.47,0.47,26400,0.0,0.0
1980-03-18,0.47,0.47,0.47,0.47,0,0.0,0.0
1980-03-19,0.47,0.47,0.47,0.47,0,0.0,0.0
1980-03-20,0.0,0.48,0.47,0.48,24000,0.0,0.0
1980-03-21,0.48,0.48,0.48,0.48,0,0.0,0.0
1980-03-24,0.48,0.48,0.48,0.48,0,0.0,0.0
1980-03-25,0.48,0.48,0.48,0.48,0,0.0,0.0
1980-03-26,0.0,0.47,0.46,0.46,9600,0.0,0.0
1980-03-27,0.0,0.45,0.45,0.45,2400,0.0,0.0
1980-03-28,0.0,0.45,0.45,0.45,2400,0.0,0.0
1980-03-31,0.0,0.45,0.44,0.44,12000,0.0,0.0
1980-04-01,0.0,0.44,0.42,0.42,14400,0.0,0.0
1980-04-02,0.0,0.42,0.41,0.41,9600,0.0,0.0
1980-04-03,0.0,0.41,0.4,0.41,16800,0.0,0.0
1980-04-07,0.41,0.41,0.41,0.41,0,0.0,0.0
1980-04-08,0.0,0.42,0.42,0.42,2400,0.0,0.0
1980-04-09,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-04-10,0.0,0.41,0.41,0.41,2400,0.0,0.0
1980-04-11,0.41,0.41,0.41,0.41,0,0.0,0.0
1980-04-14,0.0,0.41,0.4,0.4,4800,0.0,0.0
1980-04-15,0.4,0.4,0.4,0.4,0,0.0,0.0
1980-04-16,0.0,0.41,0.4,0.41,7200,0.0,0.0
1980-04-17,0.0,0.42,0.41,0.42,24000,0.0,0.0
1980-04-18,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-04-21,0.0,0.42,0.42,0.42,21600,0.0,0.0
1980-04-22,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-04-23,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-04-24,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-04-25,0.0,0.42,0.42,0.42,2400,0.0,0.0
1980-04-28,0.0,0.42,0.42,0.42,7200,0.0,0.0
1980-04-29,0.0,0.42,0.42,0.42,7200,0.0,0.0
1980-04-30,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-05-01,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-05-02,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-05-05,0.0,0.42,0.42,0.42,2400,0.0,0.0
1980-05-06,0.42,0.42,0.42,0.42,0,0.0,0.0
1980-05-07,0.0,0.42,0.42,0.42,2400,0.0,0.0
