Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1978-12-29,0.0,0.05,0.05,0.05,654224,0.0,0.0
1979-01-02,0.05,0.05,0.05,0.05,0,0.0,0.0
1979-01-03,0.0,0.06,0.06,0.06,168832,0.0,0.0
1979-01-04,0.0,0.06,0.06,0.06,177274,0.0,0.0
1979-01-05,0.0,0.06,0.06,0.06,333443,0.0,0.0
1979-01-08,0.0,0.06,0.06,0.06,299677,0.0,0.0
1979-01-09,0.0,0.06,0.06,0.06,818835,0.0,0.0
1979-01-10,0.0,0.06,0.06,0.06,502275,0.0,0.0
1979-01-11,0.0,0.06,0.06,0.06,143507,0.0,0.0
1979-01-12,0.0,0.06,0.06,0.06,582470,0.0,0.0
1979-01-15,0.0,0.06,0.06,0.06,194157,0.0,0.0
1979-01-16,0.0,0.06,0.06,0.06,447405,0.0,0.0
1979-01-17,0.0,0.06,0.06,0.06,177274,0.0,0.0
1979-01-18,0.0,0.06,0.06,0.06,88637,0.0,0.0
1979-01-19,0.0,0.06,0.06,0.06,624678,0.0,0.0
1979-01-22,0.0,0.06,0.06,0.06,590912,0.0,0.0
1979-01-23,0.0,0.06,0.06,0.06,54870,0.0,0.0
1979-01-24,0.0,0.06,0.06,0.06,388314,0.0,0.0
1979-01-25,0.0,0.06,0.06,0.06,173053,0.0,0.0
1979-01-26,0.0,0.06,0.06,0.06,160390,0.0,0.0
1979-01-29,0.0,0.06,0.06,0.06,189936,0.0,0.0
1979-01-30,0.0,0.06,0.06,0.06,156170,0.0,0.0
1979-01-31,0.0,0.06,0.06,0.06,240586,0.0,0.0
1979-02-01,0.0,0.06,0.06,0.06,362989,0.0,0.0
1979-02-02,0.0,0.06,0.05,0.05,122403,0.0,0.0
1979-02-05,0.0,0.06,0.05,0.05,173053,0.0,0.0
1979-02-06,0.0,0.06,0.05,0.05,88637,0.0,0.0
1979-02-07,0.0,0.05,0.05,0.05,143507,0.0,0.0
1979-02-08,0.0,0.05,0.05,0.05,181494,0.0,0.0
1979-02-09,0.0,0.05,0.05,0.05,215261,0.0,0.0
1979-02-12,0.0,0.06,0.05,0.06,650003,0.0,0.0
1979-02-13,0.0,0.06,0.05,0.06,430522,0.0,0.0
1979-02-14,0.0,0.06,0.05,0.05,156170,0.0,0.0
1979-02-15,0.0,0.06,0.05,0.06,101299,0.0,0.0
1979-02-16,0.0,0.06,0.06,0.06,312339,0.0,0.0
1979-02-20,0.0,0.06,0.05,0.06,181494,0.0,0.0
1979-02-21,0.0,0.06,0.05,0.06,384093,0.0,0.0
1979-02-22,0.0,0.06,0.06,0.06,928576,0.0,0.0
1979-02-23,0.0,0.07,0.06,0.06,1000330,0.0,0.0
1979-02-26,0.0,0.06,0.06,0.06,253248,0.0,0.0
1979-02-27,0.0,0.06,0.06,0.06,498054,0.0,0.0
1979-02-28,0.0,0.07,0.06,0.06,991888,0.0,0.0
1979-03-01,0.0,0.07,0.07,0.07,249027,0.0,0.0
1979-03-02,0.0,0.06,0.06,0.06,274352,0.0,0.0
1979-03-05,0.0,0.06,0.06,0.06,223702,0.0,0.0
1979-03-06,0.0,0.06,0.06,0.06,156170,0.0,0.0
1979-03-07,0.0,0.07,0.06,0.07,282794,0.0,0.0
1979-03-08,0.0,0.07,0.06,0.07,1836048,0.0,0.0
1979-03-09,0.0,0.07,0.07,0.07,886368,0.0,0.0
1979-03-12,0.0,0.07,0.07,0.07,1599683,0.0,0.0
1979-03-13,0.0,0.07,0.07,0.07,552925,0.0,0.0
1979-03-14,0.0,0.07,0.07,0.07,485392,0.0,0.0
1979-03-15,0.0,0.07,0.07,0.07,177274,0.0,0.0
1979-03-16,0.0,0.07,0.07,0.07,1059421,0.0,0.0
1979-03-19,0.0,0.07,0.07,0.07,1034096,0.0,0.0
1979-03-20,0.0,0.07,0.07,0.07,519158,0.0,0.0
1979-03-21,0.0,0.08,0.07,0.08,1253578,0.0,0.0
1979-03-22,0.0,0.08,0.08,0.08,1063642,0.0,0.0
1979-03-23,0.0,0.08,0.07,0.07,460067,0.0,0.0
1979-03-26,0.0,0.07,0.07,0.07,434742,0.0,0.0
1979-03-27,0.0,0.07,0.07,0.07,569808,0.0,0.0
1979-03-28,0.0,0.07,0.07,0.07,303898,0.0,0.0
1979-03-29,0.0,0.07,0.07,0.07,173053,0.0,0.0
1979-03-30,0.0,0.07,0.07,0.07,346106,0.0,0.0
1979-04-02,0.0,0.07,0.07,0.07,371430,0.0,0.0
1979-04-03,0.0,0.08,0.07,0.08,2296115,0.0,0.0
1979-04-04,0.0,0.09,0.08,0.09,2275011,0.0,0.0
1979-04-05,0.0,0.09,0.08,0.09,4642880,0.0,0.0
1979-04-06,0.0,0.09,0.08,0.08,1549034,0.0,0.0
1979-04-09,0.0,0.09,0.08,0.08,1439293,0.0,0.0
1979-04-10,0.0,0.09,0.08,0.08,1046758,0.0,0.0
1979-04-11,0.0,0.09,0.08,0.08,540262,0.0,0.0
1979-04-12,0.0,0.08,0.08,0.08,945459,0.0,0.0
1979-04-16,0.0,0.08,0.07,0.08,738640,0.0,0.0
1979-04-17,0.0,0.08,0.08,0.08,1173382,0.0,0.0
1979-04-18,0.0,0.08,0.08,0.08,299677,0.0,0.0
1979-04-19,0.0,0.08,0.07,0.07,434742,0.0,0.0
1979-04-20,0.0,0.07,0.07,0.07,211040,0.0,0.0
1979-04-23,0.0,0.08,0.07,0.07,185715,0.0,0.0
1979-04-24,0.0,0.07,0.07,0.07,194157,0.0,0.0
1979-04-25,0.0,0.07,0.07,0.07,12662,0.0,0.0
1979-04-26,0.0,0.07,0.07,0.07,122403,0.0,0.0
1979-04-27,0.0,0.07,0.07,0.07,447405,0.0,0.0
1979-04-30,0.0,0.07,0.07,0.07,413638,0.0,0.0
1979-05-01,0.0,0.07,0.07,0.07,198378,0.0,0.0
1979-05-02,0.0,0.07,0.07,0.07,574029,0.0,0.0
1979-05-03,0.0,0.07,0.07,0.07,194157,0.0,0.0
1979-05-04,0.0,0.07,0.07,0.07,278573,0.0,0.0
1979-05-07,0.0,0.07,0.07,0.07,350326,0.0,0.0
1979-05-08,0.0,0.06,0.06,0.06,654224,0.0,0.0
1979-05-09,0.0,0.07,0.06,0.07,848381,0.0,0.0
1979-05-10,0.0,0.07,0.06,0.06,371430,0.0,0.0
1979-05-11,0.0,0.07,0.06,0.07,907472,0.0,0.0
1979-05-14,0.0,0.07,0.07,0.07,455846,0.0,0.0
1979-05-15,0.0,0.07,0.07,0.07,105520,0.0,0.0
1979-05-16,0.0,0.07,0.07,0.07,122403,0.0,0.0
1979-05-17,0.0,0.07,0.07,0.07,493834,0.0,0.0
1979-05-18,0.0,0.07,0.07,0.07,223702,0.0,0.0
1979-05-21,0.0,0.07,0.07,0.07,232144,0.0,0.0
1979-05-22,0.0,0.07,0.07,0.07,80195,0.0,0.0
1979-05-23,0.0,0.07,0.07,0.07,371430,0.0,0.0
1979-05-24,0.0,0.07,0.07,0.07,261690,0.0,0.0
1979-05-25,0.0,0.09,0.07,0.08,1667216,0.0,0.0
1979-05-29,0.0,0.08,0.08,0.08,1135395,0.0,0.0
1979-05-30,0.0,0.08,0.07,0.07,607795,0.0,0.0
1979-05-31,0.0,0.07,0.07,0.07,510717,0.0,0.0
1979-06-01,0.0,0.07,0.07,0.07,206819,0.0,0.0
1979-06-04,0.0,0.08,0.07,0.07,742861,0.0,0.0
1979-06-05,0.0,0.08,0.07,0.08,1072083,0.0,0.0
1979-06-06,0.0,0.08,0.08,0.08,721757,0.0,0.0
1979-06-07,0.0,0.08,0.07,0.08,552925,0.0,0.0
1979-06-08,0.0,0.08,0.07,0.08,485392,0.0,0.0
1979-06-11,0.0,0.08,0.08,0.08,557146,0.0,0.0
1979-06-12,0.0,0.08,0.08,0.08,409418,0.0,0.0
1979-06-13,0.0,0.08,0.08,0.08,709094,0.0,0.0
1979-06-14,0.0,0.09,0.08,0.09,2490272,0.0,0.0
1979-06-15,0.0,0.09,0.08,0.09,683770,0.0,0.0
1979-06-18,0.0,0.08,0.08,0.08,932797,0.0,0.0
1979-06-19,0.0,0.08,0.08,0.08,422080,0.0,0.0
1979-06-20,0.0,0.08,0.08,0.08,696432,0.0,0.0
1979-06-21,0.0,0.09,0.08,0.08,1000330,0.0,0.0
1979-06-22,0.0,0.08,0.08,0.08,510717,0.0,0.0
1979-06-25,0.0,0.08,0.08,0.08,468509,0.0,0.0
1979-06-26,0.0,0.08,0.08,0.08,1291565,0.0,0.0
1979-06-27,0.0,0.09,0.08,0.08,223702,0.0,0.0
