Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-05-09,3.31,3.63,3.31,3.54,2629200,0.0,0.0
1995-05-10,3.63,3.85,3.63,3.76,4705800,0.0,0.0
1995-05-11,3.76,3.9,3.76,3.85,3039000,0.0,0.0
1995-05-12,3.85,3.9,3.81,3.81,1584800,0.0,0.0
1995-05-15,3.81,3.85,3.81,3.81,1119300,0.0,0.0
1995-05-16,3.81,3.85,3.76,3.81,1203800,0.0,0.0
1995-05-17,3.81,3.81,3.67,3.72,1458800,0.0,0.0
1995-05-18,3.72,3.81,3.72,3.76,420200,0.0,0.0
1995-05-19,3.81,3.81,3.72,3.76,414400,0.0,0.0
1995-05-22,3.94,4.12,3.9,4.03,1283800,0.0,0.0
1995-05-23,3.99,4.12,3.94,4.08,1303500,0.0,0.0
1995-05-24,4.08,4.08,3.99,3.99,989700,0.0,0.0
1995-05-25,3.99,3.99,3.85,3.9,510500,0.0,0.0
1995-05-26,3.94,3.94,3.9,3.94,613600,0.0,0.0
1995-05-30,3.9,4.12,3.81,4.03,1501500,0.0,0.0
1995-05-31,3.94,4.08,3.9,3.99,2193900,0.0,0.0
1995-06-01,3.94,3.99,3.85,3.94,1504500,0.0,0.0
1995-06-02,3.9,3.94,3.85,3.9,834600,0.0,0.0
1995-06-05,3.9,4.03,3.85,3.99,3204000,0.0,0.0
1995-06-06,3.94,4.03,3.94,3.99,2015100,0.0,0.0
1995-06-07,3.99,4.08,3.94,3.99,1190000,0.0,0.0
1995-06-08,3.99,4.12,3.99,4.03,1448100,0.0,0.0
1995-06-09,3.99,4.08,3.99,3.99,1782800,0.0,0.0
1995-06-12,4.03,4.03,3.99,3.99,2554600,0.0,0.0
1995-06-13,3.94,4.03,3.94,4.03,1734400,0.0,0.0
1995-06-14,3.99,4.08,3.99,4.03,1136100,0.0,0.0
1995-06-15,4.03,4.17,4.03,4.08,1744800,0.0,0.0
1995-06-16,4.08,4.12,4.03,4.03,1245500,0.0,0.0
1995-06-19,4.03,4.12,3.99,4.12,1539000,0.0,0.0
1995-06-20,4.08,4.17,4.03,4.08,2288200,0.0,0.0
1995-06-21,4.08,4.08,3.94,3.94,1784200,0.0,0.0
1995-06-22,3.94,3.99,3.85,3.9,2418000,0.0,0.0
1995-06-23,3.94,4.08,3.94,3.94,1266300,0.0,0.0
1995-06-26,3.94,4.03,3.9,3.9,1429800,0.0,0.0
1995-06-27,3.9,4.08,3.9,4.03,1263800,0.0,0.0
1995-06-28,3.94,4.08,3.94,4.08,1961000,0.0,0.0
1995-06-29,3.99,4.12,3.99,4.03,1098100,0.0,0.0
1995-06-30,4.08,4.08,3.94,3.94,1102100,0.0,0.0
1995-07-03,3.9,3.99,3.9,3.99,299800,0.0,0.0
1995-07-05,3.94,4.08,3.94,4.03,938400,0.0,0.0
1995-07-06,4.03,4.08,3.94,3.94,1517000,0.0,0.0
1995-07-07,3.94,4.08,3.85,4.03,1615700,0.0,0.0
1995-07-10,3.99,4.03,3.9,3.9,627200,0.0,0.0
1995-07-11,3.85,3.99,3.85,3.9,1358800,0.0,0.0
1995-07-12,3.9,3.9,3.81,3.81,1030300,0.0,0.0
1995-07-13,3.76,3.81,3.67,3.81,2453700,0.0,0.0
1995-07-14,3.72,3.81,3.67,3.81,1149900,0.0,0.0
1995-07-17,3.81,3.85,3.76,3.76,947400,0.0,0.0
1995-07-18,3.76,3.85,3.76,3.81,4018000,0.0,0.0
1995-07-19,3.81,3.81,3.72,3.76,1287700,0.0,0.0
1995-07-20,3.76,3.81,3.72,3.76,1097100,0.0,0.0
1995-07-21,3.76,3.81,3.72,3.76,959900,0.0,0.0
1995-07-24,3.72,3.9,3.72,3.85,1604300,0.0,0.0
1995-07-25,3.81,3.94,3.81,3.85,898000,0.0,0.0
1995-07-26,3.85,3.9,3.81,3.9,1296200,0.0,0.0
1995-07-27,3.85,3.99,3.85,3.94,1643900,0.0,0.0
1995-07-28,3.9,3.94,3.85,3.85,651700,0.0,0.0
1995-07-31,3.85,3.94,3.85,3.94,731700,0.0,0.0
1995-08-01,3.9,3.9,3.81,3.81,1008500,0.0,0.0
1995-08-02,3.81,3.9,3.81,3.81,1249400,0.0,0.0
1995-08-03,3.81,3.85,3.81,3.81,979900,0.0,0.0
1995-08-04,3.81,3.85,3.72,3.72,1071000,0.0,0.0
1995-08-07,3.72,3.81,3.72,3.81,1070000,0.0,0.0
1995-08-08,3.81,3.9,3.76,3.81,1603500,0.0,0.0
1995-08-09,3.81,3.85,3.72,3.72,1522400,0.0,0.0
1995-08-10,3.72,3.76,3.58,3.63,1727100,0.0,0.0
1995-08-11,3.63,3.72,3.54,3.58,1148500,0.0,0.0
1995-08-14,3.58,3.63,3.54,3.58,991100,0.0,0.0
1995-08-15,3.58,3.63,3.54,3.58,1258100,0.0,0.0
1995-08-16,3.58,3.67,3.54,3.63,1688100,0.0,0.0
1995-08-17,3.63,3.72,3.63,3.72,1783100,0.0,0.0
1995-08-18,3.76,3.9,3.76,3.85,1335100,0.0,0.0
1995-08-21,3.85,3.94,3.72,3.72,1349800,0.0,0.0
1995-08-22,3.85,4.08,3.85,3.99,2717100,0.0,0.0
1995-08-23,3.94,4.03,3.85,3.85,1013900,0.0,0.0
1995-08-24,3.85,3.9,3.81,3.81,822600,0.0,0.0
1995-08-25,3.81,3.85,3.76,3.76,1359600,0.0,0.0
1995-08-28,3.81,3.81,3.67,3.76,474300,0.0,0.0
1995-08-29,3.72,3.76,3.67,3.72,598100,0.0,0.0
1995-08-30,3.67,3.76,3.63,3.67,1036800,0.0,0.0
1995-08-31,3.67,3.76,3.67,3.72,1533300,0.0,0.0
1995-09-01,3.67,3.72,3.63,3.63,612400,0.0,0.0
1995-09-05,3.67,3.72,3.63,3.67,731200,0.0,0.0
1995-09-06,3.76,4.03,3.76,3.94,2635100,0.0,0.0
1995-09-07,3.9,4.03,3.9,3.94,883600,0.0,0.0
1995-09-08,3.94,4.08,3.94,4.08,906200,0.0,0.0
1995-09-11,4.08,4.26,4.08,4.22,1534300,0.0,0.0
1995-09-12,4.26,4.26,4.08,4.22,877600,0.0,0.0
1995-09-13,4.12,4.22,4.08,4.17,1074600,0.0,0.0
1995-09-14,4.08,4.17,4.08,4.17,531300,0.0,0.0
1995-09-15,4.22,4.22,3.94,3.99,929400,0.0,0.0
1995-09-18,3.99,4.08,3.94,4.03,882600,0.0,0.0
1995-09-19,4.03,4.17,4.03,4.12,863200,0.0,0.0
1995-09-20,4.12,4.22,3.99,3.99,1477100,0.0,0.0
1995-09-21,3.99,3.99,3.9,3.99,1510600,0.0,0.0
1995-09-22,3.9,4.03,3.85,3.99,829700,0.0,0.0
1995-09-25,3.99,4.12,3.94,4.12,555800,0.0,0.0
1995-09-26,4.08,4.17,4.08,4.17,887400,0.0,0.0
1995-09-27,4.08,4.17,4.08,4.17,829300,0.0,0.0
1995-09-28,4.12,4.22,4.08,4.22,755900,0.0,0.0
1995-09-29,4.17,4.22,4.12,4.17,628500,0.0,0.0
1995-10-02,4.12,4.22,4.08,4.17,1453200,0.0,0.0
1995-10-03,4.12,4.17,4.08,4.17,763500,0.0,0.0
1995-10-04,4.12,4.17,4.03,4.03,822000,0.0,0.0
1995-10-05,4.05,4.14,4.0,4.14,437900,0.02384,0.0
1995-10-06,4.09,4.14,4.05,4.14,453800,0.0,0.0
1995-10-09,4.09,4.19,4.09,4.19,424800,0.0,0.0
1995-10-10,4.09,4.23,4.09,4.23,737100,0.0,0.0
1995-10-11,4.19,4.23,4.19,4.23,457700,0.0,0.0
1995-10-12,4.23,4.32,4.19,4.28,361400,0.0,0.0
1995-10-13,4.28,4.32,4.23,4.23,452800,0.0,0.0
1995-10-16,4.19,4.23,4.14,4.23,697800,0.0,0.0
1995-10-17,4.19,4.23,4.14,4.19,446300,0.0,0.0
1995-10-18,4.19,4.23,4.19,4.19,274500,0.0,0.0
1995-10-19,4.19,4.28,4.19,4.28,496000,0.0,0.0
1995-10-20,4.23,4.28,4.23,4.28,402100,0.0,0.0
1995-10-23,4.23,4.37,4.19,4.32,868200,0.0,0.0
1995-10-24,4.32,4.34,4.23,4.28,382000,0.0,0.0
1995-10-25,4.23,4.28,4.19,4.23,544600,0.0,0.0
1995-10-26,4.19,4.28,4.14,4.14,455800,0.0,0.0
1995-10-27,4.14,4.19,4.09,4.09,1034600,0.0,0.0
1995-10-30,4.09,4.19,4.09,4.14,791100,0.0,0.0
1995-10-31,4.14,4.23,4.09,4.14,908100,0.0,0.0
1995-11-01,4.09,4.19,4.09,4.14,541700,0.0,0.0
1995-11-02,4.14,4.28,4.14,4.28,444100,0.0,0.0
1995-11-03,4.23,4.28,4.23,4.28,485700,0.0,0.0
1995-11-06,4.28,4.32,4.23,4.28,538300,0.0,0.0
1995-11-07,4.28,4.32,4.28,4.28,494400,0.0,0.0
1995-11-08,4.28,4.32,4.28,4.32,199600,0.0,0.0
1995-11-09,4.32,4.37,4.28,4.32,509500,0.0,0.0
1995-11-10,4.28,4.28,4.23,4.23,166900,0.0,0.0
