Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-07-25,0.0,6.84,6.19,6.19,2300,0.0,0
1983-07-26,6.19,6.19,6.19,6.19,0,0.0,0
1983-07-27,0.0,6.67,6.19,6.19,1000,0.0,0
1983-07-28,6.19,6.19,6.19,6.19,0,0.0,0
1983-07-29,6.19,6.19,6.19,6.19,0,0.0,0
1983-08-01,6.19,6.19,6.19,6.19,0,0.0,0
1983-08-02,0.0,6.67,6.19,6.19,500,0.0,0
1983-08-03,6.19,6.19,6.19,6.19,0,0.0,0
1983-08-04,0.0,6.67,6.19,6.19,4000,0.0,0
1983-08-05,6.19,6.19,6.19,6.19,0,0.0,0
1983-08-08,6.19,6.19,6.19,6.19,0,0.0,0
1983-08-09,0.0,6.67,6.19,6.19,200,0.0,0
1983-08-10,6.19,6.19,6.19,6.19,0,0.0,0
1983-08-11,0.0,6.67,6.19,6.19,500,0.0,0
1983-08-12,6.19,6.19,6.19,6.19,0,0.0,0
1983-08-15,6.19,6.19,6.19,6.19,0,0.0,0
1983-08-16,0.0,7.0,6.35,6.35,600,0.0,0
1983-08-17,0.0,7.33,6.67,6.67,600,0.0,0
1983-08-18,6.67,6.67,6.67,6.67,0,0.0,0
1983-08-19,0.0,7.33,6.67,6.67,500,0.0,0
1983-08-22,6.67,6.67,6.67,6.67,0,0.0,0
1983-08-23,0.0,7.33,6.67,6.67,900,0.0,0
1983-08-24,0.0,7.33,6.67,6.67,200,0.0,0
1983-08-25,6.67,6.67,6.67,6.67,0,0.0,0
1983-08-26,6.67,6.67,6.67,6.67,0,0.0,0
1983-08-29,0.0,7.33,6.67,6.67,500,0.0,0
1983-08-30,6.67,6.67,6.67,6.67,0,0.0,0
1983-08-31,0.0,7.16,6.67,6.67,1000,0.0,0
1983-09-01,0.0,7.16,6.51,6.51,1300,0.0,0
1983-09-02,0.0,6.84,6.51,6.51,400,0.0,0
1983-09-06,0.0,6.84,6.35,6.35,500,0.0,0
1983-09-07,0.0,7.0,6.51,6.51,2400,0.0,0
1983-09-08,6.51,6.51,6.51,6.51,0,0.0,0
1983-09-09,6.51,6.51,6.51,6.51,0,0.0,0
1983-09-12,6.51,6.51,6.51,6.51,0,0.0,0
1983-09-13,6.51,6.51,6.51,6.51,0,0.0,0
1983-09-14,0.0,6.84,6.51,6.51,500,0.0,0
1983-09-15,0.0,6.84,6.51,6.51,1400,0.0,0
1983-09-16,6.51,6.51,6.51,6.51,0,0.0,0
1983-09-19,0.0,6.84,6.51,6.51,1000,0.0,0
1983-09-20,0.0,6.84,6.51,6.51,3500,0.0,0
1983-09-21,0.0,6.84,6.51,6.51,700,0.0,0
1983-09-22,0.0,7.33,7.0,7.0,7300,0.0,0
1983-09-23,0.0,7.49,7.16,7.16,4200,0.0,0
1983-09-26,0.0,7.49,7.16,7.16,800,0.0,0
1983-09-27,0.0,7.49,7.16,7.16,600,0.0,0
1983-09-28,7.16,7.16,7.16,7.16,0,0.0,0
1983-09-29,0.0,7.49,7.16,7.16,200,0.0,0
1983-09-30,7.16,7.16,7.16,7.16,0,0.0,0
1983-10-03,7.16,7.16,7.16,7.16,0,0.0,0
1983-10-04,7.16,7.16,7.16,7.16,0,0.0,0
1983-10-05,0.0,7.49,7.33,7.33,2100,0.0,0
1983-10-06,0.0,7.81,7.49,7.49,1600,0.0,0
1983-10-07,0.0,7.98,7.49,7.49,2000,0.0,0
1983-10-10,7.49,7.49,7.49,7.49,0,0.0,0
1983-10-11,7.49,7.49,7.49,7.49,0,0.0,0
1983-10-12,0.0,7.98,7.49,7.49,100,0.0,0
1983-10-13,0.0,7.98,7.49,7.49,500,0.0,0
1983-10-14,7.49,7.49,7.49,7.49,0,0.0,0
1983-10-17,0.0,7.98,7.49,7.49,100,0.0,0
1983-10-18,7.49,7.49,7.49,7.49,0,0.0,0
1983-10-19,0.0,7.98,7.49,7.49,700,0.0,0
1983-10-20,0.0,7.98,7.49,7.49,100,0.0,0
1983-10-21,7.49,7.49,7.49,7.49,0,0.0,0
