Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-01,10.2,10.2,9.92,9.96,2500,0,0
2021-03-02,9.97,9.97,9.52,9.85,188700,0,0
2021-03-03,9.8,9.86,9.78,9.84,112700,0,0
2021-03-04,9.8,9.85,9.8,9.85,23200,0,0
2021-03-05,9.86,9.86,9.8,9.8,113900,0,0
2021-03-08,9.8,9.85,9.8,9.82,43500,0,0
2021-03-09,9.78,9.78,9.75,9.75,272900,0,0
2021-03-10,9.85,9.85,9.82,9.85,20500,0,0
2021-03-11,9.82,9.82,9.76,9.76,3300,0,0
2021-03-12,9.85,9.85,9.7,9.75,158900,0,0
2021-03-15,9.73,9.81,9.73,9.81,1000,0,0
2021-03-16,9.75,9.75,9.71,9.71,5700,0,0
2021-03-17,9.73,9.73,9.68,9.73,781400,0,0
2021-03-18,9.66,9.71,9.66,9.67,35900,0,0
2021-03-19,9.73,9.73,9.68,9.7,18300,0,0
2021-03-22,9.7,9.7,9.66,9.69,40300,0,0
2021-03-23,9.68,9.72,9.61,9.65,25600,0,0
2021-03-24,9.66,9.66,9.66,9.66,365900,0,0
2021-03-25,9.6,9.65,9.6,9.65,50100,0,0
2021-03-26,9.72,9.74,9.62,9.65,6500,0,0
2021-03-29,9.65,9.65,9.65,9.65,0,0,0
2021-03-30,9.67,9.74,9.65,9.67,1700,0,0
2021-03-31,9.64,9.79,9.63,9.7,29600,0,0
2021-04-01,9.71,9.73,9.7,9.7,15000,0,0
2021-04-05,9.7,9.74,9.7,9.74,15900,0,0
2021-04-06,9.77,9.77,9.75,9.75,5500,0,0
2021-04-07,9.73,9.85,9.67,9.67,97700,0,0
2021-04-08,9.68,9.83,9.68,9.75,15500,0,0
2021-04-09,9.71,9.74,9.7,9.74,4600,0,0
2021-04-12,9.71,9.8,9.71,9.73,98000,0,0
2021-04-13,9.76,9.8,9.76,9.8,1300,0,0
2021-04-14,9.78,9.84,9.77,9.82,85900,0,0
2021-04-15,9.77,9.83,9.77,9.83,33500,0,0
2021-04-16,9.82,9.84,9.77,9.84,28600,0,0
2021-04-19,9.8,9.82,9.78,9.8,60900,0,0
2021-04-20,9.8,9.8,9.8,9.8,0,0,0
2021-04-21,9.81,9.81,9.72,9.79,5800,0,0
2021-04-22,9.79,9.79,9.79,9.79,0,0,0
2021-04-23,9.71,9.71,9.71,9.71,300,0,0
2021-04-26,9.71,9.81,9.7,9.73,7200,0,0
2021-04-27,9.69,9.73,9.6,9.73,24800,0,0
2021-04-28,9.68,9.75,9.68,9.73,3300,0,0
2021-04-29,9.67,9.79,9.67,9.78,19400,0,0
2021-04-30,9.72,9.78,9.72,9.77,4300,0,0
2021-05-03,9.72,9.79,9.6,9.69,63100,0,0
2021-05-04,9.72,9.72,9.68,9.72,4,0,0
