Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-16,36.0,43.8,33.68,33.68,6544200,0,0
2020-10-19,34.1,38.5,33.25,35.07,1020300,0,0
2020-10-20,35.28,36.7,32.58,33.85,612900,0,0
2020-10-21,33.8,35.41,33.8,34.55,369100,0,0
2020-10-22,34.8,35.99,34.0,35.7,241300,0,0
2020-10-23,36.05,38.25,35.99,38.25,296400,0,0
2020-10-26,37.11,38.57,35.36,36.01,263600,0,0
2020-10-27,36.36,37.58,35.98,36.58,176100,0,0
2020-10-28,35.82,38.25,35.78,36.96,230300,0,0
2020-10-29,36.92,37.5,33.78,35.07,406400,0,0
2020-10-30,34.6,35.38,33.87,34.65,114700,0,0
2020-11-02,34.7,35.3,33.0,33.5,349600,0,0
2020-11-03,33.6,34.91,33.47,34.78,168600,0,0
2020-11-04,34.51,35.49,33.9,35.0,264100,0,0
2020-11-05,35.0,35.46,33.88,35.0,235900,0,0
2020-11-06,34.61,35.19,33.86,34.75,257600,0,0
2020-11-09,35.0,35.87,33.69,34.3,306400,0,0
2020-11-10,34.79,34.99,33.59,33.9,335700,0,0
2020-11-11,34.09,34.85,33.33,34.52,269000,0,0
2020-11-12,34.61,36.49,34.3,35.12,301800,0,0
2020-11-13,35.0,35.13,34.0,34.4,98200,0,0
2020-11-16,34.65,35.09,33.23,34.83,268600,0,0
2020-11-17,34.8,35.0,33.41,33.49,252700,0,0
2020-11-18,33.62,35.68,33.62,35.59,295100,0,0
2020-11-19,35.66,39.66,35.62,36.0,614000,0,0
2020-11-20,34.14,36.11,33.9,35.76,567000,0,0
2020-11-23,35.85,36.96,35.0,36.55,328200,0,0
2020-11-24,35.59,42.43,35.59,41.85,436900,0,0
2020-11-25,41.11,45.98,40.24,45.95,295600,0,0
2020-11-27,46.36,49.99,46.0,49.75,131500,0,0
2020-11-30,49.27,53.29,44.01,50.11,654500,0,0
2020-12-01,50.37,54.97,49.12,51.8,390200,0,0
2020-12-02,51.06,51.06,46.53,47.36,253700,0,0
2020-12-03,47.01,48.0,44.94,46.58,231800,0,0
2020-12-04,46.94,50.41,45.62,49.45,358800,0,0
2020-12-07,48.75,50.81,47.73,47.96,273800,0,0
2020-12-08,47.74,49.99,47.43,48.65,240600,0,0
