Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.23,0.22,0.22,41850,0.0,0.0
1980-03-18,0.0,0.22,0.22,0.22,18900,0.0,0.0
1980-03-19,0.0,0.22,0.22,0.22,2700,0.0,0.0
1980-03-20,0.0,0.22,0.22,0.22,13500,0.0,0.0
1980-03-21,0.0,0.22,0.22,0.22,2700,0.0,0.0
1980-03-24,0.0,0.22,0.22,0.22,8100,0.0,0.0
1980-03-25,0.0,0.22,0.22,0.22,17550,0.0,0.0
1980-03-26,0.0,0.22,0.22,0.22,1350,0.0,0.0
1980-03-27,0.0,0.22,0.21,0.21,16200,0.0,0.0
1980-03-28,0.0,0.21,0.2,0.2,45900,0.0,0.0
1980-03-31,0.0,0.2,0.2,0.2,1350,0.0,0.0
1980-04-01,0.0,0.21,0.2,0.2,4050,0.0,0.0
1980-04-02,0.0,0.21,0.2,0.21,9450,0.0,0.0
1980-04-03,0.0,0.22,0.21,0.22,9450,0.0,0.0
1980-04-07,0.0,0.2,0.2,0.2,5400,0.0,0.0
1980-04-08,0.0,0.2,0.2,0.2,13500,0.0,0.0
1980-04-09,0.0,0.21,0.2,0.2,43200,0.0,0.0
1980-04-10,0.0,0.21,0.21,0.21,10800,0.0,0.0
1980-04-11,0.0,0.21,0.21,0.21,12150,0.0,0.0
1980-04-14,0.0,0.21,0.2,0.2,14850,0.0,0.0
1980-04-15,0.0,0.2,0.2,0.2,20250,0.0,0.0
1980-04-16,0.2,0.2,0.2,0.2,0,0.0,0.0
1980-04-17,0.0,0.21,0.21,0.21,24300,0.0,0.0
1980-04-18,0.0,0.21,0.21,0.21,2700,0.0,0.0
1980-04-21,0.0,0.22,0.21,0.22,54000,0.0,0.0
1980-04-22,0.0,0.22,0.21,0.22,21600,0.0,0.0
1980-04-23,0.0,0.23,0.22,0.22,35100,0.0,0.0
1980-04-24,0.0,0.23,0.22,0.23,14850,0.0,0.0
1980-04-25,0.0,0.23,0.22,0.23,20250,0.0,0.0
1980-04-28,0.0,0.23,0.23,0.23,6750,0.0,0.0
1980-04-29,0.0,0.23,0.23,0.23,2700,0.0,0.0
1980-04-30,0.0,0.23,0.23,0.23,21600,0.0,0.0
1980-05-01,0.0,0.24,0.23,0.23,14850,0.0,0.0
1980-05-02,0.0,0.24,0.23,0.23,10800,0.0,0.0
1980-05-05,0.0,0.23,0.23,0.23,9450,0.0,0.0
