Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-11-19,5.06,5.14,4.73,4.75,231400,0.0,0
2008-11-20,4.65,4.77,4.15,4.33,280300,0.0,0
2008-11-21,4.85,5.3,4.36,5.25,618700,0.0,0
2008-11-24,5.1,5.28,4.62,4.85,286600,0.0,0
2008-11-25,5.16,5.2,4.8,5.0,291500,0.0,0
2008-11-26,5.0,5.63,4.91,5.34,216100,0.0,0
2008-11-28,5.31,5.31,5.01,5.1,138000,0.0,0
2008-12-01,4.86,5.09,4.73,4.76,414400,0.0,0
2008-12-02,4.95,5.01,4.77,4.97,255700,0.0,0
2008-12-03,4.9,5.03,4.64,4.82,157400,0.0,0
2008-12-04,4.83,4.96,4.62,4.84,148800,0.0,0
2008-12-05,4.69,5.29,4.66,5.17,204900,0.0,0
2008-12-08,5.34,5.42,5.08,5.15,312800,0.0,0
2008-12-09,5.15,5.31,5.03,5.11,198900,0.0,0
2008-12-10,5.18,5.32,4.97,5.04,206400,0.0,0
2008-12-11,5.1,5.35,4.97,4.97,162100,0.0,0
2008-12-12,4.97,5.37,4.97,5.3,182000,0.0,0
2008-12-15,5.2,5.25,5.01,5.07,169600,0.0,0
2008-12-16,5.14,5.48,5.07,5.36,243700,0.0,0
2008-12-17,5.16,5.19,4.97,5.05,211500,0.0,0
2008-12-18,5.21,5.35,5.05,5.2,359600,0.0,0
2008-12-19,5.33,5.88,5.26,5.36,1287000,0.0,0
2008-12-22,5.31,5.33,4.99,5.12,377400,0.0,0
2008-12-23,5.08,5.09,4.69,4.79,396100,0.0,0
2008-12-24,4.58,4.92,4.58,4.76,89900,0.0,0
2008-12-26,4.88,4.96,4.83,4.95,110400,0.0,0
2008-12-29,4.74,4.76,4.6,4.69,162000,0.0,0
2008-12-30,4.89,5.03,4.77,4.88,189600,0.0,0
2008-12-31,4.74,5.17,4.73,4.93,144600,0.0,0
2009-01-02,4.89,5.3,4.88,5.12,191800,0.0,0
2009-01-05,5.13,5.43,5.13,5.36,271600,0.0,0
2009-01-06,5.32,5.39,5.17,5.29,382400,0.0,0
2009-01-07,5.18,5.24,4.99,5.14,115000,0.0,0
2009-01-08,5.14,5.26,4.97,5.07,214300,0.0,0
2009-01-09,5.03,5.13,4.94,4.99,212900,0.0,0
2009-01-12,5.06,5.11,4.89,4.97,193600,0.0,0
2009-01-13,5.09,5.21,5.04,5.13,201100,0.0,0
2009-01-14,5.07,5.1,4.64,4.84,203300,0.0,0
2009-01-15,4.9,5.3,4.73,5.24,262000,0.0,0
2009-01-16,5.21,5.38,5.16,5.29,333500,0.0,0
2009-01-20,5.06,5.06,4.76,4.77,232600,0.0,0
2009-01-21,5.05,5.25,4.89,5.21,359800,0.0,0
2009-01-22,4.96,5.01,4.8,4.92,158600,0.0,0
2009-01-23,4.74,5.06,4.67,5.02,207100,0.0,0
2009-01-26,4.95,5.1,4.93,4.95,126600,0.0,0
2009-01-27,4.97,5.03,4.88,4.99,109400,0.0,0
2009-01-28,5.12,5.18,5.03,5.1,116900,0.0,0
2009-01-29,5.06,5.1,4.95,4.98,171700,0.0,0
2009-01-30,5.06,5.11,4.88,4.94,204700,0.0,0
2009-02-02,4.83,4.95,4.81,4.92,163700,0.0,0
2009-02-03,4.82,4.9,4.8,4.82,113400,0.0,0
2009-02-04,4.85,5.07,4.8,4.87,436300,0.0,0
2009-02-05,4.84,5.2,4.81,5.16,377200,0.0,0
2009-02-06,5.06,5.27,5.03,5.25,193500,0.0,0
2009-02-09,5.19,5.41,5.15,5.32,363000,0.0,0
2009-02-10,5.32,5.49,5.17,5.24,313700,0.0,0
2009-02-11,5.27,5.45,5.19,5.37,412500,0.0,0
2009-02-12,5.2,5.4,5.0,5.3,168800,0.0,0
2009-02-13,5.22,5.49,5.14,5.41,234900,0.0,0
2009-02-17,5.18,5.18,4.98,5.07,692200,0.0,0
2009-02-18,5.05,5.11,4.92,4.97,788900,0.0,0
2009-02-19,5.07,5.11,4.84,4.85,662400,0.0,0
2009-02-20,4.83,4.92,4.79,4.87,651500,0.0,0
2009-02-23,5.01,5.01,4.43,4.49,452400,0.0,0
2009-02-24,4.07,4.68,4.07,4.6,743300,0.0,0
2009-02-25,4.53,4.8,4.46,4.65,678200,0.0,0
2009-02-26,4.78,4.93,4.7,4.75,657700,0.0,0
2009-02-27,4.68,4.93,4.68,4.77,332800,0.0,0
2009-03-02,4.73,4.76,4.35,4.59,393300,0.0,0
2009-03-03,4.68,4.68,4.29,4.53,364800,0.0,0
2009-03-04,4.56,4.69,4.55,4.65,281700,0.0,0
2009-03-05,4.51,4.62,4.43,4.55,284100,0.0,0
2009-03-06,4.53,4.74,4.48,4.64,620700,0.0,0
2009-03-09,4.53,4.68,4.48,4.52,353900,0.0,0
2009-03-10,4.57,4.89,4.57,4.89,405000,0.0,0
2009-03-11,4.81,4.9,4.57,4.58,621400,0.0,0
2009-03-12,4.65,4.71,4.59,4.68,621600,0.0,0
2009-03-13,4.68,4.77,4.6,4.64,353700,0.0,0
2009-03-16,4.74,4.89,4.62,4.63,521400,0.0,0
2009-03-17,4.66,4.89,4.65,4.89,405800,0.0,0
2009-03-18,4.84,5.07,4.73,4.98,654100,0.0,0
2009-03-19,5.11,5.12,4.83,4.91,541800,0.0,0
2009-03-20,4.86,4.9,4.73,4.84,355200,0.0,0
2009-03-23,4.82,4.86,4.67,4.83,615000,0.0,0
2009-03-24,4.72,4.77,4.68,4.72,733500,0.0,0
2009-03-25,4.76,4.9,4.75,4.82,545200,0.0,0
