Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.54,0.54,0.54,1900,0.0,0.0
1980-03-18,0.0,0.55,0.54,0.54,8700,0.0,0.0
1980-03-19,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-03-20,0.0,0.54,0.54,0.54,1300,0.0,0.0
1980-03-21,0.0,0.53,0.53,0.53,1900,0.0,0.0
1980-03-24,0.0,0.53,0.5,0.5,15400,0.0,0.0
1980-03-25,0.0,0.51,0.51,0.51,600,0.0,0.0
1980-03-26,0.0,0.52,0.5,0.5,16200,0.0,0.0
1980-03-27,0.0,0.49,0.49,0.49,1900,0.0,0.0
1980-03-28,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-03-31,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-04-01,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-04-02,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-04-03,0.0,0.51,0.5,0.51,3300,0.0,0.0
1980-04-07,0.0,0.5,0.49,0.49,2700,0.0,0.0
1980-04-08,0.0,0.5,0.5,0.5,600,0.0,0.0
1980-04-09,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-04-10,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-04-11,0.0,0.5,0.49,0.5,2700,0.0,0.0
1980-04-14,0.0,0.5,0.5,0.5,600,0.0,0.0
1980-04-15,0.0,0.5,0.5,0.5,600,0.0,0.0
1980-04-16,0.0,0.5,0.5,0.5,600,0.0,0.0
1980-04-17,0.0,0.5,0.5,0.5,1300,0.0,0.0
1980-04-18,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-04-21,0.0,0.5,0.5,0.5,1300,0.0,0.0
1980-04-22,0.0,0.49,0.49,0.49,600,0.0,0.0
1980-04-23,0.0,0.49,0.49,0.49,3300,0.0,0.0
1980-04-24,0.0,0.5,0.5,0.5,1900,0.0,0.0
1980-04-25,0.0,0.51,0.51,0.51,1900,0.0,0.0
1980-04-28,0.0,0.5,0.49,0.5,6000,0.0,0.0
1980-04-29,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-04-30,0.0,0.49,0.49,0.49,1900,0.0,0.0
1980-05-01,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-05-02,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-05-05,0.0,0.49,0.49,0.49,1300,0.0,0.0
1980-05-06,0.0,0.5,0.49,0.49,4000,0.0,0.0
1980-05-07,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-05-08,0.0,0.5,0.49,0.5,3300,0.0,0.0
1980-05-09,0.0,0.5,0.5,0.5,4600,0.0,0.0
1980-05-12,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-05-13,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-05-14,0.0,0.51,0.51,0.51,14100,0.0,0.0
1980-05-15,0.0,0.5,0.5,0.5,1900,0.0,0.0
1980-05-16,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-05-19,0.0,0.5,0.5,0.5,47200,0.0,0.0
1980-05-20,0.0,0.52,0.51,0.52,3300,0.0,0.0
1980-05-21,0.0,0.52,0.51,0.51,4600,0.0,0.0
1980-05-22,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-05-23,0.0,0.51,0.51,0.51,6700,0.0,0.0
1980-05-27,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-05-28,0.0,0.51,0.49,0.49,8100,0.0,0.0
1980-05-29,0.0,0.5,0.49,0.5,3300,0.0,0.0
1980-05-30,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-06-02,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-06-03,0.0,0.49,0.49,0.49,3300,0.0,0.0
1980-06-04,0.0,0.5,0.5,0.5,1300,0.0,0.0
1980-06-05,0.0,0.49,0.49,0.49,6700,0.0,0.0
1980-06-06,0.0,0.5,0.49,0.49,3300,0.0,0.0
1980-06-09,0.0,0.49,0.49,0.49,600,0.0,0.0
1980-06-10,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-06-11,0.0,0.49,0.49,0.49,600,0.0,0.0
1980-06-12,0.0,0.49,0.49,0.49,600,0.0,0.0
1980-06-13,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-06-16,0.0,0.51,0.5,0.51,12700,0.0,0.0
1980-06-17,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-06-18,0.0,0.52,0.51,0.52,1900,0.0,0.0
1980-06-19,0.0,0.52,0.52,0.52,600,0.0,0.0
1980-06-20,0.52,0.52,0.52,0.52,0,0.0,0.0
1980-06-23,0.0,0.52,0.52,0.52,1300,0.0,0.0
1980-06-24,0.52,0.52,0.52,0.52,0,0.0,0.0
1980-06-25,0.0,0.52,0.52,0.52,4600,0.0,0.0
1980-06-26,0.52,0.52,0.52,0.52,0,0.0,0.0
1980-06-27,0.0,0.51,0.51,0.51,1900,0.0,0.0
1980-06-30,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-07-01,0.0,0.52,0.52,0.52,600,0.0,0.0
1980-07-02,0.52,0.52,0.52,0.52,0,0.0,0.0
1980-07-03,0.0,0.53,0.52,0.53,3300,0.0,0.0
1980-07-07,0.0,0.54,0.54,0.54,5400,0.0,0.0
1980-07-08,0.0,0.54,0.52,0.52,17500,0.0,0.0
1980-07-09,0.0,0.52,0.52,0.52,600,0.0,0.0
1980-07-10,0.0,0.52,0.52,0.52,1900,0.0,0.0
1980-07-11,0.52,0.52,0.52,0.52,0,0.0,0.0
1980-07-14,0.0,0.52,0.52,0.52,600,0.0,0.0
1980-07-15,0.0,0.53,0.51,0.53,15400,0.0,0.0
1980-07-16,0.0,0.52,0.52,0.52,1300,0.0,0.0
1980-07-17,0.0,0.52,0.52,0.52,600,0.0,0.0
1980-07-18,0.0,0.52,0.51,0.52,8100,0.0,0.0
1980-07-21,0.0,0.52,0.52,0.52,600,0.0,0.0
1980-07-22,0.52,0.52,0.52,0.52,0,0.0,0.0
1980-07-23,0.0,0.51,0.51,0.51,600,0.0,0.0
1980-07-24,0.0,0.51,0.5,0.5,2700,0.0,0.0
1980-07-25,0.0,0.5,0.49,0.49,3300,0.0,0.0
1980-07-28,0.0,0.51,0.5,0.5,8700,0.0,0.0
1980-07-29,0.0,0.5,0.5,0.5,10800,0.0,0.0
1980-07-30,0.0,0.5,0.49,0.49,13500,0.0,0.0
1980-07-31,0.0,0.49,0.49,0.49,1900,0.0,0.0
1980-08-01,0.0,0.49,0.49,0.49,3300,0.0,0.0
1980-08-04,0.0,0.5,0.49,0.5,2700,0.0,0.0
1980-08-05,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-08-06,0.0,0.49,0.49,0.49,600,0.0,0.0
1980-08-07,0.0,0.5,0.49,0.49,6000,0.0,0.0
1980-08-08,0.0,0.51,0.5,0.51,9400,0.0,0.0
1980-08-11,0.0,0.52,0.52,0.52,5400,0.0,0.0
1980-08-12,0.52,0.52,0.52,0.52,0,0.0,0.0
1980-08-13,0.0,0.51,0.51,0.51,1300,0.0,0.0
1980-08-14,0.0,0.51,0.5,0.51,3300,0.0,0.0
1980-08-15,0.0,0.52,0.52,0.52,1300,0.0,0.0
1980-08-18,0.0,0.51,0.51,0.51,1300,0.0,0.0
1980-08-19,0.0,0.51,0.51,0.51,5400,0.0,0.0
1980-08-20,0.0,0.5,0.5,0.5,3300,0.0,0.0
1980-08-21,0.0,0.51,0.5,0.51,1900,0.0,0.0
1980-08-22,0.0,0.5,0.5,0.5,600,0.0,0.0
1980-08-25,0.0,0.5,0.5,0.5,4600,0.0,0.0
1980-08-26,0.0,0.5,0.49,0.5,5400,0.0,0.0
1980-08-27,0.0,0.5,0.49,0.5,10800,0.0,0.0
1980-08-28,0.0,0.5,0.5,0.5,1900,0.0,0.0
1980-08-29,0.5,0.5,0.5,0.5,0,0.0,0.0
1980-09-02,0.0,0.51,0.5,0.51,4000,0.0,0.0
1980-09-03,0.0,0.52,0.51,0.52,5400,0.0,0.0
1980-09-04,0.52,0.52,0.52,0.52,0,0.0,0.0
1980-09-05,0.0,0.53,0.52,0.52,3300,0.0,0.0
1980-09-08,0.0,0.53,0.53,0.53,6000,0.0,0.0
1980-09-09,0.0,0.53,0.52,0.53,20200,0.0,0.0
1980-09-10,0.0,0.54,0.54,0.54,1900,0.0,0.0
1980-09-11,0.0,0.54,0.54,0.54,3300,0.0,0.0
1980-09-12,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-09-15,0.0,0.54,0.53,0.53,19500,0.0,0.0
1980-09-16,0.0,0.55,0.54,0.55,6700,0.0,0.0
1980-09-17,0.0,0.55,0.55,0.55,600,0.0,0.0
1980-09-18,0.0,0.57,0.56,0.57,2700,0.0,0.0
1980-09-19,0.0,0.58,0.57,0.58,1900,0.0,0.0
1980-09-22,0.0,0.58,0.58,0.58,1900,0.0,0.0
1980-09-23,0.0,0.59,0.58,0.59,1900,0.0,0.0
1980-09-24,0.0,0.59,0.58,0.59,6000,0.0,0.0
1980-09-25,0.0,0.59,0.59,0.59,3300,0.0,0.0
1980-09-26,0.0,0.58,0.57,0.58,8100,0.0,0.0
1980-09-29,0.0,0.57,0.57,0.57,600,0.0,0.0
1980-09-30,0.0,0.59,0.58,0.58,10800,0.0,0.0
1980-10-01,0.0,0.57,0.57,0.57,600,0.0,0.0
1980-10-02,0.0,0.57,0.57,0.57,600,0.0,0.0
1980-10-03,0.0,0.58,0.57,0.58,7300,0.0,0.0
1980-10-06,0.0,0.59,0.57,0.59,4000,0.0,0.0
1980-10-07,0.59,0.59,0.59,0.59,0,0.0,0.0
1980-10-08,0.0,0.58,0.58,0.58,600,0.0,0.0
1980-10-09,0.0,0.6,0.59,0.59,4600,0.0,0.0
1980-10-10,0.0,0.6,0.59,0.59,2700,0.0,0.0
1980-10-13,0.0,0.59,0.59,0.59,600,0.0,0.0
1980-10-14,0.0,0.58,0.57,0.57,34300,0.0,0.0
1980-10-15,0.0,0.58,0.56,0.57,16200,0.0,0.0
1980-10-16,0.57,0.57,0.57,0.57,0,0.0,0.0
1980-10-17,0.0,0.57,0.57,0.57,600,0.0,0.0
1980-10-20,0.0,0.58,0.57,0.57,10000,0.0,0.0
1980-10-21,0.0,0.57,0.57,0.57,1300,0.0,0.0
1980-10-22,0.0,0.57,0.57,0.57,2700,0.0,0.0
1980-10-23,0.0,0.57,0.56,0.56,4000,0.0,0.0
1980-10-24,0.56,0.56,0.56,0.56,0,0.0,0.0
1980-10-27,0.0,0.56,0.55,0.55,1900,0.0,0.0
1980-10-28,0.0,0.54,0.54,0.54,1300,0.0,0.0
1980-10-29,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-10-30,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-10-31,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-11-03,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-11-05,0.0,0.54,0.54,0.54,3300,0.0,0.0
1980-11-06,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-11-07,0.0,0.54,0.54,0.54,1900,0.0,0.0
1980-11-10,0.0,0.54,0.54,0.54,600,0.0,0.0
1980-11-11,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-11-12,0.54,0.54,0.54,0.54,0,0.0,0.0
1980-11-13,0.0,0.54,0.53,0.54,7300,0.0,0.0
1980-11-14,0.0,0.54,0.54,0.54,1900,0.0,0.0
1980-11-17,0.0,0.54,0.54,0.54,1900,0.0,0.0
