Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-10,18.3,18.99,18.07,18.85,32487600,0.0,0
2018-05-11,18.9,19.92,18.89,19.82,11193400,0.0,0
2018-05-14,19.94,20.1,19.69,19.92,3064700,0.0,0
2018-05-15,19.82,20.08,19.66,20.01,4339000,0.0,0
2018-05-16,19.92,20.15,19.74,20.01,14211000,0.0,0
2018-05-17,20.01,20.28,19.75,20.09,3960800,0.0,0
2018-05-18,20.08,20.2,19.92,19.99,1775000,0.0,0
2018-05-21,20.02,20.31,19.92,20.25,2321700,0.0,0
2018-05-22,20.29,20.38,20.11,20.24,2382300,0.0,0
2018-05-23,20.17,20.3,19.82,20.12,4198700,0.0,0
2018-05-24,20.18,20.37,19.82,20.18,3576000,0.0,0
2018-05-25,20.23,20.36,20.09,20.34,1285300,0.0,0
2018-05-29,20.22,20.27,19.0,19.22,4339600,0.0,0
2018-05-30,19.78,19.95,19.22,19.86,4279300,0.0,0
2018-05-31,19.76,19.91,19.41,19.79,2681900,0.0,0
2018-06-01,19.92,20.15,19.56,19.96,3026100,0.0,0
2018-06-04,20.21,20.61,20.01,20.09,3616300,0.0,0
2018-06-05,20.09,20.14,19.66,19.9,5102000,0.0,0
2018-06-06,19.99,20.21,19.69,19.81,2174200,0.0,0
2018-06-07,19.83,19.94,19.47,19.7,2150200,0.0,0
2018-06-08,19.64,19.92,19.48,19.51,2189200,0.0,0
2018-06-11,19.56,20.15,19.47,19.77,2892200,0.0,0
2018-06-12,19.78,19.92,19.6,19.81,2399900,0.0,0
2018-06-13,19.8,20.2,19.74,20.04,3452300,0.0,0
2018-06-14,20.01,20.19,19.58,19.64,3660200,0.0,0
2018-06-15,19.6,19.99,19.22,19.57,8032700,0.0,0
2018-06-18,19.42,19.71,19.23,19.39,1970700,0.0,0
2018-06-19,19.32,19.44,19.01,19.36,2577400,0.0,0
2018-06-20,19.53,19.97,19.38,19.58,4755600,0.0,0
2018-06-21,19.62,19.81,19.48,19.65,1858400,0.0,0
2018-06-22,19.73,20.17,19.68,20.1,9692000,0.0,0
2018-06-25,19.89,19.91,19.48,19.55,2149200,0.0,0
2018-06-26,19.61,19.61,19.25,19.29,2263100,0.0,0
2018-06-27,19.22,19.4,18.67,18.73,2331900,0.0,0
2018-06-28,18.76,19.0,18.44,18.76,2183100,0.0,0
2018-06-29,18.95,19.21,18.95,19.1,2350600,0.0,0
2018-07-02,18.98,19.21,18.92,19.11,1500300,0.0,0
2018-07-03,19.16,19.31,19.15,19.26,1034000,0.0,0
2018-07-05,19.3,19.52,19.3,19.52,1559500,0.0,0
2018-07-06,19.6,19.68,19.57,19.64,1419000,0.0,0
2018-07-09,19.69,20.14,19.69,20.13,2256200,0.0,0
2018-07-10,20.09,20.14,19.88,19.96,1651600,0.0,0
2018-07-11,19.88,20.0,19.38,19.49,1926400,0.0,0
2018-07-12,19.6,19.69,19.38,19.55,1267200,0.0,0
2018-07-13,19.51,19.57,19.18,19.49,731000,0.0,0
2018-07-16,19.57,19.7,19.23,19.67,1386000,0.0,0
2018-07-17,19.68,19.76,19.48,19.69,1231900,0.0,0
2018-07-18,19.72,19.77,19.45,19.68,1075200,0.0,0
2018-07-19,19.58,19.6,19.2,19.43,1577900,0.0,0
2018-07-20,19.46,19.62,19.34,19.6,637500,0.0,0
2018-07-23,19.53,20.13,19.53,19.92,1187500,0.0,0
2018-07-24,19.98,20.11,19.79,20.0,1173400,0.0,0
2018-07-25,19.93,20.02,19.85,19.98,788400,0.0,0
2018-07-26,19.99,20.29,19.9,20.2,3436700,0.0,0
2018-07-27,20.25,20.45,20.12,20.14,655300,0.0,0
2018-07-30,20.15,20.5,20.15,20.4,969700,0.0,0
2018-07-31,20.4,20.49,20.23,20.37,1274200,0.0,0
2018-08-01,20.36,20.61,19.88,20.07,1648900,0.0,0
2018-08-02,19.89,20.08,19.71,20.04,856000,0.0,0
