Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-11,331.07,363.53,311.6,340.81,792500,0.0,0.0
2000-08-14,340.0,340.81,311.6,311.6,80200,0.0,0.0
2000-08-15,315.66,321.34,311.6,314.84,48400,0.0,0.0
2000-08-16,313.22,339.19,313.22,321.34,42100,0.0,0.0
2000-08-17,318.09,324.58,309.97,311.6,47200,0.0,0.0
2000-08-18,325.39,373.27,321.34,371.65,60400,0.0,0.0
2000-08-21,391.12,421.96,361.91,394.37,66500,0.0,0.0
2000-08-22,399.23,407.35,350.55,350.55,33800,0.0,0.0
2000-08-23,352.17,357.04,331.07,337.56,17900,0.0,0.0
2000-08-24,335.94,339.19,313.22,313.22,18400,0.0,0.0
2000-08-25,326.2,335.94,314.84,334.32,20100,0.0,0.0
2000-08-28,348.11,351.76,324.58,340.81,19400,0.0,0.0
2000-08-29,348.92,350.55,327.83,347.3,22700,0.0,0.0
2000-08-30,346.49,381.38,344.06,368.4,19800,0.0,0.0
2000-08-31,391.12,428.45,386.25,420.33,87300,0.0,0.0
2000-09-01,418.71,421.96,389.5,408.97,27700,0.0,0.0
2000-09-05,410.6,421.96,402.48,404.1,23000,0.0,0.0
2000-09-06,418.71,421.96,395.99,402.48,20500,0.0,0.0
2000-09-07,415.46,415.46,347.3,373.27,23900,0.0,0.0
2000-09-08,370.43,376.51,357.04,363.53,15900,0.0,0.0
2000-09-11,358.66,363.53,350.55,360.29,34500,0.0,0.0
2000-09-12,352.98,358.66,334.32,337.56,33800,0.0,0.0
2000-09-13,331.07,340.81,321.34,324.58,10300,0.0,0.0
2000-09-14,360.29,360.29,324.58,329.45,8100,0.0,0.0
2000-09-15,326.2,337.56,324.58,326.2,3600,0.0,0.0
2000-09-18,340.81,344.06,309.97,313.22,18600,0.0,0.0
2000-09-19,340.0,340.81,279.14,292.12,48000,0.0,0.0
2000-09-20,298.61,300.24,253.17,269.4,24100,0.0,0.0
2000-09-21,267.78,279.14,264.53,275.89,25200,0.0,0.0
2000-09-22,249.12,280.76,245.06,274.27,8400,0.0,0.0
2000-09-25,275.89,280.76,243.44,245.06,21000,0.0,0.0
2000-09-26,256.42,258.04,233.7,240.19,19600,0.0,0.0
2000-09-27,244.25,245.06,223.96,242.62,16700,0.0,0.0
2000-09-28,240.19,279.14,236.94,259.66,22000,0.0,0.0
2000-09-29,262.1,262.91,226.4,230.45,19100,0.0,0.0
2000-10-02,243.44,244.25,217.47,220.72,6800,0.0,0.0
2000-10-03,223.15,230.45,201.24,206.11,10100,0.0,0.0
2000-10-04,207.73,209.35,175.27,185.01,14600,0.0,0.0
2000-10-05,180.14,210.98,168.78,170.41,15100,0.0,0.0
2000-10-06,180.55,181.77,154.18,158.23,11400,0.0,0.0
2000-10-09,170.41,173.65,150.12,160.67,10600,0.0,0.0
2000-10-10,163.91,165.54,142.82,147.68,13200,0.0,0.0
2000-10-11,136.32,149.31,105.49,107.11,42400,0.0,0.0
2000-10-12,132.27,136.32,116.85,134.7,37200,0.0,0.0
2000-10-13,147.68,204.49,143.63,196.37,42800,0.0,0.0
2000-10-16,210.98,212.6,191.5,210.98,38500,0.0,0.0
2000-10-17,220.72,222.34,197.99,202.86,11000,0.0,0.0
2000-10-18,201.24,217.47,154.18,209.35,19300,0.0,0.0
2000-10-19,220.72,241.81,175.27,179.33,25900,0.0,0.0
2000-10-20,194.75,194.75,181.77,189.88,21700,0.0,0.0
2000-10-23,191.5,218.28,185.01,214.22,17800,0.0,0.0
2000-10-24,215.44,220.72,210.98,219.09,19700,0.0,0.0
2000-10-25,217.06,220.72,204.49,220.72,13200,0.0,0.0
2000-10-26,219.9,249.93,219.09,235.32,8700,0.0,0.0
2000-10-27,236.54,236.94,223.96,233.7,3300,0.0,0.0
2000-10-30,232.08,243.44,223.96,232.08,7600,0.0,0.0
2000-10-31,236.94,266.16,227.21,253.17,10400,0.0,0.0
2000-11-01,252.77,272.65,248.3,253.17,11500,0.0,0.0
2000-11-02,252.77,256.42,230.45,240.19,7800,0.0,0.0
2000-11-03,232.89,245.06,232.89,236.94,7700,0.0,0.0
2000-11-06,240.19,243.44,225.58,230.45,9700,0.0,0.0
2000-11-07,233.7,233.7,227.21,230.45,6600,0.0,0.0
2000-11-08,230.45,230.45,195.56,209.35,20900,0.0,0.0
2000-11-09,194.75,207.73,194.75,205.3,12600,0.0,0.0
2000-11-10,198.4,201.24,193.13,193.13,18100,0.0,0.0
