Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-06-18,0.0,1.21,0.98,0.98,0.0,0.0,0.0
1986-06-19,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-06-20,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-06-23,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-06-24,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-06-25,0.0,1.21,0.98,0.98,600.0,0.0,0.0
1986-06-26,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-06-27,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-06-30,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-01,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-02,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-03,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-07,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-08,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-09,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-10,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-11,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-14,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-15,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-16,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-17,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-18,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-21,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-22,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-23,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-24,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-25,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-28,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-29,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-30,0.98,0.98,0.98,0.98,0.0,0.0,0.0
1986-07-31,0.98,0.98,0.98,0.98,0.0,0.0,0.0
