Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-23,1.62,1.88,1.45,1.77,3030000,0,0
2020-03-24,1.85,1.85,1.64,1.78,2487300,0,0
2020-03-25,1.81,1.83,1.63,1.75,2391000,0,0
2020-03-26,1.69,1.78,1.65,1.76,1902000,0,0
2020-03-27,1.65,1.75,1.62,1.71,1427700,0,0
2020-03-30,1.71,1.75,1.62,1.66,1641900,0,0
2020-03-31,1.69,1.71,1.61,1.65,1066700,0,0
2020-04-01,1.6,1.61,1.45,1.46,1710200,0,0
2020-04-02,1.58,1.63,1.45,1.46,1440800,0,0
2020-04-03,1.55,1.56,1.38,1.43,1597700,0,0
2020-04-06,1.52,1.6,1.46,1.53,1729800,0,0
2020-04-07,1.55,1.62,1.5,1.53,1715400,0,0
2020-04-08,1.55,1.74,1.5,1.73,2214100,0,0
2020-04-09,1.78,1.99,1.75,1.99,3429700,0,0
2020-04-13,2.1,2.22,2.0,2.12,3688700,0,0
2020-04-14,2.33,2.49,2.09,2.17,5701200,0,0
2020-04-15,2.15,2.15,1.85,2.05,1863800,0,0
2020-04-16,1.99,2.29,1.93,1.96,2814100,0,0
2020-04-17,2.01,3.47,1.89,3.05,24468400,0,0
2020-04-20,4.33,4.36,2.36,2.5,48263900,0,0
2020-04-21,2.28,2.71,2.25,2.31,7630200,0,0
2020-04-22,2.48,2.78,2.35,2.71,7344500,0,0
2020-04-23,2.69,2.77,2.55,2.64,4624700,0,0
2020-04-24,2.6,2.66,2.47,2.51,3453800,0,0
2020-04-27,2.53,2.66,2.5,2.62,3970500,0,0
2020-04-28,2.67,2.69,2.5,2.58,2348500,0,0
2020-04-29,2.57,2.74,2.54,2.72,4300500,0,0
2020-04-30,2.65,2.78,2.55,2.55,3742700,0,0
2020-05-01,2.5,2.6,2.39,2.45,2711500,0,0
2020-05-04,2.36,2.51,2.31,2.45,1590600,0,0
2020-05-05,2.47,2.52,2.41,2.47,1855700,0,0
2020-05-06,2.48,2.64,2.46,2.57,2577000,0,0
2020-05-07,2.66,2.97,2.64,2.9,6223900,0,0
2020-05-08,2.99,3.42,2.93,3.23,10655300,0,0
2020-05-11,3.23,3.35,3.09,3.22,4235100,0,0
2020-05-12,3.23,3.29,3.12,3.13,2351400,0,0
2020-05-13,3.11,3.11,2.81,3.0,3807200,0,0
2020-05-14,2.93,3.11,2.8,3.06,1914100,0,0
2020-05-15,3.0,3.14,2.91,2.93,1687800,0,0
2020-05-18,3.09,3.11,2.97,3.08,2958000,0,0
2020-05-19,3.08,3.27,3.07,3.16,2728000,0,0
2020-05-20,3.14,3.23,3.08,3.12,1805000,0,0
2020-05-21,3.08,3.24,3.01,3.22,2651900,0,0
2020-05-22,3.18,3.28,3.11,3.18,2122700,0,0
2020-05-26,3.26,3.31,3.18,3.25,2797900,0,0
2020-05-27,3.27,3.37,3.23,3.32,3101000,0,0
2020-05-28,3.35,3.36,3.15,3.16,2512600,0,0
2020-05-29,3.15,3.25,3.1,3.23,1899700,0,0
2020-06-01,3.25,3.33,3.22,3.26,3026900,0,0
2020-06-02,3.3,3.49,3.28,3.42,4024700,0,0
2020-06-03,3.6,3.68,3.49,3.55,4950400,0,0
2020-06-04,3.7,3.96,3.57,3.71,8173100,0,0
2020-06-05,3.65,3.87,3.61,3.81,4264900,0,0
2020-06-08,3.85,3.88,3.76,3.84,3359300,0,0
2020-06-09,3.75,3.78,3.59,3.62,3513500,0,0
2020-06-10,3.64,3.65,3.36,3.41,3509600,0,0
2020-06-11,3.25,3.61,3.12,3.14,5311700,0,0
2020-06-12,3.3,3.4,3.06,3.24,3265200,0,0
2020-06-15,3.09,3.26,3.03,3.14,3120300,0,0
2020-06-16,3.26,3.32,3.09,3.18,2565200,0,0
2020-06-17,3.19,3.22,3.09,3.13,1994900,0,0
2020-06-18,3.1,3.16,3.04,3.12,1730500,0,0
2020-06-19,3.17,3.29,3.11,3.12,3452600,0,0
2020-06-22,3.2,3.2,3.04,3.14,2540600,0,0
2020-06-23,3.14,3.22,3.09,3.15,2194300,0,0
2020-06-24,3.12,3.14,2.94,3.02,3045500,0,0
2020-06-25,2.98,3.08,2.93,2.93,2355500,0,0
2020-06-26,2.94,3.0,2.7,2.9,5160300,0,0
2020-06-29,3.0,3.04,2.88,2.96,2076700,0,0
2020-06-30,3.0,3.16,2.93,3.16,3339300,0,0
2020-07-01,3.16,3.16,2.9,3.02,3038700,0,0
2020-07-02,3.04,3.19,3.0,3.13,2494000,0,0
2020-07-06,3.2,3.23,3.07,3.11,2227000,0,0
2020-07-07,3.06,3.21,3.01,3.2,2258200,0,0
2020-07-08,3.15,4.0,3.1,3.71,18320500,0,0
2020-07-09,3.74,4.06,3.5,3.55,9127800,0,0
2020-07-10,3.54,3.76,3.43,3.73,3197900,0,0
2020-07-13,3.86,3.93,3.36,3.41,4501500,0,0
2020-07-14,3.38,3.46,3.11,3.3,5983900,0,0
2020-07-15,3.35,3.37,3.16,3.24,3350900,0,0
2020-07-16,3.19,3.46,3.19,3.41,3089000,0,0
2020-07-17,3.41,3.43,3.2,3.3,4272400,0,0
2020-07-20,3.41,3.72,3.35,3.68,5785800,0,0
2020-07-21,3.61,3.78,3.49,3.54,3095100,0,0
2020-07-22,3.53,3.53,3.38,3.45,1498800,0,0
2020-07-23,3.47,3.63,3.44,3.53,2038400,0,0
2020-07-24,3.51,3.54,3.42,3.49,1671500,0,0
2020-07-27,3.57,3.6,3.48,3.58,1381200,0,0
2020-07-28,3.58,3.82,3.56,3.63,3045700,0,0
2020-07-29,3.78,3.96,3.72,3.8,6457100,0,0
2020-07-30,4.15,4.15,3.06,3.11,15238900,0,0
2020-07-31,2.96,3.18,2.58,2.84,11310500,0,0
2020-08-03,2.9,3.02,2.8,2.88,4926600,0,0
2020-08-04,2.9,2.92,2.6,2.73,8467300,0,0
2020-08-05,2.73,2.78,2.61,2.68,4527500,0,0
2020-08-06,2.63,2.68,2.46,2.48,4845100,0,0
2020-08-07,2.42,2.7,2.41,2.66,4353300,0,0
2020-08-10,2.67,2.7,2.53,2.66,2664400,0,0
2020-08-11,2.7,2.83,2.59,2.6,2672400,0,0
2020-08-12,2.67,2.74,2.59,2.68,2221300,0,0
2020-08-13,2.7,2.76,2.58,2.67,2419100,0,0
2020-08-14,2.66,2.69,2.63,2.65,886700,0,0
2020-08-17,2.66,2.75,2.58,2.7,1848500,0,0
2020-08-18,2.7,2.89,2.7,2.79,2109100,0,0
2020-08-19,2.82,2.84,2.71,2.77,1605800,0,0
2020-08-20,2.74,2.77,2.66,2.67,1487400,0,0
2020-08-21,2.59,2.67,2.55,2.56,2257200,0,0
2020-08-24,2.59,2.77,2.51,2.71,2890300,0,0
2020-08-25,2.72,2.8,2.66,2.78,1864400,0,0
2020-08-26,2.76,2.94,2.75,2.81,2365500,0,0
2020-08-27,2.84,2.95,2.82,2.9,2297500,0,0
2020-08-28,2.9,3.31,2.88,3.16,6359400,0,0
2020-08-31,3.24,3.33,3.09,3.11,3544500,0,0
2020-09-01,3.09,3.29,3.02,3.1,3476600,0,0
2020-09-02,3.03,3.08,2.96,3.05,2360400,0,0
2020-09-03,3.02,3.02,2.81,2.89,2697300,0,0
2020-09-04,2.91,2.95,2.72,2.92,2805100,0,0
2020-09-08,2.91,3.3,2.82,2.83,2986800,0,0
2020-09-09,2.84,2.95,2.73,2.8,2529600,0,0
2020-09-10,2.83,2.85,2.67,2.73,2000600,0,0
2020-09-11,2.73,2.76,2.51,2.58,3716300,0,0
2020-09-14,2.61,2.68,2.47,2.53,2830300,0,0
2020-09-15,2.57,2.6,2.46,2.52,2696300,0,0
2020-09-16,2.51,2.7,2.5,2.61,1839400,0,0
2020-09-17,2.62,2.68,2.54,2.55,1669300,0,0
2020-09-18,2.57,2.73,2.53,2.59,12043600,0,0
2020-09-21,2.56,2.62,2.44,2.49,2760600,0,0
2020-09-22,2.5,2.57,2.38,2.56,2866500,0,0
2020-09-23,2.54,2.58,2.2,2.26,1665800,0,0
2020-09-24,2.02,2.23,1.4,2.22,12752500,0,0
2020-09-25,2.05,2.39,2.02,2.26,4271100,0,0
2020-09-28,2.3,2.3,2.09,2.17,2701400,0,0
2020-09-29,2.18,2.2,2.04,2.16,1876800,0,0
2020-09-30,2.17,2.29,2.16,2.21,2043000,0,0
2020-10-01,2.28,2.53,2.24,2.45,2737000,0,0
2020-10-02,2.47,2.56,2.37,2.46,1815700,0,0
2020-10-05,2.49,2.58,2.42,2.51,1889200,0,0
2020-10-06,2.53,2.64,2.5,2.55,1975900,0,0
2020-10-07,2.58,2.77,2.55,2.65,2483600,0,0
2020-10-08,2.7,2.7,2.52,2.63,2180300,0,0
2020-10-09,2.62,2.65,2.43,2.54,1757200,0,0
2020-10-12,2.54,2.57,2.43,2.47,1136800,0,0
2020-10-13,2.45,2.49,2.34,2.45,1659900,0,0
2020-10-14,2.37,2.47,2.29,2.33,1788700,0,0
2020-10-15,2.33,2.34,2.23,2.33,1614300,0,0
2020-10-16,2.37,2.44,2.26,2.31,1386900,0,0
2020-10-19,2.32,2.52,2.32,2.42,2817500,0,0
2020-10-20,2.42,2.45,2.32,2.33,808900,0,0
2020-10-21,2.29,2.31,2.22,2.25,891200,0,0
2020-10-22,2.29,2.34,2.16,2.31,1430700,0,0
2020-10-23,2.27,2.37,2.25,2.35,1050900,0,0
2020-10-26,2.31,2.34,2.18,2.24,1150700,0,0
2020-10-27,2.25,2.26,2.08,2.17,1178200,0,0
2020-10-28,2.1,2.14,1.93,1.95,1668800,0,0
2020-10-29,1.96,2.0,1.87,2.0,1233300,0,0
2020-10-30,1.99,2.0,1.88,1.92,989400,0,0
2020-11-02,1.68,1.78,1.6,1.64,3366900,0,0
2020-11-03,1.78,2.18,1.73,2.09,4017700,0,0
2020-11-04,2.04,2.09,1.92,2.06,1910300,0,0
2020-11-05,2.1,2.15,1.94,2.12,1956400,0,0
2020-11-06,2.12,2.13,2.05,2.08,805000,0,0
2020-11-09,2.24,2.33,2.19,2.29,2338500,0,0
2020-11-10,2.3,2.31,2.19,2.28,1095000,0,0
2020-11-11,2.34,2.35,2.22,2.29,740200,0,0
2020-11-12,2.28,2.34,2.1,2.15,1759100,0,0
2020-11-13,2.15,2.23,2.15,2.22,951800,0,0
2020-11-16,2.24,2.34,2.22,2.29,1102100,0,0
2020-11-17,2.27,2.38,2.25,2.32,1201200,0,0
2020-11-18,2.33,2.38,2.18,2.22,1094700,0,0
2020-11-19,2.25,2.27,2.18,2.26,1066300,0,0
2020-11-20,2.23,2.27,2.14,2.2,1383400,0,0
2020-11-23,2.15,2.29,2.08,2.23,2109500,0,0
2020-11-24,2.23,2.34,2.22,2.33,2280200,0,0
2020-11-25,2.33,2.38,2.26,2.28,1289800,0,0
2020-11-27,2.27,2.35,2.23,2.24,660800,0,0
2020-11-30,2.25,2.25,2.12,2.13,1319700,0,0
2020-12-01,2.17,2.19,2.11,2.14,1543900,0,0
2020-12-02,2.13,2.2,2.11,2.11,977100,0,0
2020-12-03,2.1,2.19,2.08,2.15,1542000,0,0
2020-12-04,2.15,2.23,2.1,2.2,1115200,0,0
2020-12-07,2.15,2.3,2.13,2.21,1241600,0,0
2020-12-08,2.2,2.27,2.09,2.14,1335300,0,0
2020-12-09,2.15,2.17,2.01,2.04,1351800,0,0
2020-12-10,2.01,2.16,1.96,2.09,1379600,0,0
2020-12-11,2.03,2.08,1.97,2.04,2085000,0,0
2020-12-14,2.03,2.06,1.95,1.99,1734900,0,0
2020-12-15,2.01,2.04,1.95,2.01,1395000,0,0
2020-12-16,2.0,2.05,1.97,1.99,1350500,0,0
2020-12-17,2.01,2.04,1.91,1.93,1868800,0,0
2020-12-18,1.94,2.11,1.91,2.02,4156700,0,0
2020-12-21,1.9,2.01,1.89,1.94,1748900,0,0
2020-12-22,2.03,2.07,1.86,1.87,2328000,0,0
2020-12-23,1.88,1.92,1.84,1.9,1778000,0,0
2020-12-24,1.89,1.92,1.86,1.9,669100,0,0
2020-12-28,1.9,1.94,1.84,1.87,2007500,0,0
2020-12-29,1.87,1.92,1.69,1.7,3738100,0,0
2020-12-30,1.68,1.77,1.67,1.71,3639100,0,0
2020-12-31,1.72,1.88,1.7,1.82,2649000,0,0
2021-01-04,1.83,1.84,1.74,1.75,2024000,0,0
2021-01-05,1.75,1.78,1.7,1.72,1905100,0,0
2021-01-06,1.72,1.8,1.72,1.74,2059200,0,0
2021-01-07,1.77,1.88,1.74,1.86,2572100,0,0
2021-01-08,1.87,1.98,1.8,1.95,2868600,0,0
2021-01-11,1.93,2.03,1.89,1.98,1880700,0,0
2021-01-12,2.0,2.09,1.97,2.04,1725700,0,0
2021-01-13,2.06,2.08,1.88,1.95,1928300,0,0
2021-01-14,1.97,2.25,1.97,2.16,4695100,0,0
2021-01-15,2.17,2.21,2.06,2.11,3314900,0,0
2021-01-19,2.15,2.15,2.0,2.02,3009400,0,0
2021-01-20,2.04,2.12,1.95,2.04,3939700,0,0
2021-01-21,2.05,2.12,2.0,2.08,3416400,0,0
2021-01-22,2.08,2.08,1.98,2.04,2637300,0,0
2021-01-25,2.05,2.13,2.02,2.06,3977400,0,0
2021-01-26,2.14,2.14,2.02,2.07,4431800,0,0
2021-01-27,2.01,2.11,1.98,2.02,4647500,0,0
2021-01-28,2.08,2.08,1.91,1.93,3749500,0,0
2021-01-29,1.87,2.02,1.81,1.9,4649400,0,0
2021-02-01,1.95,2.03,1.93,1.98,4171100,0,0
2021-02-02,2.0,2.09,1.95,1.98,3114600,0,0
2021-02-03,2.03,2.12,1.98,2.06,6607600,0,0
2021-02-04,2.07,2.13,2.0,2.09,5267800,0,0
2021-02-05,2.1,2.15,2.07,2.09,5224200,0,0
2021-02-08,2.11,2.15,2.04,2.12,5445200,0,0
2021-02-09,2.13,2.15,2.04,2.06,4818900,0,0
2021-02-10,2.08,2.11,1.99,2.07,6202500,0,0
2021-02-11,2.07,2.13,2.04,2.04,4137600,0,0
2021-02-12,2.05,2.17,2.02,2.12,7396700,0,0
2021-02-16,2.15,2.28,2.09,2.11,14457000,0,0
2021-02-17,2.13,2.16,2.04,2.11,8679900,0,0
2021-02-18,2.06,2.1,1.98,1.99,4770100,0,0
2021-02-19,2.01,2.08,1.99,2.06,6386400,0,0
2021-02-22,2.06,2.07,1.96,1.96,4820700,0,0
2021-02-23,1.94,1.96,1.83,1.92,4349700,0,0
2021-02-24,1.95,2.1,1.95,2.06,7155600,0,0
2021-02-25,2.06,2.11,1.96,1.97,4335800,0,0
2021-02-26,1.96,1.98,1.83,1.83,3191400,0,0
2021-03-01,1.9,2.13,1.88,1.95,25167000,0,0
2021-03-02,1.95,2.01,1.92,1.94,5457200,0,0
2021-03-03,1.97,2.11,1.96,2.04,12664700,0,0
2021-03-04,2.04,2.08,1.9,1.97,8583000,0,0
2021-03-05,1.99,2.01,1.84,1.96,7423600,0,0
2021-03-08,1.99,2.09,1.93,2.01,7796200,0,0
2021-03-09,2.04,2.16,2.0,2.03,10361600,0,0
2021-03-10,2.05,2.07,1.93,1.96,5327600,0,0
2021-03-11,1.98,2.01,1.94,1.98,5548200,0,0
2021-03-12,1.99,2.08,1.98,2.02,13230900,0,0
2021-03-15,2.04,2.11,1.99,2.06,13998200,0,0
2021-03-16,2.05,2.1,2.04,2.07,9854400,0,0
2021-03-17,2.03,2.25,2.02,2.24,15411000,0,0
2021-03-18,2.17,2.37,2.13,2.15,20867700,0,0
2021-03-19,2.15,2.22,2.07,2.15,20240500,0,0
2021-03-22,2.2,2.25,2.1,2.15,11052000,0,0
2021-03-23,2.15,2.37,2.14,2.24,15563400,0,0
2021-03-24,2.44,2.63,2.21,2.24,39422500,0,0
2021-03-25,2.09,2.17,2.01,2.02,18131100,0,0
2021-03-26,2.05,2.06,1.9,1.94,12546100,0,0
2021-03-29,1.94,1.97,1.79,1.8,10064500,0,0
2021-03-30,1.9,1.91,1.74,1.81,13810200,0,0
2021-03-31,1.79,1.87,1.75,1.81,10772800,0,0
2021-04-01,1.79,1.81,1.65,1.77,25249600,0,0
2021-04-05,1.8,1.83,1.69,1.69,5328300,0,0
2021-04-06,1.71,1.86,1.69,1.86,8650100,0,0
2021-04-07,1.85,1.86,1.76,1.77,3858400,0,0
2021-04-08,1.8,1.81,1.76,1.77,3207700,0,0
2021-04-09,1.74,1.77,1.63,1.67,6910500,0,0
2021-04-12,1.67,1.69,1.52,1.54,11706100,0,0
2021-04-13,1.55,1.59,1.48,1.55,6062700,0,0
2021-04-14,1.56,1.66,1.54,1.62,4449800,0,0
2021-04-15,1.63,1.63,1.45,1.48,8862100,0,0
2021-04-16,1.51,1.59,1.5,1.58,3089800,0,0
2021-04-19,1.55,1.57,1.42,1.44,7117000,0,0
2021-04-20,1.44,1.46,1.15,1.2,29680400,0,0
2021-04-21,1.2,1.3,1.17,1.28,15966200,0,0
2021-04-22,1.28,1.35,1.23,1.31,6982400,0,0
2021-04-23,1.31,1.37,1.27,1.34,2548400,0,0
2021-04-26,1.36,1.38,1.31,1.37,2229400,0,0
