Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-04-01,10.2,10.44,9.59,10.2,48100,0.0,0
1997-04-02,10.2,10.2,9.1,9.65,67700,0.0,0
1997-04-03,9.35,9.47,8.25,9.1,50100,0.0,0
1997-04-04,8.25,9.35,8.25,9.1,36300,0.0,0
1997-04-07,8.74,9.71,8.74,9.04,34900,0.0,0
1997-04-08,9.47,9.59,8.86,8.86,22500,0.0,0
1997-04-09,8.86,9.59,8.86,8.98,35800,0.0,0
1997-04-10,8.98,9.41,8.62,8.62,19700,0.0,0
1997-04-11,8.62,9.1,8.31,8.98,22900,0.0,0
1997-04-14,8.38,8.74,7.89,8.62,31300,0.0,0
1997-04-15,8.25,8.86,8.13,8.38,52100,0.0,0
1997-04-16,8.62,8.74,8.13,8.5,17300,0.0,0
1997-04-17,8.13,8.38,8.13,8.25,12200,0.0,0
1997-04-18,8.25,8.5,8.25,8.44,3800,0.0,0
1997-04-21,8.44,8.62,8.25,8.25,38300,0.0,0
1997-04-22,8.25,8.62,8.25,8.25,8500,0.0,0
1997-04-23,8.74,8.74,8.38,8.38,7500,0.0,0
1997-04-24,8.38,8.74,8.38,8.5,12700,0.0,0
1997-04-25,8.5,8.74,8.5,8.5,7200,0.0,0
1997-04-28,8.5,8.74,8.5,8.5,67500,0.0,0
1997-04-29,8.74,9.1,8.5,8.74,54200,0.0,0
1997-04-30,8.62,8.98,8.62,8.74,32800,0.0,0
1997-05-01,8.74,9.1,8.74,8.86,33600,0.0,0
1997-05-02,9.1,9.71,8.92,9.35,31400,0.0,0
1997-05-05,9.35,9.71,9.35,9.47,32700,0.0,0
1997-05-06,9.41,9.95,9.35,9.95,37200,0.0,0
1997-05-07,9.83,9.95,9.83,9.83,21100,0.0,0
1997-05-08,9.71,9.83,9.47,9.74,40700,0.0,0
1997-05-09,9.71,10.07,9.71,9.89,33000,0.0,0
1997-05-12,10.07,10.68,10.07,10.68,29500,0.0,0
1997-05-13,10.44,10.68,10.44,10.68,39500,0.0,0
1997-05-14,10.44,10.8,10.2,10.74,71400,0.0,0
1997-05-15,10.68,10.86,10.68,10.86,37700,0.0,0
1997-05-16,10.8,10.99,10.68,10.68,14500,0.0,0
1997-05-19,10.8,10.8,10.32,10.32,15900,0.0,0
1997-05-20,10.44,10.68,10.32,10.68,9400,0.0,0
1997-05-21,10.56,10.92,10.32,10.32,52300,0.0,0
1997-05-22,10.32,10.56,10.32,10.38,21400,0.0,0
1997-05-23,10.32,10.56,10.32,10.56,12400,0.0,0
1997-05-27,10.32,10.56,10.32,10.38,22300,0.0,0
1997-05-28,10.38,10.38,10.38,10.38,2000,0.0,0
1997-05-29,10.38,10.56,10.07,10.07,31800,0.0,0
1997-05-30,9.95,10.68,9.71,10.68,38200,0.0,0
1997-06-02,10.44,10.8,10.44,10.44,3900,0.0,0
1997-06-03,10.68,11.29,10.44,11.17,43200,0.0,0
1997-06-04,11.17,11.29,10.92,11.05,5300,0.0,0
